Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/02,AQS,27,AQS,52
1/2/02,AQS,26,AQS,51
1/3/02,AQS,28,AQS,59
1/4/02,AQS,31,AQS,52
1/5/02,AQS,19,AQS,87
1/6/02,AQS,26,AQS,96
1/7/02,AQS,31,AQS,45
1/8/02,AQS,31,AQS,65
1/9/02,AQS,12,AQS,74
1/10/02,AQS,18,AQS,84
1/11/02,AQS,27,AQS,77
1/12/02,AQS,26,AQS,52
1/13/02,AQS,33,AQS,31
1/14/02,AQS,28,AQS,57
1/15/02,AQS,19,AQS,71
1/16/02,AQS,33,AQS,34
1/17/02,AQS,26,AQS,71
1/18/02,AQS,28,AQS,52
1/19/02,AQS,25,AQS,63
1/20/02,AQS,30,AQS,70
1/21/02,AQS,23,AQS,101
1/22/02,AQS,31,AQS,57
1/23/02,AQS,27,AQS,67
1/24/02,AQS,18,AQS,69
1/25/02,AQS,31,AQS,29
1/26/02,AQS,29,AQS,59
1/27/02,AQS,33,AQS,64
1/28/02,AQS,30,AQS,77
1/29/02,AQS,31,AQS,83
1/30/02,AQS,28,AQS,59
1/31/02,AQS,32,AQS,52
2/1/02,AQS,36,AQS,64
2/2/02,AQS,38,AQS,33
2/3/02,AQS,34,AQS,54
2/4/02,AQS,31,AQS,63
2/5/02,AQS,33,AQS,29
2/6/02,AQS,26,AQS,67
2/7/02,AQS,24,AQS,113
2/8/02,AQS,34,AQS,71
2/9/02,AQS,32,AQS,58
2/10/02,AQS,42,AQS,56
2/11/02,AQS,36,AQS,19
2/12/02,AQS,33,AQS,49
2/13/02,AQS,35,AQS,41
2/14/02,AQS,28,AQS,56
2/15/02,AQS,35,AQS,54
2/16/02,AQS,33,AQS,76
2/17/02,AQS,35,AQS,45
2/18/02,AQS,37,AQS,23
2/19/02,AQS,28,AQS,68
2/20/02,AQS,42,AQS,78
2/21/02,AQS,34,AQS,60
2/22/02,AQS,22,AQS,54
2/23/02,AQS,35,AQS,37
2/24/02,AQS,35,AQS,53
2/25/02,AQS,35,AQS,70
2/26/02,AQS,71,AQS,64
2/27/02,AQS,30,AQS,33
2/28/02,AQS,40,AQS,39
3/1/02,AQS,31,AQS,64
3/2/02,AQS,42,AQS,73
3/3/02,AQS,41,AQS,55
3/4/02,AQS,35,AQS,28
3/5/02,AQS,32,AQS,54
3/6/02,AQS,39,AQS,73
3/7/02,AQS,48,AQS,77
3/8/02,AQS,34,AQS,98
3/9/02,AQS,35,AQS,73
3/10/02,AQS,39,AQS,23
3/11/02,AQS,39,AQS,35
3/12/02,AQS,36,AQS,78
3/13/02,AQS,38,AQS,75
3/14/02,AQS,44,AQS,73
3/15/02,AQS,54,AQS,120
3/16/02,AQS,36,AQS,77
3/17/02,AQS,42,AQS,40
3/18/02,AQS,42,AQS,46
3/19/02,AQS,39,AQS,64
3/20/02,AQS,42,AQS,34
3/21/02,AQS,36,AQS,59
3/22/02,AQS,35,AQS,26
3/23/02,AQS,38,AQS,58
3/24/02,AQS,46,AQS,64
3/25/02,AQS,43,AQS,56
3/26/02,AQS,44,AQS,38
3/27/02,AQS,37,AQS,55
3/28/02,AQS,45,AQS,45
3/29/02,AQS,61,AQS,58
3/30/02,AQS,58,AQS,57
3/31/02,AQS,51,AQS,41
4/1/02,AQS,48,AQS,41
4/2/02,AQS,61,AQS,63
4/3/02,AQS,49,AQS,57
4/4/02,AQS,40,AQS,28
4/5/02,AQS,37,AQS,52
4/6/02,AQS,43,AQS,33
4/7/02,AQS,48,AQS,30
4/8/02,AQS,80,AQS,66
