Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/11,AQS,31,AQS,45
1/2/11,AQS,28,AQS,13
1/3/11,AQS,23,AQS,41
1/4/11,AQS,41,AQS,56
1/5/11,AQS,33,AQS,55
1/6/11,AQS,38,AQS,45
1/7/11,AQS,41,AQS,28
1/8/11,AQS,38,AQS,26
1/9/11,AQS,31,AQS,37
1/10/11,AQS,32,AQS,37
1/11/11,AQS,29,AQS,43
1/12/11,AQS,33,AQS,55
1/13/11,AQS,34,AQS,52
1/14/11,AQS,38,AQS,61
1/15/11,AQS,37,AQS,59
1/16/11,AQS,40,AQS,55
1/17/11,AQS,27,AQS,67
1/18/11,AQS,17,AQS,68
1/19/11,AQS,23,AQS,45
1/20/11,AQS,18,AQS,55
1/21/11,AQS,37,AQS,26
1/22/11,AQS,29,AQS,36
1/23/11,AQS,25,AQS,49
1/24/11,AQS,44,AQS,60
1/25/11,AQS,28,AQS,57
1/26/11,AQS,31,AQS,30
1/27/11,AQS,40,AQS,52
1/28/11,AQS,37,AQS,43
1/29/11,AQS,46,AQS,52
1/30/11,AQS,46,AQS,57
1/31/11,AQS,13,AQS,62
2/1/11,AQS,31,AQS,75
2/2/11,AQS,31,AQS,24
2/3/11,AQS,27,AQS,32
2/4/11,AQS,24,AQS,16
2/5/11,AQS,29,AQS,12
2/6/11,AQS,40,AQS,37
2/7/11,AQS,35,AQS,62
2/8/11,AQS,35,AQS,47
2/9/11,AQS,33,AQS,40
2/10/11,AQS,29,AQS,39
2/11/11,AQS,39,AQS,54
2/12/11,AQS,43,AQS,33
2/13/11,AQS,47,AQS,41
2/14/11,AQS,67,AQS,48
2/15/11,AQS,48,AQS,83
2/16/11,AQS,42,AQS,66
2/17/11,AQS,71,AQS,81
2/18/11,AQS,44,AQS,81
2/19/11,AQS,42,AQS,75
2/20/11,AQS,43,AQS,61
2/21/11,AQS,36,AQS,59
2/22/11,AQS,49,AQS,43
2/23/11,AQS,48,AQS,85
2/24/11,AQS,43,AQS,99
2/25/11,AQS,41,AQS,37
2/26/11,AQS,51,AQS,50
2/27/11,AQS,40,AQS,55
2/28/11,AQS,31,AQS,54
3/1/11,AQS,44,AQS,35
3/2/11,AQS,48,AQS,43
3/3/11,AQS,71,AQS,59
3/4/11,AQS,45,AQS,55
3/5/11,AQS,34,AQS,39
3/6/11,AQS,32,AQS,54
3/7/11,AQS,36,AQS,39
3/8/11,AQS,45,AQS,47
3/9/11,AQS,37,AQS,46
3/10/11,AQS,36,AQS,34
3/11/11,AQS,45,AQS,53
3/12/11,AQS,74,AQS,50
3/13/11,AQS,64,AQS,59
3/14/11,AQS,48,AQS,58
3/15/11,AQS,34,AQS,52
3/16/11,AQS,40,AQS,39
3/17/11,AQS,54,AQS,49
3/18/11,AQS,71,AQS,84
3/19/11,AQS,77,AQS,77
3/20/11,AQS,44,AQS,63
3/21/11,AQS,71,AQS,57
3/22/11,AQS,74,AQS,73
3/23/11,AQS,44,AQS,60
3/24/11,AQS,42,AQS,38
3/25/11,AQS,44,AQS,39
3/26/11,AQS,30,AQS,70
3/27/11,AQS,26,AQS,45
3/28/11,AQS,29,AQS,29
3/29/11,AQS,36,AQS,55
3/30/11,AQS,26,AQS,40
3/31/11,AQS,37,AQS,52
4/1/11,AQS,44,AQS,57
4/2/11,AQS,51,AQS,35
4/3/11,AQS,58,AQS,45
4/4/11,AQS,44,AQS,50
4/5/11,AQS,47,AQS,23
4/6/11,AQS,58,AQS,50
4/7/11,AQS,74,AQS,59
4/8/11,AQS,31,AQS,72
4/9/11,AQS,40,AQS,68
4/10/11,AQS,44,AQS,58
4/11/11,AQS,39,AQS,51
4/12/11,AQS,49,AQS,54
4/13/11,AQS,71,AQS,39
4/14/11,AQS,100,AQS,69
4/15/11,AQS,48,AQS,64
4/16/11,AQS,44,AQS,35
4/17/11,AQS,67,AQS,38
4/18/11,AQS,77,AQS,61
4/19/11,AQS,84,AQS,68
4/20/11,AQS,43,AQS,57
4/21/11,AQS,49,AQS,42
4/22/11,AQS,39,AQS,64
4/23/11,AQS,39,AQS,44
4/24/11,AQS,54,AQS,57
4/25/11,AQS,38,AQS,55
4/26/11,AQS,33,AQS,47
4/27/11,AQS,37,AQS,59
4/28/11,AQS,48,AQS,26
4/29/11,AQS,74,AQS,33
4/30/11,AQS,97,AQS,54
5/1/11,AQS,100,AQS,63
5/2/11,AQS,49,AQS,59
5/3/11,AQS,39,AQS,55
5/4/11,AQS,51,AQS,32
5/5/11,AQS,49,AQS,43
5/6/11,AQS,77,AQS,50
5/7/11,AQS,93,AQS,48
5/8/11,AQS,87,AQS,69
5/9/11,AQS,147,AQS,83
5/10/11,AQS,97,AQS,89
5/11/11,AQS,115,AQS,81
5/12/11,AQS,150,AQS,74
5/13/11,AQS,49,AQS,61
5/14/11,AQS,47,AQS,41
5/15/11,AQS,25,AQS,27
5/16/11,AQS,24,AQS,25
5/17/11,AQS,37,AQS,40
5/18/11,AQS,42,AQS,58
5/19/11,AQS,105,AQS,68
5/20/11,AQS,136,AQS,68
5/21/11,AQS,119,AQS,68
5/22/11,AQS,71,AQS,76
5/23/11,AQS,54,AQS,74
5/24/11,AQS,48,AQS,66
5/25/11,AQS,93,AQS,72
5/26/11,AQS,43,AQS,55
5/27/11,AQS,54,AQS,58
5/28/11,AQS,136,AQS,67
5/29/11,AQS,80,AQS,93
5/30/11,AQS,58,AQS,81
5/31/11,AQS,129,AQS,81
6/1/11,AQS,112,AQS,105
6/2/11,AQS,166,AQS,108
6/3/11,AQS,147,AQS,101
6/4/11,AQS,129,AQS,90
6/5/11,AQS,105,AQS,102
6/6/11,AQS,140,AQS,65
6/7/11,AQS,126,AQS,88
6/8/11,AQS,140,AQS,87
6/9/11,AQS,108,AQS,94
6/10/11,AQS,147,AQS,89
6/11/11,AQS,122,AQS,95
6/12/11,AQS,108,AQS,68
6/13/11,AQS,129,AQS,67
6/14/11,AQS,129,AQS,63
6/15/11,AQS,126,AQS,77
6/16/11,AQS,90,AQS,53
6/17/11,AQS,90,AQS,68
6/18/11,AQS,36,AQS,53
6/19/11,AQS,36,AQS,54
6/20/11,AQS,58,AQS,65
6/21/11,AQS,42,AQS,51
6/22/11,AQS,38,AQS,35
6/23/11,AQS,31,AQS,43
6/24/11,AQS,54,AQS,46
6/25/11,AQS,119,AQS,48
6/26/11,AQS,90,AQS,55
6/27/11,AQS,61,AQS,58
6/28/11,AQS,90,AQS,56
6/29/11,AQS,112,AQS,80
6/30/11,AQS,115,AQS,73
7/1/11,AQS,151,AQS,78
7/2/11,AQS,172,AQS,82
7/3/11,AQS,115,AQS,79
7/4/11,AQS,51,AQS,90
7/5/11,AQS,122,AQS,70
7/6/11,AQS,90,AQS,64
7/7/11,AQS,156,AQS,82
7/8/11,AQS,93,AQS,75
7/9/11,AQS,74,AQS,76
7/10/11,AQS,84,AQS,71
7/11/11,AQS,100,AQS,87
7/12/11,AQS,74,AQS,97
7/13/11,AQS,140,AQS,83
7/14/11,AQS,115,AQS,78
7/15/11,AQS,35,AQS,60
7/16/11,AQS,42,AQS,47
7/17/11,AQS,46,AQS,46
7/18/11,AQS,122,AQS,59
7/19/11,AQS,115,AQS,75
7/20/11,AQS,74,AQS,80
7/21/11,AQS,101,AQS,92
7/22/11,AQS,105,AQS,82
7/23/11,AQS,44,AQS,69
7/24/11,AQS,39,AQS,49
7/25/11,AQS,37,AQS,54
7/26/11,AQS,105,AQS,68
7/27/11,AQS,108,AQS,75
7/28/11,AQS,54,AQS,53
7/29/11,AQS,44,AQS,40
7/30/11,AQS,40,AQS,44
7/31/11,AQS,54,AQS,54
8/1/11,AQS,119,AQS,73
8/2/11,AQS,119,AQS,100
8/3/11,AQS,140,AQS,87
8/4/11,AQS,58,AQS,63
8/5/11,AQS,133,AQS,60
8/6/11,AQS,80,AQS,62
8/7/11,AQS,50,AQS,71
8/8/11,AQS,64,AQS,59
8/9/11,AQS,58,AQS,53
8/10/11,AQS,147,AQS,61
8/11/11,AQS,119,AQS,61
8/12/11,AQS,140,AQS,78
8/13/11,AQS,100,AQS,64
8/14/11,AQS,74,AQS,53
8/15/11,AQS,100,AQS,54
8/16/11,AQS,119,AQS,63
8/17/11,AQS,122,AQS,71
8/18/11,AQS,100,AQS,73
8/19/11,AQS,136,AQS,85
8/20/11,AQS,105,AQS,89
8/21/11,AQS,100,AQS,80
8/22/11,AQS,112,AQS,62
8/23/11,AQS,115,AQS,52
8/24/11,AQS,129,AQS,63
8/25/11,AQS,126,AQS,68
8/26/11,AQS,150,AQS,79
8/27/11,AQS,105,AQS,70
8/28/11,AQS,119,AQS,61
8/29/11,AQS,136,AQS,69
8/30/11,AQS,119,AQS,85
8/31/11,AQS,97,AQS,91
9/1/11,AQS,136,AQS,80
9/2/11,AQS,154,AQS,87
9/3/11,AQS,140,AQS,84
9/4/11,AQS,42,AQS,69
9/5/11,AQS,30,AQS,30
9/6/11,AQS,30,AQS,14
9/7/11,AQS,21,AQS,30
9/8/11,AQS,35,AQS,43
9/9/11,AQS,51,AQS,52
9/10/11,AQS,112,AQS,58
9/11/11,AQS,101,AQS,62
9/12/11,AQS,101,AQS,75
9/13/11,AQS,115,AQS,80
9/14/11,AQS,129,AQS,79
9/15/11,AQS,77,AQS,92
9/16/11,AQS,34,AQS,38
9/17/11,AQS,50,AQS,44
9/18/11,AQS,40,AQS,39
9/19/11,AQS,43,AQS,38
9/20/11,AQS,34,AQS,49
9/21/11,AQS,37,AQS,44
9/22/11,AQS,30,AQS,51
9/23/11,AQS,39,AQS,37
9/24/11,AQS,64,AQS,35
9/25/11,AQS,48,AQS,55
9/26/11,AQS,54,AQS,56
9/27/11,AQS,46,AQS,57
9/28/11,AQS,46,AQS,64
9/29/11,AQS,61,AQS,62
9/30/11,AQS,44,AQS,60
10/1/11,AQS,36,AQS,25
10/2/11,AQS,39,AQS,26
10/3/11,AQS,46,AQS,32
10/4/11,AQS,67,AQS,60
10/5/11,AQS,90,AQS,57
10/6/11,AQS,74,AQS,55
10/7/11,AQS,67,AQS,58
10/8/11,AQS,44,AQS,48
10/9/11,AQS,43,AQS,40
10/10/11,AQS,37,AQS,36
10/11/11,AQS,37,AQS,24
10/12/11,AQS,29,AQS,26
10/13/11,AQS,36,AQS,38
10/14/11,AQS,42,AQS,37
10/15/11,AQS,49,AQS,49
10/16/11,AQS,42,AQS,44
10/17/11,AQS,64,AQS,65
10/18/11,AQS,43,AQS,63
10/19/11,AQS,28,AQS,30
10/20/11,AQS,22,AQS,34
10/21/11,AQS,36,AQS,43
10/22/11,AQS,40,AQS,51
10/23/11,AQS,44,AQS,63
10/24/11,AQS,50,AQS,58
10/25/11,AQS,67,AQS,59
10/26/11,AQS,61,AQS,70
10/27/11,AQS,51,AQS,73
10/28/11,AQS,43,AQS,53
10/29/11,AQS,38,AQS,29
10/30/11,AQS,39,AQS,56
10/31/11,AQS,43,AQS,55
11/1/11,AQS,44,AQS,59
11/2/11,AQS,44,AQS,60
11/3/11,AQS,40,AQS,51
11/4/11,AQS,31,AQS,35
11/5/11,AQS,35,AQS,56
11/6/11,AQS,30,AQS,40
11/7/11,AQS,35,AQS,44
11/8/11,AQS,38,AQS,48
11/9/11,AQS,37,AQS,56
11/10/11,AQS,34,AQS,23
11/11/11,AQS,36,AQS,40
11/12/11,AQS,42,AQS,63
11/13/11,AQS,39,AQS,58
11/14/11,AQS,35,AQS,48
11/15/11,AQS,28,AQS,59
11/16/11,AQS,19,AQS,32
11/17/11,AQS,30,AQS,25
11/18/11,AQS,32,AQS,45
11/19/11,AQS,30,AQS,51
11/20/11,AQS,23,AQS,67
11/21/11,AQS,28,AQS,71
11/22/11,AQS,28,AQS,55
11/23/11,AQS,19,AQS,23
11/24/11,AQS,37,AQS,43
11/25/11,AQS,39,AQS,57
11/26/11,AQS,32,AQS,52
11/27/11,AQS,35,AQS,26
11/28/11,AQS,28,AQS,10
11/29/11,AQS,16,AQS,20
11/30/11,AQS,20,AQS,30
12/1/11,AQS,31,AQS,54
12/2/11,AQS,35,AQS,75
12/3/11,AQS,41,AQS,72
12/4/11,AQS,30,AQS,57
12/5/11,AQS,31,AQS,53
12/6/11,AQS,29,AQS,33
12/7/11,AQS,19,AQS,11
12/8/11,AQS,27,AQS,47
12/9/11,AQS,33,AQS,58
12/10/11,AQS,28,AQS,56
12/11/11,AQS,31,AQS,58
12/12/11,AQS,26,AQS,52
12/13/11,AQS,30,AQS,54
12/14/11,AQS,36,AQS,63
12/15/11,AQS,35,AQS,59
12/16/11,AQS,30,AQS,47
12/17/11,AQS,22,AQS,33
12/18/11,AQS,22,AQS,57
12/19/11,AQS,26,AQS,70
12/20/11,AQS,18,AQS,63
12/21/11,AQS,20,AQS,25
12/22/11,AQS,18,AQS,23
12/23/11,AQS,19,AQS,33
12/24/11,AQS,19,AQS,54
12/25/11,AQS,4,AQS,69
12/26/11,AQS,24,AQS,49
12/27/11,AQS,22,AQS,28
12/28/11,AQS,22,AQS,34
12/29/11,AQS,27,AQS,66
12/30/11,AQS,31,AQS,61
12/31/11,AQS,30,AQS,47
