Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/03,AQS,24,AQS,77
1/2/03,AQS,29,AQS,78
1/3/03,AQS,35,AQS,51
1/4/03,AQS,35,AQS,52
1/5/03,AQS,28,AQS,50
1/6/03,AQS,25,AQS,80
1/7/03,AQS,28,AQS,55
1/8/03,AQS,9,AQS,58
1/9/03,AQS,14,AQS,55
1/10/03,AQS,29,AQS,55
1/11/03,AQS,30,AQS,40
1/12/03,AQS,33,AQS,43
1/13/03,AQS,29,AQS,60
1/14/03,AQS,23,AQS,45
1/15/03,AQS,35,AQS,57
1/16/03,AQS,35,AQS,38
1/17/03,AQS,35,AQS,63
1/18/03,AQS,33,AQS,67
1/19/03,AQS,17,AQS,92
1/20/03,AQS,36,AQS,70
1/21/03,AQS,38,AQS,53
1/22/03,AQS,39,AQS,43
1/23/03,AQS,34,AQS,46
1/24/03,AQS,37,AQS,45
1/25/03,AQS,22,AQS,66
1/26/03,AQS,19,AQS,87
1/27/03,AQS,38,AQS,53
1/28/03,AQS,31,AQS,47
1/29/03,AQS,5,AQS,96
1/30/03,AQS,14,AQS,101
1/31/03,AQS,26,AQS,82
2/1/03,AQS,31,AQS,61
2/2/03,AQS,38,AQS,35
2/3/03,AQS,36,AQS,50
2/4/03,AQS,28,AQS,63
2/5/03,AQS,40,AQS,43
2/6/03,AQS,34,AQS,52
2/7/03,AQS,29,AQS,73
2/8/03,AQS,34,AQS,62
2/9/03,AQS,27,AQS,74
2/10/03,AQS,19,AQS,79
2/11/03,AQS,42,AQS,57
2/12/03,AQS,33,AQS,63
2/13/03,AQS,34,AQS,42
2/14/03,AQS,34,AQS,67
2/15/03,AQS,38,AQS,42
2/16/03,AQS,32,AQS,40
2/17/03,AQS,33,AQS,43
2/18/03,AQS,30,AQS,42
2/19/03,AQS,19,AQS,71
2/20/03,AQS,35,AQS,77
2/21/03,AQS,32,AQS,61
2/22/03,AQS,37,AQS,81
2/23/03,AQS,37,AQS,31
2/24/03,AQS,35,AQS,32
2/25/03,AQS,43,AQS,44
2/26/03,AQS,33,AQS,62
2/27/03,AQS,34,AQS,71
2/28/03,AQS,33,AQS,64
3/1/03,AQS,32,AQS,87
3/2/03,AQS,33,AQS,59
3/3/03,AQS,42,AQS,53
3/4/03,AQS,29,AQS,57
3/5/03,AQS,25,AQS,73
3/6/03,AQS,35,AQS,68
3/7/03,AQS,31,AQS,60
3/8/03,AQS,32,AQS,91
3/9/03,AQS,44,AQS,69
3/10/03,AQS,41,AQS,59
3/11/03,AQS,34,AQS,60
3/12/03,AQS,23,AQS,83
3/13/03,AQS,35,AQS,64
3/14/03,AQS,35,AQS,56
3/15/03,AQS,28,AQS,60
3/16/03,AQS,19,AQS,102
3/17/03,AQS,32,AQS,92
3/18/03,AQS,40,AQS,85
3/19/03,AQS,40,AQS,55
3/20/03,AQS,32,AQS,51
3/21/03,AQS,28,AQS,75
3/22/03,AQS,19,AQS,93
3/23/03,AQS,43,AQS,63
3/24/03,AQS,24,AQS,56
3/25/03,AQS,35,AQS,70
3/26/03,AQS,44,AQS,66
3/27/03,AQS,47,AQS,53
3/28/03,AQS,43,AQS,61
3/29/03,AQS,40,AQS,52
3/30/03,AQS,37,AQS,56
3/31/03,AQS,45,AQS,42
4/1/03,AQS,42,AQS,52
4/2/03,AQS,32,AQS,77
4/3/03,AQS,41,AQS,80
4/4/03,AQS,46,AQS,46
4/5/03,AQS,47,AQS,39
4/6/03,AQS,44,AQS,50
4/7/03,AQS,54,AQS,25
4/8/03,AQS,54,AQS,30
4/9/03,AQS,58,AQS,53
4/10/03,AQS,58,AQS,52
4/11/03,AQS,54,AQS,49
4/12/03,AQS,54,AQS,40
4/13/03,AQS,45,AQS,32
4/14/03,AQS,64,AQS,36
4/15/03,AQS,140,AQS,80
4/16/03,AQS,97,AQS,71
4/17/03,AQS,54,AQS,43
4/18/03,AQS,51,AQS,36
4/19/03,AQS,50,AQS,39
4/20/03,AQS,50,AQS,37
4/21/03,AQS,71,AQS,54
4/22/03,AQS,44,AQS,51
4/23/03,AQS,34,AQS,40
4/24/03,AQS,37,AQS,73
