Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5 _AQI_Value
1/1/20,AQS,29,AQS,19
1/2/20,AQS,31,AQS,31
1/3/20,AQS,21,AQS,45
1/4/20,AQS,26,AQS,47
1/5/20,AQS,36,AQS,16
1/6/20,AQS,29,AQS,33
1/7/20,AQS,34,AQS,33
1/8/20,AQS,34,AQS,39
1/9/20,AQS,33,AQS,30
1/10/20,AQS,30,AQS,42
1/11/20,AQS,39,AQS,43
1/12/20,AQS,34,AQS,23
1/13/20,AQS,27,AQS,32
1/14/20,AQS,20,AQS,45
1/15/20,AQS,28,AQS,45
1/16/20,AQS,33,AQS,47
1/17/20,AQS,39,AQS,28
1/18/20,AQS,35,AQS,33
1/19/20,AQS,33,AQS,41
1/20/20,AQS,38,AQS,28
1/21/20,AQS,37,AQS,43
1/22/20,AQS,35,AQS,58
1/23/20,AQS,31,AQS,67
1/24/20,AQS,34,AQS,63
1/25/20,AirNow,39,AQS,38
1/26/20,AQS,31,AQS,20
1/27/20,AQS,23,AQS,22
1/28/20,AQS,38,AQS,17
1/29/20,AirNow,40,AQS,26
1/30/20,AQS,34,AQS,35
1/31/20,AQS,34,AQS,46
2/1/20,AQS,30,AQS,51
2/2/20,AirNow,30,AQS,57
2/3/20,AQS,31,AQS,46
2/4/20,AirNow,31,AQS,54
2/5/20,AQS,34,AQS,41
2/6/20,AirNow,33,AQS,30
2/7/20,AQS,32,AQS,20
2/8/20,AQS,36,AQS,28
2/9/20,AirNow,35,AQS,36
2/10/20,AirNow,35,AQS,45
2/11/20,AQS,30,AQS,54
2/12/20,AQS,38,AQS,38
2/13/20,AQS,32,AQS,39
2/14/20,AQS,36,AQS,27
2/15/20,AQS,36,AQS,34
2/16/20,AQS,32,AQS,42
2/17/20,AQS,42,AQS,45
2/18/20,AirNow,38,AQS,35
2/19/20,AQS,40,AQS,23
2/20/20,AQS,40,AQS,24
2/21/20,AQS,39,AQS,32
2/22/20,AQS,43,AQS,46
2/23/20,AQS,45,AQS,56
2/24/20,AQS,46,AQS,57
2/25/20,AQS,36,AQS,58
2/26/20,AQS,44,AQS,53
2/27/20,AirNow,46,AQS,22
2/28/20,AQS,40,AQS,32
2/29/20,AQS,37,AQS,33
3/1/20,AQS,37,AQS,33
3/2/20,AQS,47,AQS,52
3/3/20,AQS,45,AQS,54
3/4/20,AQS,40,AQS,30
3/5/20,AQS,40,AQS,33
3/6/20,AQS,41,AQS,48
3/7/20,AQS,42,AQS,21
3/8/20,AQS,44,AQS,33
3/9/20,AQS,49,AQS,48
3/10/20,AQS,43,AQS,55
3/11/20,AQS,39,AQS,28
3/12/20,AQS,37,AQS,33
3/13/20,AQS,39,AQS,35
3/14/20,AQS,40,AQS,28
3/15/20,AQS,44,AQS,31
3/16/20,AQS,41,AQS,26
3/17/20,AQS,39,AQS,30
3/18/20,AQS,43,AQS,34
