Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/19,AQS,32,AQS,37
1/2/19,AirNow,22,AQS,52
1/3/19,AirNow,19,AQS,50
1/4/19,AQS,22,AQS,52
1/5/19,AQS,23,AQS,56
1/6/19,AirNow,33,AQS,38
1/7/19,AirNow,28,AQS,54
1/8/19,AirNow,30,AQS,52
1/9/19,AirNow,27,AQS,51
1/10/19,AirNow,28,AQS,45
1/11/19,AQS,30,AQS,65
1/12/19,AQS,30,AQS,67
1/13/19,AQS,37,AQS,39
1/14/19,AirNow,36,AQS,55
1/15/19,AirNow,30,AQS,53
1/16/19,AirNow,35,AQS,43
1/17/19,AirNow,30,AQS,62
1/18/19,AQS,36,AQS,59
1/19/19,AirNow,36,AQS,34
1/20/19,AirNow,36,AQS,30
1/21/19,AirNow,37,AQS,64
1/22/19,AQS,30,AQS,47
1/23/19,AQS,24,AQS,54
1/24/19,AQS,30,AQS,71
1/25/19,AQS,32,AQS,38
1/26/19,AQS,26,AQS,65
1/27/19,AQS,31,AQS,68
1/28/19,AQS,31,AQS,55
1/29/19,AQS,33,AQS,30
1/30/19,AQS,29,AQS,38
1/31/19,AQS,30,AQS,40
2/1/19,AQS,29,AQS,68
2/2/19,AQS,31,AQS,87
2/3/19,AQS,26,AQS,60
2/4/19,AQS,24,AQS,53
2/5/19,AQS,30,AQS,52
2/6/19,AirNow,26,AQS,52
2/7/19,AirNow,34,AQS,42
2/8/19,AirNow,36,AQS,25
2/9/19,AirNow,33,AirNow,48
2/10/19,AQS,23,AQS,60
2/11/19,AirNow,27,AQS,77
2/12/19,AirNow,40,AQS,37
2/13/19,AirNow,40,AirNow,50
2/14/19,AirNow,35,AQS,43
2/15/19,AirNow,36,AQS,53
2/16/19,AirNow,40,AQS,40
2/17/19,AirNow,39,AQS,49
2/18/19,AirNow,42,AQS,45
2/19/19,AirNow,38,AQS,59
2/20/19,AirNow,42,AQS,54
2/21/19,AirNow,49,AQS,64
2/22/19,AQS,54,AQS,88
2/23/19,AQS,37,AQS,76
2/24/19,AirNow,47,AQS,52
2/25/19,AirNow,38,AirNow,34
2/26/19,AirNow,37,AQS,38
2/27/19,AirNow,40,AirNow,63
2/28/19,AQS,37,AQS,55
3/1/19,AQS,42,AQS,72
3/2/19,AQS,49,AQS,70
3/3/19,AQS,42,AQS,35
3/4/19,AQS,42,AQS,69
3/5/19,AQS,44,AQS,39
3/6/19,AQS,50,AQS,40
3/7/19,AirNow,47,AQS,60
3/8/19,AQS,44,AQS,97
3/9/19,AQS,41,AirNow,77
3/10/19,AQS,50,AQS,51
3/11/19,AQS,51,AQS,47
3/12/19,AQS,44,AQS,61
3/13/19,AQS,39,AQS,45
3/14/19,AQS,40,AQS,71
3/15/19,AQS,43,AQS,33
3/16/19,AQS,44,AQS,40
3/17/19,AQS,46,AQS,51
3/18/19,AQS,46,AQS,65
3/19/19,AQS,47,AQS,55
3/20/19,AQS,35,AQS,64
3/21/19,AQS,41,AQS,59
3/22/19,AQS,44,AQS,43
3/23/19,AQS,48,AQS,59
3/24/19,AQS,43,AQS,56
3/25/19,AQS,44,AQS,52
3/26/19,AQS,44,AQS,34
3/27/19,AQS,47,AQS,50
3/28/19,AQS,43,AQS,71
3/29/19,AQS,42,AQS,55
3/30/19,AQS,42,AQS,31
3/31/19,AQS,43,AQS,25
4/1/19,AQS,43,AQS,39
4/2/19,AQS,44,AQS,86
4/3/19,AQS,47,AQS,59
4/4/19,AQS,42,AQS,53
4/5/19,AQS,36,AQS,72
4/6/19,AQS,50,AQS,97
4/7/19,AirNow,41,AQS,58
4/8/19,AQS,50,AQS,50
4/9/19,AQS,49,AQS,44
4/10/19,AQS,34,AQS,34
4/11/19,AQS,38,AQS,48
4/12/19,AQS,42,AQS,37
4/13/19,AQS,49,AQS,34
4/14/19,AQS,43,AQS,28
4/15/19,AQS,48,AQS,35
4/16/19,AQS,58,AQS,51
4/17/19,AQS,51,AQS,63
4/18/19,AQS,39,AQS,52
4/19/19,AQS,45,AQS,29
4/20/19,AQS,49,AQS,31
4/21/19,AQS,71,AQS,45
4/22/19,AQS,61,AQS,48
4/23/19,AQS,46,AQS,48
4/24/19,AQS,44,AQS,50
4/25/19,AQS,61,AQS,57
4/26/19,AQS,49,AQS,40
4/27/19,AQS,47,AQS,36
4/28/19,AQS,46,AQS,35
4/29/19,AQS,39,AQS,46
4/30/19,AQS,36,AQS,77
5/1/19,AQS,39,AQS,43
5/2/19,AQS,37,AQS,58
5/3/19,AQS,38,AQS,28
5/4/19,AQS,48,AQS,55
5/5/19,AQS,67,AQS,54
5/6/19,AQS,44,AQS,39
5/7/19,AQS,39,AQS,40
5/8/19,AQS,46,AQS,39
5/9/19,AQS,37,AQS,55
5/10/19,AQS,43,AQS,28
5/11/19,AQS,44,AQS,32
5/12/19,AQS,44,AQS,38
5/13/19,AQS,48,AQS,39
5/14/19,AQS,61,AQS,48
5/15/19,AQS,77,AQS,58
5/16/19,AQS,44,AQS,58
5/17/19,AQS,41,AQS,48
5/18/19,AQS,45,AQS,54
5/19/19,AQS,51,AQS,54
5/20/19,AQS,30,AQS,27
5/21/19,AQS,31,AQS,33
5/22/19,AQS,67,AQS,53
5/23/19,AQS,44,AQS,40
5/24/19,AQS,42,AQS,54
5/25/19,AQS,49,AQS,52
5/26/19,AQS,42,AQS,54
5/27/19,AQS,42,AQS,58
5/28/19,AQS,37,AQS,53
5/29/19,AQS,44,AQS,60
5/30/19,AQS,84,AQS,55
5/31/19,AQS,64,AQS,56
6/1/19,AQS,61,AQS,65
6/2/19,AQS,44,AQS,51
6/3/19,AQS,44,AQS,50
6/4/19,AQS,64,AQS,62
6/5/19,AQS,115,AQS,55
6/6/19,AQS,64,AQS,71
6/7/19,AQS,77,AQS,61
6/8/19,AQS,64,AQS,58
6/9/19,AQS,46,AQS,64
6/10/19,AQS,44,AQS,57
6/11/19,AQS,77,AQS,57
6/12/19,AQS,45,AQS,47
6/13/19,AQS,40,AQS,40
6/14/19,AQS,61,AQS,41
6/15/19,AQS,44,AQS,80
6/16/19,AQS,35,AQS,67
6/17/19,AQS,35,AQS,65
6/18/19,AQS,84,AQS,70
6/19/19,AQS,54,AQS,70
6/20/19,AQS,33,AQS,56
6/21/19,AQS,37,AQS,51
6/22/19,AQS,54,AQS,56
6/23/19,AQS,48,AQS,55
6/24/19,AQS,41,AQS,47
6/25/19,AQS,51,AQS,45
6/26/19,AQS,105,AQS,51
6/27/19,AQS,97,AQS,53
6/28/19,AQS,101,AQS,63
6/29/19,AQS,129,AQS,63
