Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/09,AQS,41,AQS,60
1/2/09,AQS,39,AQS,53
1/3/09,AQS,31,AQS,53
1/4/09,AQS,24,AQS,50
1/5/09,AQS,22,AQS,39
1/6/09,AQS,30,AQS,19
1/7/09,AQS,33,AQS,41
1/8/09,AQS,33,AQS,56
1/9/09,AQS,37,AQS,55
1/10/09,AQS,24,AQS,54
1/11/09,AQS,37,AQS,35
1/12/09,AQS,37,AQS,24
1/13/09,AQS,32,AQS,33
1/14/09,AQS,34,AQS,40
1/15/09,AQS,29,AQS,37
1/16/09,AQS,25,AQS,53
1/17/09,AQS,38,AQS,52
1/18/09,AQS,37,AQS,25
1/19/09,AQS,37,AQS,23
1/20/09,AQS,36,AQS,23
1/21/09,AQS,33,AQS,39
1/22/09,AQS,42,AQS,51
1/23/09,AQS,36,AQS,48
1/24/09,AQS,28,AQS,38
1/25/09,AQS,30,AQS,53
1/26/09,AQS,15,AQS,48
1/27/09,AQS,24,AQS,25
1/28/09,AQS,31,AQS,63
1/29/09,AQS,36,AQS,64
1/30/09,AQS,41,AQS,49
1/31/09,AQS,44,AQS,39
2/1/09,AQS,44,AQS,27
2/2/09,AQS,39,AQS,25
2/3/09,AQS,39,AQS,35
2/4/09,AQS,34,AQS,30
2/5/09,AQS,47,AQS,46
2/6/09,AQS,44,AQS,42
2/7/09,AQS,38,AQS,34
2/8/09,AQS,38,AQS,33
2/9/09,AQS,38,AQS,28
2/10/09,AQS,37,AQS,51
2/11/09,AQS,40,AQS,39
2/12/09,AQS,49,AQS,37
2/13/09,AQS,41,AQS,42
2/14/09,AQS,33,AQS,43
2/15/09,AQS,38,AQS,55
2/16/09,AQS,33,AQS,56
2/17/09,AQS,29,AQS,62
2/18/09,AQS,44,AQS,27
2/19/09,AQS,40,AQS,35
2/20/09,AQS,48,AQS,33
2/21/09,AQS,37,AQS,25
2/22/09,AQS,41,AQS,28
2/23/09,AQS,64,AQS,47
2/24/09,AQS,48,AQS,51
2/25/09,AQS,47,AQS,51
2/26/09,AQS,44,AQS,46
2/27/09,AQS,34,AQS,59
2/28/09,AQS,35,AQS,42
3/1/09,AQS,43,AQS,25
3/2/09,AQS,46,AQS,43
3/3/09,AQS,87,AQS,55
3/4/09,AQS,47,AQS,52
3/5/09,AQS,44,AQS,48
3/6/09,AQS,40,AQS,52
3/7/09,AQS,33,AQS,56
3/8/09,AQS,77,AQS,62
3/9/09,AQS,33,AQS,64
3/10/09,AQS,32,AQS,54
3/11/09,AQS,35,AQS,18
3/12/09,AQS,31,AQS,16
3/13/09,AQS,31,AQS,19
3/14/09,AQS,35,AQS,52
3/15/09,AQS,35,AQS,58
3/16/09,AQS,51,AQS,53
3/17/09,AQS,100,AQS,61
3/18/09,AQS,71,AQS,56
3/19/09,AQS,87,AQS,53
3/20/09,AQS,97,AQS,61
3/21/09,AQS,100,AQS,75
3/22/09,AQS,67,AQS,61
3/23/09,AQS,44,AQS,51
3/24/09,AQS,46,AQS,60
3/25/09,AQS,32,AQS,34
3/26/09,AQS,37,AQS,54
3/27/09,AQS,36,AQS,31
3/28/09,AQS,44,AQS,18
3/29/09,AQS,64,AQS,25
3/30/09,AQS,51,AQS,55
3/31/09,AQS,51,AQS,22
4/1/09,AQS,80,AQS,44
4/2/09,AQS,49,AQS,56
4/3/09,AQS,64,AQS,34
4/4/09,AQS,64,AQS,57
4/5/09,AQS,45,AQS,25
4/6/09,AQS,49,AQS,41
4/7/09,AQS,51,AQS,45
4/8/09,AQS,74,AQS,54
4/9/09,AQS,64,AQS,78
4/10/09,AQS,87,AQS,75
4/11/09,AQS,58,AQS,37
4/12/09,AQS,44,AQS,33
4/13/09,AQS,49,AQS,20
4/14/09,AQS,80,AQS,38
4/15/09,AQS,84,AQS,55
4/16/09,AQS,80,AQS,54
4/17/09,AQS,38,AQS,52
4/18/09,AQS,38,AQS,46
4/19/09,AQS,49,AQS,18
4/20/09,AQS,74,AQS,25
4/21/09,AQS,119,AQS,44
4/22/09,AQS,93,AQS,55
4/23/09,AQS,49,AQS,58
4/24/09,AQS,45,AQS,68
4/25/09,AQS,42,AQS,107
4/26/09,AQS,40,AQS,55
4/27/09,AQS,38,AQS,38
4/28/09,AQS,36,AQS,33
4/29/09,AQS,42,AQS,41
4/30/09,AQS,39,AQS,55
5/1/09,AQS,33,AQS,63
5/2/09,AQS,32,AQS,52
5/3/09,AQS,30,AQS,16
5/4/09,AQS,49,AQS,28
5/5/09,AQS,34,AQS,69
5/6/09,AQS,42,AQS,60
5/7/09,AQS,44,AQS,91
5/8/09,AQS,51,AQS,83
5/9/09,AQS,38,AQS,44
5/10/09,AQS,44,AQS,49
5/11/09,AQS,40,AQS,33
5/12/09,AQS,39,AQS,55
5/13/09,AQS,43,AQS,65
5/14/09,AQS,41,AQS,52
5/15/09,AQS,42,AQS,56
5/16/09,AQS,41,AQS,28
5/17/09,AQS,46,AQS,21
5/18/09,AQS,93,AQS,33
5/19/09,AQS,119,AQS,51
5/20/09,AQS,126,AQS,58
5/21/09,AQS,119,AQS,60
5/22/09,AQS,48,AQS,52
5/23/09,AQS,45,AQS,32
5/24/09,AQS,39,AQS,34
5/25/09,AQS,87,AQS,55
5/26/09,AQS,77,AQS,52
5/27/09,AQS,50,AQS,15
5/28/09,AQS,101,AQS,38
5/29/09,AQS,133,AQS,33
5/30/09,AQS,143,AQS,44
5/31/09,AQS,115,AQS,58
6/1/09,AQS,93,AQS,50
6/2/09,AQS,71,AQS,54
6/3/09,AQS,58,AQS,30
6/4/09,AQS,87,AQS,36
6/5/09,AQS,166,AQS,48
6/6/09,AQS,101,AQS,58
6/7/09,AQS,64,AQS,42
6/8/09,AQS,67,AQS,37
6/9/09,AQS,45,AQS,59
6/10/09,AQS,34,AQS,52
6/11/09,AQS,39,AQS,46
6/12/09,AQS,44,AQS,57
6/13/09,AQS,48,AQS,65
6/14/09,AQS,44,AQS,42
6/15/09,AQS,49,AQS,49
6/16/09,AQS,48,AQS,48
6/17/09,AQS,44,AQS,46
6/18/09,AQS,35,AQS,63
6/19/09,AQS,37,AQS,38
6/20/09,AQS,37,AQS,36
6/21/09,AQS,38,AQS,47
6/22/09,AQS,71,AQS,44
6/23/09,AQS,100,AQS,52
6/24/09,AQS,136,AQS,68
6/25/09,AQS,187,AQS,70
6/26/09,AQS,164,AQS,84
6/27/09,AQS,156,AQS,79
6/28/09,AQS,133,AQS,76
6/29/09,AQS,119,AQS,116
6/30/09,AQS,140,AQS,67
7/1/09,AQS,182,AQS,60
7/2/09,AQS,164,AQS,67
7/3/09,AQS,133,AQS,64
7/4/09,AQS,43,AQS,60
7/5/09,AQS,51,AQS,45
7/6/09,AQS,97,AQS,67
7/7/09,AQS,185,AQS,58
7/8/09,AQS,119,AQS,74
7/9/09,AQS,112,AQS,62
7/10/09,AQS,105,AQS,66
7/11/09,AQS,80,AQS,52
7/12/09,AQS,58,AQS,66
7/13/09,AQS,101,AQS,71
7/14/09,AQS,93,AQS,64
7/15/09,AQS,90,AQS,68
7/16/09,AQS,101,AQS,57
7/17/09,AQS,143,AQS,34
7/18/09,AQS,159,AQS,38
7/19/09,AQS,105,AQS,58
7/20/09,AQS,44,AQS,81
7/21/09,AQS,90,AQS,70
7/22/09,AQS,101,AQS,27
7/23/09,AQS,87,AQS,53
7/24/09,AQS,112,AQS,72
7/25/09,AQS,61,AQS,68
7/26/09,AQS,87,AQS,60
7/27/09,AQS,31,AQS,56
7/28/09,AQS,112,AQS,55
7/29/09,AQS,46,AQS,71
