Date,Source Ozone AQI Value,Ozone_AQI-Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/12,AQS,43,AQS,33
1/2/12,AQS,40,AQS,31
1/3/12,AQS,42,AQS,25
1/4/12,AQS,42,AQS,54
1/5/12,AQS,41,AQS,24
1/6/12,AQS,41,AQS,20
1/7/12,AQS,37,AQS,40
1/8/12,AQS,44,AQS,23
1/9/12,AQS,44,AQS,20
1/10/12,AQS,41,AQS,56
1/11/12,AQS,40,AQS,13
1/12/12,AQS,41,AQS,20
1/13/12,AQS,42,AQS,18
1/14/12,AQS,42,AQS,18
1/15/12,AQS,42,AQS,41
1/16/12,AQS,39,AQS,25
1/17/12,AQS,42,AQS,28
1/18/12,AQS,39,AQS,26
1/19/12,AQS,36,AQS,15
1/20/12,AQS,41,AQS,18
1/21/12,AQS,41,AQS,38
1/22/12,AQS,42,AQS,15
1/23/12,AQS,44,AQS,26
1/24/12,AQS,44,AQS,38
1/25/12,AQS,44,AQS,35
1/26/12,AQS,44,AQS,19
1/27/12,AQS,41,AQS,13
1/28/12,AQS,44,AQS,26
1/29/12,AQS,38,AQS,12
1/30/12,AQS,40,AQS,27
1/31/12,AQS,45,AQS,38
2/1/12,AQS,45,AQS,27
2/2/12,AQS,43,AQS,25
2/3/12,AQS,41,AQS,30
2/4/12,AQS,43,AQS,30
2/5/12,AQS,50,AQS,58
2/6/12,AQS,44,AQS,62
2/7/12,AQS,47,AQS,39
2/8/12,AQS,49,AQS,84
2/9/12,AQS,43,AQS,89
2/10/12,AQS,45,AQS,41
2/11/12,AQS,44,AQS,47
2/12/12,AQS,43,AQS,115
2/13/12,AQS,49,,
2/14/12,AQS,45,,
2/15/12,AQS,47,AQS,60
2/16/12,AQS,49,,
2/17/12,AQS,49,,
2/18/12,AQS,47,AQS,57
2/19/12,AQS,46,,
2/20/12,AQS,44,,
2/21/12,AQS,42,AQS,19
2/22/12,AQS,39,,
2/23/12,AQS,44,,
2/24/12,AQS,46,AQS,30
2/25/12,AQS,48,,
2/26/12,AQS,49,,
2/27/12,AQS,45,AQS,33
2/28/12,AQS,49,,
2/29/12,AQS,49,,
3/1/12,AQS,46,AQS,17
3/2/12,AQS,44,,
3/3/12,AQS,44,,
3/4/12,AQS,46,AQS,60
3/5/12,AQS,48,,
3/6/12,AQS,58,,
3/7/12,AQS,48,AQS,42
3/8/12,AQS,48,,
3/9/12,AQS,49,,
3/10/12,AQS,46,AQS,30
3/11/12,AQS,64,,
3/12/12,AQS,61,,
3/13/12,AQS,51,AQS,32
3/14/12,AQS,64,,
3/15/12,AQS,48,,
3/16/12,AQS,48,AQS,34
3/17/12,AQS,47,,
3/18/12,AQS,67,,
3/19/12,AQS,54,AQS,18
3/20/12,AQS,50,,
3/21/12,AQS,51,,
3/22/12,AQS,50,AQS,35
3/23/12,AQS,46,,
3/24/12,AQS,54,,
3/25/12,AQS,50,AQS,36
3/26/12,AQS,93,,
3/27/12,AQS,71,,
3/28/12,AQS,61,AQS,58
3/29/12,AQS,71,,
3/30/12,AQS,54,,
3/31/12,AQS,47,AQS,26
4/1/12,AQS,54,,
4/2/12,AQS,46,,
4/3/12,AQS,48,AQS,31
4/4/12,AQS,54,,
4/5/12,AQS,58,,
4/6/12,AQS,126,AQS,35
4/7/12,AQS,87,,
4/8/12,AQS,80,,
4/9/12,AQS,90,AQS,35
4/10/12,AQS,112,AQS,37
4/11/12,AQS,47,AQS,36
4/12/12,AQS,80,AQS,26
4/13/12,AQS,67,AQS,18
4/14/12,AQS,93,AQS,36
4/15/12,AQS,54,AQS,17
4/16/12,AQS,67,AQS,17
4/17/12,AQS,64,AQS,16
4/18/12,AQS,58,AQS,38
4/19/12,AQS,54,AQS,13
4/20/12,AQS,51,AQS,13
4/21/12,AQS,74,AQS,23
4/22/12,AQS,84,AQS,17
4/23/12,AQS,90,AQS,30
4/24/12,AQS,77,AQS,30
4/25/12,AQS,90,AQS,33
4/26/12,AQS,51,AQS,30
4/27/12,AQS,122,AQS,20
4/28/12,AQS,112,AQS,15
4/29/12,AQS,77,AQS,16
4/30/12,AQS,87,AQS,26
5/1/12,AQS,67,AQS,37
5/2/12,AQS,80,AQS,32
5/3/12,AQS,80,AQS,28
5/4/12,AQS,80,AQS,28
5/5/12,AQS,100,AQS,33
5/6/12,AQS,74,AQS,35
5/7/12,AQS,49,AQS,18
5/8/12,AQS,90,AQS,31
5/9/12,AQS,67,AQS,29
5/10/12,AQS,61,AQS,27
5/11/12,AQS,51,AQS,30
5/12/12,AQS,47,AQS,54
5/13/12,AQS,67,AQS,52
5/14/12,AQS,101,AQS,38
5/15/12,AQS,112,AQS,54
5/16/12,AQS,77,AQS,37
5/17/12,AQS,108,AQS,47
5/18/12,AQS,90,AQS,60
5/19/12,AQS,54,AQS,18
5/20/12,AQS,71,AQS,20
5/21/12,AQS,84,AQS,52
5/22/12,AQS,77,AQS,30
5/23/12,AQS,101,AQS,24
5/24/12,AQS,115,AQS,34
5/25/12,AQS,77,AQS,22
5/26/12,AQS,112,AQS,66
5/27/12,AQS,115,AQS,63
5/28/12,AQS,105,AQS,31
5/29/12,AQS,115,AQS,27
5/30/12,AQS,93,AQS,40
5/31/12,AQS,108,AQS,25
6/1/12,AQS,80,AQS,27
