Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/14,AQS,49,AQS,20
1/2/14,AQS,46,AQS,60
1/3/14,AQS,47,AQS,33
1/4/14,AQS,43,AQS,22
1/5/14,AQS,44,AQS,37
1/6/14,AQS,44,AQS,61
1/7/14,AQS,44,AQS,60
1/8/14,AQS,40,AQS,78
1/9/14,AQS,50,AQS,64
1/10/14,AQS,45,AQS,31
1/11/14,AQS,42,AQS,23
1/12/14,AQS,42,AQS,16
1/13/14,AQS,45,AQS,21
1/14/14,AQS,43,AQS,28
1/15/14,AQS,48,AQS,28
1/16/14,AQS,45,AQS,35
1/17/14,AQS,45,AQS,51
1/18/14,AQS,51,AQS,30
1/19/14,AQS,50,AQS,25
1/20/14,AQS,47,AQS,35
1/21/14,AQS,50,AQS,30
1/22/14,AQS,50,AQS,36
1/23/14,AQS,49,AQS,61
1/24/14,AQS,49,AQS,54
1/25/14,AQS,46,AQS,20
1/26/14,AQS,45,AQS,27
1/27/14,AQS,45,AQS,36
1/28/14,AQS,51,AQS,54
1/29/14,AQS,46,AQS,47
1/30/14,AQS,48,AQS,26
1/31/14,AQS,45,AQS,84
2/1/14,AQS,54,AQS,68
2/2/14,AQS,54,AQS,89
2/3/14,AQS,44,AQS,89
2/4/14,AQS,44,AQS,103
2/5/14,AQS,44,AQS,52
2/6/14,AQS,44,AQS,70
2/7/14,AQS,46,AQS,124
2/8/14,AQS,44,AQS,49
2/9/14,AQS,43,AQS,123
2/10/14,AQS,49,AQS,152
2/11/14,AQS,48,AQS,63
2/12/14,AQS,45,AQS,52
2/13/14,AQS,43,AQS,28
2/14/14,AQS,44,AQS,45
2/15/14,AQS,38,AQS,27
2/16/14,AQS,46,AQS,52
2/17/14,AQS,49,AQS,28
2/18/14,AQS,47,AQS,25
2/19/14,AQS,47,AQS,37
2/20/14,AQS,44,AQS,20
2/21/14,AQS,48,AQS,20
2/22/14,AQS,47,AQS,32
2/23/14,AQS,47,AQS,67
2/24/14,AQS,46,AQS,70
2/25/14,AQS,44,AQS,64
2/26/14,AQS,44,AQS,82
2/27/14,AQS,51,AQS,62
2/28/14,AQS,49,AQS,60
3/1/14,AQS,48,AQS,60
3/2/14,AQS,50,AQS,76
3/3/14,AQS,50,AQS,53
3/4/14,AQS,51,AQS,40
3/5/14,AQS,67,AQS,51
3/6/14,AQS,67,AQS,77
3/7/14,AQS,48,AQS,55
3/8/14,AQS,46,AQS,43
3/9/14,AQS,51,AQS,14
3/10/14,AQS,50,AQS,48
3/11/14,AQS,48,AQS,42
3/12/14,AQS,50,AQS,47
3/13/14,AQS,54,AQS,44
3/14/14,AQS,64,AQS,38
3/15/14,AQS,51,AQS,25
3/16/14,AQS,58,AQS,28
3/17/14,AQS,54,AQS,35
3/18/14,AQS,44,AQS,24
3/19/14,AQS,58,AQS,28
3/20/14,AQS,61,AQS,31
3/21/14,AQS,49,AQS,34
3/22/14,AQS,51,AQS,37
3/23/14,AQS,61,AQS,52
3/24/14,AQS,61,AQS,47
3/25/14,AQS,58,AQS,69
3/26/14,AQS,61,AQS,53
3/27/14,AQS,49,AQS,28
3/28/14,AQS,58,AQS,28
3/29/14,AQS,74,AQS,34
3/30/14,AQS,74,AQS,35
3/31/14,AQS,54,AQS,12
4/1/14,AQS,67,AQS,36
4/2/14,AQS,87,AQS,62
4/3/14,AQS,64,AQS,36
4/4/14,AQS,71,AQS,28
4/5/14,AQS,71,AQS,18
4/6/14,AQS,54,AQS,22
4/7/14,AQS,74,AQS,27
4/8/14,AQS,51,AQS,30
4/9/14,AQS,54,AQS,30
4/10/14,AQS,77,AQS,36
4/11/14,AQS,80,AQS,38
4/12/14,AQS,74,AQS,28
4/13/14,AQS,39,AQS,18
4/14/14,AQS,71,AQS,31
4/15/14,AQS,64,AQS,22
4/16/14,AQS,80,AQS,23
4/17/14,AQS,74,AQS,32
4/18/14,AQS,74,AQS,28
4/19/14,AQS,71,AQS,28
4/20/14,AQS,90,AQS,23
4/21/14,AQS,105,AQS,37
4/22/14,AQS,87,AQS,32
4/23/14,AQS,100,AQS,37
4/24/14,AQS,87,AQS,19
4/25/14,AQS,100,AQS,25
4/26/14,AQS,61,AQS,28
4/27/14,AQS,58,AQS,10
