Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/12,,,AQS,32
1/2/12,,,AQS,18
1/3/12,AQS,23,AQS,23
1/4/12,AQS,13,AQS,57
1/5/12,AQS,11,AQS,59
1/6/12,AQS,13,AQS,46
1/7/12,AQS,19,AQS,33
1/8/12,AQS,19,AQS,28
1/9/12,AQS,16,AQS,53
1/10/12,AQS,15,AQS,69
1/11/12,AQS,11,AQS,66
1/12/12,AQS,13,AQS,47
1/13/12,AQS,21,AQS,33
1/14/12,AQS,25,AQS,37
1/15/12,AQS,26,AQS,34
1/16/12,AQS,19,AQS,64
1/17/12,AQS,25,AQS,23
1/18/12,AQS,24,AQS,18
1/19/12,AQS,18,AQS,49
1/20/12,AQS,20,AQS,38
1/21/12,AQS,20,AQS,48
1/22/12,AQS,21,AQS,63
1/23/12,AQS,19,AQS,35
1/24/12,AQS,16,AQS,59
1/25/12,AQS,15,AQS,60
1/26/12,AQS,9,AQS,66
1/27/12,AQS,15,AQS,33
1/28/12,AQS,29,AQS,52
1/29/12,AQS,26,AQS,25
1/30/12,AQS,19,AQS,48
1/31/12,AQS,26,AQS,63
2/1/12,AQS,18,AQS,45
2/2/12,AQS,11,AQS,44
2/3/12,AQS,17,AQS,72
2/4/12,AQS,24,AQS,40
2/5/12,AQS,23,AQS,61
2/6/12,AQS,24,AQS,54
2/7/12,AQS,18,AQS,40
2/8/12,AQS,19,AQS,24
2/9/12,AQS,19,AQS,139
2/10/12,AQS,12,AQS,60
2/11/12,AQS,28,AQS,18
2/12/12,AQS,32,AQS,23
2/13/12,AQS,21,AQS,40
2/14/12,AQS,13,AQS,64
2/15/12,AQS,19,AQS,70
2/16/12,AQS,14,AQS,69
2/17/12,AQS,26,AQS,53
2/18/12,AQS,30,AQS,52
2/19/12,AQS,26,AQS,23
2/20/12,AQS,30,AQS,39
2/21/12,AQS,18,AQS,56
2/22/12,AQS,21,AQS,30
2/23/12,AQS,25,AQS,51
2/24/12,AQS,25,AQS,62
2/25/12,AQS,28,AQS,32
2/26/12,AQS,28,AQS,45
2/27/12,AQS,24,AQS,50
2/28/12,AQS,31,AQS,48
2/29/12,AQS,30,AQS,44
3/1/12,AQS,17,AQS,55
3/2/12,AQS,25,AQS,51
3/3/12,AQS,31,AQS,29
3/4/12,AQS,31,AQS,59
3/5/12,AQS,27,AQS,33
3/6/12,AQS,30,AQS,32
3/7/12,AQS,42,AQS,60
3/8/12,AQS,31,AQS,43
3/9/12,AQS,29,AQS,26
3/10/12,AQS,31,AQS,35
3/11/12,AQS,36,AQS,45
3/12/12,AQS,24,AQS,53
3/13/12,AQS,34,AQS,68
3/14/12,AQS,36,AQS,52
3/15/12,AQS,30,AQS,63
3/16/12,AQS,22,AQS,69
3/17/12,AQS,34,AQS,52
3/18/12,AQS,32,AQS,53
3/19/12,AQS,35,AQS,52
3/20/12,AQS,37,AQS,56
3/21/12,AQS,46,AQS,63
3/22/12,AQS,44,AQS,74
3/23/12,AQS,41,AQS,63
3/24/12,,,AQS,52
3/25/12,,,AQS,42
3/26/12,,,AQS,18
3/27/12,AQS,33,AQS,22
3/28/12,AQS,31,AQS,42
3/29/12,AQS,31,AQS,19
3/30/12,AQS,29,AQS,41
3/31/12,AQS,27,AQS,53
4/1/12,AQS,34,AQS,66
4/2/12,AQS,42,AQS,39
4/3/12,AQS,38,AQS,63
4/4/12,AQS,39,AQS,30
4/5/12,AQS,41,AQS,28
4/6/12,AQS,44,AQS,30
4/7/12,AQS,58,AQS,53
4/8/12,AQS,46,AQS,33
4/9/12,AQS,49,AQS,26
4/10/12,AQS,34,AQS,23
4/11/12,AQS,33,AQS,25
4/12/12,AQS,36,AQS,52
4/13/12,AQS,47,AQS,50
4/14/12,AQS,40,AQS,58
4/15/12,AQS,45,AQS,105
4/16/12,AQS,45,AQS,35
4/17/12,AQS,40,AQS,25
4/18/12,AQS,44,AQS,37
4/19/12,AQS,40,AQS,45
4/20/12,AQS,46,AQS,39
4/21/12,AQS,44,AQS,40
4/22/12,AQS,42,AQS,20
4/23/12,AQS,47,AQS,16
4/24/12,AQS,51,AQS,28
4/25/12,AQS,44,AQS,44
4/26/12,AQS,38,AQS,32
4/27/12,AQS,49,AQS,29
4/28/12,AQS,44,AQS,28
4/29/12,AQS,50,AQS,37
4/30/12,AQS,40,AQS,54
5/1/12,AQS,37,AQS,55
5/2/12,AQS,45,AQS,54
5/3/12,AQS,47,AQS,61
