Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/92,AQS,30,,
1/2/92,AQS,26,,
1/3/92,AQS,19,,
1/4/92,AQS,19,,
1/5/92,AQS,24,,
1/6/92,AQS,24,,
1/7/92,AQS,25,,
1/8/92,AQS,40,,
1/9/92,AQS,31,,
1/10/92,AQS,26,,
1/11/92,AQS,35,,
1/12/92,AQS,32,,
1/13/92,AQS,30,,
1/14/92,AQS,26,,
1/15/92,AQS,28,,
1/16/92,AQS,26,,
1/17/92,AQS,23,,
1/18/92,AQS,34,,
1/19/92,AQS,37,,
1/20/92,AQS,32,,
1/21/92,AQS,31,,
1/22/92,AQS,37,,
1/23/92,AQS,31,,
1/24/92,AQS,31,,
1/25/92,AQS,26,,
1/26/92,AQS,34,,
1/27/92,AQS,61,,
1/28/92,AQS,29,,
1/29/92,AQS,31,,
1/30/92,AQS,38,,
1/31/92,AQS,35,,
2/1/92,AQS,45,,
2/2/92,AQS,48,,
2/3/92,AQS,42,,
2/4/92,AQS,39,,
2/5/92,AQS,28,,
2/6/92,AQS,28,,
2/7/92,AQS,34,,
2/8/92,AQS,39,,
2/9/92,AQS,34,,
2/10/92,AQS,34,,
2/11/92,AQS,31,,
2/12/92,AQS,26,,
2/13/92,AQS,33,,
2/14/92,AQS,29,,
2/15/92,AQS,31,,
2/16/92,AQS,32,,
2/17/92,AQS,29,,
2/18/92,AQS,40,,
2/19/92,AQS,43,,
2/20/92,AQS,19,,
2/21/92,AQS,37,,
2/22/92,AQS,108,,
2/23/92,AQS,46,,
2/24/92,AQS,44,,
2/25/92,AQS,48,,
2/26/92,AQS,47,,
2/27/92,AQS,71,,
2/28/92,AQS,64,,
2/29/92,AQS,40,,
3/1/92,AQS,44,,
3/2/92,AQS,29,,
3/3/92,AQS,31,,
3/4/92,AQS,44,,
3/5/92,AQS,35,,
3/6/92,AQS,33,,
3/7/92,AQS,42,,
3/8/92,AQS,49,,
3/9/92,AQS,32,,
3/10/92,AQS,46,,
3/11/92,AQS,101,,
3/12/92,AQS,133,,
3/13/92,AQS,150,,
3/14/92,AQS,90,,
3/15/92,AQS,44,,
3/16/92,AQS,46,,
3/17/92,AQS,45,,
3/18/92,AQS,46,,
3/19/92,AQS,42,,
3/20/92,AQS,37,,
3/21/92,AQS,42,,
3/22/92,AQS,31,,
3/23/92,AQS,42,,
3/24/92,AQS,67,,
3/25/92,AQS,35,,
3/26/92,AQS,48,,
3/27/92,AQS,33,,
3/28/92,AQS,47,,
3/29/92,AQS,47,,
3/30/92,AQS,37,,
3/31/92,AQS,34,,
4/1/92,AQS,34,,
4/2/92,AQS,126,,
4/3/92,AQS,190,,
4/4/92,AQS,119,,
4/5/92,AQS,87,,
4/6/92,AQS,71,,
