Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/94,AQS,51,,
1/2/94,AQS,23,,
1/3/94,AQS,35,,
1/4/94,AQS,35,,
1/5/94,AQS,36,AQS,
1/6/94,AQS,43,,
1/7/94,AQS,42,,
1/8/94,AQS,35,,
1/9/94,AQS,31,,
1/10/94,AQS,33,,
1/11/94,AQS,34,,
1/12/94,AQS,31,AQS,
1/13/94,AQS,27,,
1/14/94,AQS,34,,
1/15/94,AQS,44,AQS,
1/16/94,AQS,39,,
1/17/94,AQS,36,,
1/18/94,AQS,25,,
1/19/94,AQS,36,,
1/20/94,AQS,35,,
1/21/94,AQS,35,,
1/22/94,AQS,40,AQS,
1/23/94,AQS,39,,
1/24/94,AQS,36,,
1/25/94,AQS,35,,
1/26/94,AQS,32,AQS,
1/27/94,AQS,30,,
1/28/94,AQS,24,,
1/29/94,AQS,31,,
1/30/94,AQS,29,,
1/31/94,AQS,30,,
2/1/94,AQS,33,,
2/2/94,AQS,33,AQS,
2/3/94,AQS,40,,
2/4/94,AQS,39,,
2/5/94,AQS,58,AQS,
2/6/94,AQS,61,,
2/7/94,AQS,35,,
2/8/94,AQS,35,,
2/9/94,AQS,27,,
2/10/94,AQS,25,,
2/11/94,AQS,27,,
2/12/94,AQS,32,AQS,
2/13/94,AQS,32,,
2/14/94,AQS,51,,
2/15/94,AQS,49,,
2/16/94,AQS,44,,
2/17/94,AQS,43,,
2/18/94,AQS,41,,
2/19/94,AQS,41,,
2/20/94,AQS,39,,
2/21/94,AQS,41,,
2/22/94,AQS,31,,
2/23/94,AQS,34,AQS,
2/24/94,AQS,32,,
2/25/94,AQS,33,,
2/26/94,AQS,51,,
2/27/94,AQS,74,,
2/28/94,AQS,49,,
3/1/94,AQS,40,,
3/2/94,AQS,44,AQS,
3/3/94,AQS,47,,
3/4/94,AQS,61,,
3/5/94,AQS,74,AQS,
3/6/94,AQS,115,,
3/7/94,AQS,74,,
3/8/94,AQS,41,,
3/9/94,AQS,39,AQS,
3/10/94,AQS,41,,
3/11/94,AQS,47,,
3/12/94,AQS,54,AQS,
3/13/94,AQS,50,,
3/14/94,AQS,48,,
3/15/94,AQS,77,,
3/16/94,AQS,84,AQS,
3/17/94,AQS,112,,
3/18/94,AQS,90,,
3/19/94,AQS,147,AQS,
3/20/94,AQS,44,,
3/21/94,AQS,40,,
3/22/94,AQS,42,,
3/23/94,AQS,36,AQS,
3/24/94,AQS,31,,
3/25/94,AQS,30,,
3/26/94,AQS,48,AQS,
3/27/94,AQS,25,,
3/28/94,AQS,26,,
3/29/94,AQS,44,,
3/30/94,AQS,49,AQS,
3/31/94,AQS,42,,
4/1/94,AQS,87,,
4/2/94,AQS,80,,
4/3/94,AQS,51,,
4/4/94,AQS,112,,
4/5/94,AQS,80,,
4/6/94,AQS,42,AQS,
4/7/94,AQS,43,,
4/8/94,AQS,39,,
4/9/94,AQS,45,AQS,
