Date,Source Ozone AQI Value,Ozone _AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/06,AQS,30,AQS,81
1/2/06,AQS,28,AQS,74
1/3/06,AQS,27,AQS,42
1/4/06,AQS,45,AQS,70
1/5/06,AQS,64,AQS,74
1/6/06,AQS,38,AQS,41
1/7/06,AQS,37,AQS,64
1/8/06,AQS,44,AQS,65
1/9/06,AQS,42,AQS,45
1/10/06,AQS,42,AQS,45
1/11/06,AQS,38,AQS,50
1/12/06,AQS,31,AQS,49
1/13/06,AQS,27,AQS,33
1/14/06,AQS,40,AQS,41
1/15/06,AQS,45,AQS,54
1/16/06,AQS,41,AQS,56
1/17/06,AQS,39,AQS,43
1/18/06,AQS,37,AQS,44
1/19/06,AQS,44,AQS,48
1/20/06,AQS,31,AQS,42
1/21/06,AQS,31,AQS,41
1/22/06,AQS,31,AQS,40
1/23/06,AQS,32,AQS,52
1/24/06,AQS,31,AQS,40
1/25/06,AQS,43,AQS,56
1/26/06,AQS,48,AQS,49
1/27/06,AQS,44,AQS,39
1/28/06,AQS,44,AQS,38
1/29/06,AQS,41,AQS,28
1/30/06,AQS,37,AQS,44
1/31/06,AQS,47,AQS,58
2/1/06,AQS,46,AQS,52
2/2/06,AQS,45,AQS,48
2/3/06,AQS,31,AQS,50
2/4/06,AQS,36,AQS,38
2/5/06,AQS,43,AQS,37
2/6/06,AQS,47,AQS,45
2/7/06,AQS,50,AQS,56
2/8/06,AQS,44,AQS,54
2/9/06,AQS,47,AQS,53
2/10/06,AQS,97,AQS,61
2/11/06,AQS,47,AQS,53
2/12/06,AQS,35,AQS,38
2/13/06,AQS,40,AQS,48
2/14/06,AQS,47,AQS,41
2/15/06,AQS,44,AQS,39
2/16/06,AQS,39,AQS,52
2/17/06,AQS,37,AQS,53
2/18/06,AQS,39,AQS,35
2/19/06,AQS,71,AQS,52
2/20/06,AQS,36,AQS,53
2/21/06,AQS,38,AQS,56
2/22/06,AQS,35,AQS,35
2/23/06,AQS,31,AQS,40
2/24/06,AQS,39,AQS,62
2/25/06,AQS,38,AQS,51
2/26/06,AQS,44,AQS,40
2/27/06,AQS,46,AQS,58
2/28/06,AQS,44,AQS,49
3/1/06,AQS,49,AQS,45
3/2/06,AQS,61,AQS,59
3/3/06,AQS,43,AQS,57
3/4/06,AQS,67,AQS,69
3/5/06,AQS,64,AQS,61
3/6/06,AQS,84,AQS,62
3/7/06,AQS,90,AQS,67
3/8/06,AQS,48,AQS,56
3/9/06,AQS,47,AQS,45
3/10/06,AQS,44,AQS,50
3/11/06,AQS,39,AQS,42
3/12/06,AQS,34,AQS,36
3/13/06,AQS,32,AQS,34
3/14/06,AQS,34,AQS,37
3/15/06,AQS,61,AQS,54
3/16/06,AQS,61,AQS,47
3/17/06,AQS,90,AQS,56
3/18/06,AQS,126,AQS,67
3/19/06,AQS,100,AQS,75
3/20/06,AQS,93,AQS,67
3/21/06,AQS,39,AQS,57
3/22/06,AQS,58,AQS,62
3/23/06,AQS,50,AQS,58
3/24/06,AQS,58,AQS,63
3/25/06,AQS,87,AQS,61
3/26/06,AQS,84,AQS,52
3/27/06,AQS,67,AQS,54
3/28/06,AQS,54,AQS,60
3/29/06,AQS,49,AQS,58
3/30/06,AQS,48,AQS,51
3/31/06,AQS,47,AQS,49
4/1/06,AQS,48,AQS,53
4/2/06,AQS,87,AQS,60
4/3/06,AQS,64,AQS,63
4/4/06,AQS,77,AQS,55
4/5/06,AQS,97,AQS,66
4/6/06,AQS,133,AQS,63
4/7/06,AQS,77,AQS,57
4/8/06,AQS,36,AQS,51
4/9/06,AQS,40,AQS,44
4/10/06,AQS,47,AQS,45
4/11/06,AQS,51,AQS,40
4/12/06,AQS,54,AQS,43
4/13/06,AQS,47,AQS,46
4/14/06,AQS,44,AQS,42
4/15/06,AQS,84,AQS,52
4/16/06,AQS,93,AQS,42
4/17/06,AQS,46,AQS,86
4/18/06,AQS,42,AQS,57
4/19/06,AQS,54,AQS,64
4/20/06,AQS,101,AQS,64
4/21/06,AQS,45,AQS,57
4/22/06,AQS,44,AQS,45
4/23/06,AQS,43,AQS,46
4/24/06,AQS,39,AQS,52
4/25/06,AQS,44,AQS,50
4/26/06,AQS,39,AQS,48
4/27/06,AQS,42,AQS,57
4/28/06,AQS,74,AQS,58
4/29/06,AQS,80,AQS,56
4/30/06,AQS,64,AQS,47
5/1/06,AQS,45,AQS,57
5/2/06,AQS,49,AQS,48
5/3/06,AQS,74,AQS,51
5/4/06,AQS,187,AQS,64
5/5/06,AQS,147,AQS,63
5/6/06,AQS,80,AQS,61
5/7/06,AQS,74,AQS,57
5/8/06,AQS,50,AQS,56
5/9/06,AQS,49,AQS,62
5/10/06,AQS,90,AQS,88
5/11/06,AQS,45,AQS,76
5/12/06,AQS,101,AQS,71
5/13/06,AQS,97,AQS,66
5/14/06,AQS,100,AQS,51
5/15/06,AQS,51,AQS,65
5/16/06,AQS,34,AQS,48
5/17/06,AQS,74,AQS,52
5/18/06,AQS,115,AQS,54
5/19/06,AQS,147,AQS,52
5/20/06,AQS,126,AQS,59
5/21/06,AQS,48,AQS,48
5/22/06,AQS,44,AQS,53
5/23/06,AQS,43,AQS,55
5/24/06,AQS,49,AQS,56
5/25/06,AQS,30,AQS,37
5/26/06,AQS,26,AQS,38
5/27/06,AQS,34,AQS,51
