Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5 _AQI_Value
1/1/14,AQS,36,AQS,32
1/2/14,AQS,29,AQS,26
1/3/14,AQS,43,AQS,42
1/4/14,AQS,43,AQS,44
1/5/14,AQS,31,AQS,36
1/6/14,AQS,30,AQS,52
1/7/14,AQS,35,AQS,30
1/8/14,AQS,38,AQS,24
1/9/14,AQS,38,AQS,25
1/10/14,AQS,26,AQS,23
1/11/14,AQS,31,AQS,28
1/12/14,AQS,42,AQS,55
1/13/14,AQS,37,AQS,49
1/14/14,AQS,32,AQS,50
1/15/14,AQS,31,AQS,44
1/16/14,AQS,38,AQS,35
1/17/14,AQS,42,AQS,41
1/18/14,AQS,42,AQS,53
1/19/14,AQS,42,AQS,44
1/20/14,AQS,47,AQS,47
1/21/14,AQS,35,AQS,33
1/22/14,AQS,41,AQS,41
1/23/14,AQS,47,AQS,41
1/24/14,AQS,44,AQS,42
1/25/14,AQS,39,AQS,48
1/26/14,AQS,46,AQS,38
1/27/14,AQS,38,AQS,38
1/28/14,AQS,37,AQS,34
1/29/14,AQS,29,AQS,33
1/30/14,AQS,30,AQS,27
1/31/14,AQS,31,AQS,46
2/1/14,AQS,27,AQS,30
2/2/14,AQS,27,AQS,33
2/3/14,AQS,26,AQS,38
2/4/14,AQS,27,AQS,40
2/5/14,AQS,26,AQS,33
2/6/14,AQS,26,AQS,29
2/7/14,AQS,33,AQS,35
2/8/14,AQS,33,AQS,35
2/9/14,AQS,36,AQS,35
2/10/14,AQS,39,AQS,41
2/11/14,AQS,41,AQS,38
2/12/14,AQS,29,AQS,37
2/13/14,AQS,35,AQS,25
2/14/14,AQS,48,AQS,52
2/15/14,AQS,43,AQS,31
2/16/14,AQS,50,AQS,34
2/17/14,AQS,49,AQS,40
2/18/14,AQS,49,AQS,39
2/19/14,AQS,38,AQS,34
2/20/14,AQS,33,AQS,38
2/21/14,AQS,27,AQS,30
2/22/14,AQS,30,AQS,30
2/23/14,AQS,28,AQS,31
2/24/14,AQS,36,AQS,37
2/25/14,AQS,42,AQS,50
2/26/14,AQS,30,AQS,49
2/27/14,AQS,34,AQS,48
