Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/05,AQS,21,AQS,30
1/2/05,AQS,23,AQS,53
1/3/05,AQS,26,AQS,44
1/4/05,AQS,28,AQS,43
1/5/05,AQS,22,AQS,29
1/6/05,AQS,18,AQS,50
1/7/05,AQS,19,AQS,66
1/8/05,AQS,25,AQS,83
1/9/05,AQS,23,AQS,76
1/10/05,AQS,22,AQS,53
1/11/05,AQS,24,AQS,56
1/12/05,AQS,29,AQS,59
1/13/05,AQS,29,AQS,65
1/14/05,AQS,26,AQS,33
1/15/05,AQS,30,AQS,35
1/16/05,AQS,28,AQS,59
1/17/05,AQS,25,AQS,64
1/18/05,AQS,32,AQS,63
1/19/05,AQS,31,AQS,51
1/20/05,AQS,27,AQS,64
1/21/05,AQS,25,AQS,56
1/22/05,AQS,31,AQS,44
1/23/05,AQS,30,AQS,68
1/24/05,AQS,24,AQS,68
1/25/05,AQS,26,AQS,77
1/26/05,AQS,33,AQS,25
1/27/05,AQS,23,AQS,48
1/28/05,AQS,18,AQS,75
1/29/05,AQS,20,AQS,100
1/30/05,AQS,21,AQS,103
1/31/05,AQS,12,AQS,160
2/1/05,AQS,8,AQS,156
2/2/05,AQS,18,AQS,150
2/3/05,AQS,18,AQS,79
2/4/05,AQS,12,AQS,74
2/5/05,AQS,31,AQS,63
2/6/05,AQS,30,AQS,53
2/7/05,AQS,29,AQS,19
2/8/05,AQS,28,AQS,18
2/9/05,AQS,25,AQS,53
2/10/05,AQS,17,AQS,63
2/11/05,AQS,25,AQS,41
2/12/05,AQS,26,AQS,70
2/13/05,AQS,28,AQS,59
2/14/05,AQS,31,AQS,55
2/15/05,AQS,31,AQS,43
2/16/05,AQS,30,AQS,48
2/17/05,AQS,36,AQS,22
2/18/05,AQS,22,AQS,41
2/19/05,AQS,36,AQS,48
2/20/05,AQS,32,AQS,69
2/21/05,AQS,32,AQS,57
2/22/05,AQS,31,AQS,80
2/23/05,AQS,32,AQS,76
2/24/05,,,AQS,91
2/25/05,AQS,34,AQS,89
2/26/05,AQS,39,AQS,68
2/27/05,AQS,39,AQS,74
2/28/05,AQS,36,AQS,29
3/1/05,AQS,37,AQS,34
3/2/05,AQS,38,AQS,57
3/3/05,AQS,23,AQS,67
3/4/05,AQS,37,AQS,74
3/5/05,AQS,37,AQS,67
3/6/05,AQS,31,AQS,45
3/7/05,AQS,40,AQS,27
3/8/05,AQS,39,AQS,37
3/9/05,AQS,34,AQS,28
3/10/05,AQS,33,AQS,30
3/11/05,AQS,38,AQS,35
3/12/05,AQS,37,AQS,25
3/13/05,AQS,36,AQS,32
3/14/05,AQS,32,AQS,43
3/15/05,AQS,32,AQS,54
3/16/05,AQS,32,AQS,47
3/17/05,AQS,42,AQS,56
3/18/05,AQS,33,AQS,29
3/19/05,AQS,36,AQS,15
3/20/05,AQS,39,AQS,40
3/21/05,AQS,37,AQS,32
3/22/05,AQS,42,AQS,49
3/23/05,AQS,41,AQS,50
3/24/05,AQS,41,AQS,58
3/25/05,AQS,43,AQS,33
3/26/05,AQS,44,AQS,68
3/27/05,AQS,37,AQS,60
3/28/05,AQS,38,AQS,58
3/29/05,AQS,45,AQS,64
3/30/05,AQS,36,AQS,50
3/31/05,AQS,40,AQS,33
4/1/05,AQS,41,AQS,42
4/2/05,AQS,44,AQS,60
4/3/05,AQS,61,AQS,79
4/4/05,AQS,93,AQS,68
4/5/05,AQS,51,AQS,61
4/6/05,AQS,42,AQS,54
4/7/05,AQS,51,AQS,44
4/8/05,AQS,74,AQS,55
4/9/05,AQS,74,AQS,53
4/10/05,AQS,71,AQS,66
4/11/05,AQS,64,AQS,77
4/12/05,AQS,42,AQS,50
4/13/05,AQS,46,AQS,25
4/14/05,AQS,54,AQS,47
4/15/05,AQS,74,AQS,59
4/16/05,AQS,44,AQS,111
4/17/05,AQS,67,AQS,68
4/18/05,AQS,97,AQS,77
4/19/05,AQS,43,AQS,73
4/20/05,AQS,35,AQS,28
4/21/05,AQS,42,AQS,30
4/22/05,AQS,39,AQS,32
4/23/05,AQS,47,AQS,17
4/24/05,AQS,45,AQS,24
4/25/05,AQS,39,AQS,33
4/26/05,AQS,40,AQS,15
4/27/05,AQS,34,AQS,19
4/28/05,AQS,42,AQS,33
4/29/05,AQS,44,AQS,35
4/30/05,AQS,36,AQS,43
5/1/05,AQS,30,AQS,38
5/2/05,AQS,44,AQS,24
5/3/05,AQS,67,AQS,35
5/4/05,AQS,67,AQS,57
5/5/05,AQS,64,AQS,41
5/6/05,AQS,71,AQS,45
5/7/05,AQS,49,AQS,74
5/8/05,AQS,54,AQS,62
5/9/05,AQS,36,AQS,38
5/10/05,AQS,26,AQS,38
5/11/05,AQS,35,AQS,17
5/12/05,AQS,43,AQS,13
5/13/05,AQS,33,AQS,54
5/14/05,AQS,31,AQS,20
5/15/05,AQS,35,AQS,24
5/16/05,AQS,45,AQS,52
5/17/05,AQS,44,AQS,56
5/18/05,AQS,48,AQS,68
5/19/05,AQS,47,AQS,61
5/20/05,AQS,49,AQS,61
5/21/05,AQS,58,AQS,80
5/22/05,AQS,45,AQS,49
5/23/05,AQS,45,AQS,20
5/24/05,AQS,50,AQS,40
5/25/05,AQS,33,AQS,60
5/26/05,AQS,37,AQS,19
5/27/05,AQS,30,AQS,20
5/28/05,AQS,33,AQS,56
5/29/05,AQS,35,AQS,58
5/30/05,AQS,47,AQS,60
5/31/05,AQS,58,AQS,45
6/1/05,AQS,61,AQS,47
6/2/05,AQS,151,AQS,68
6/3/05,AQS,84,AQS,80
6/4/05,AQS,43,AQS,62
6/5/05,AQS,48,AQS,30
6/6/05,AQS,58,AQS,61
6/7/05,AQS,64,AQS,35
6/8/05,AQS,51,AQS,22
6/9/05,AQS,48,AQS,36
6/10/05,AQS,46,AQS,37
6/11/05,AQS,45,AQS,40
6/12/05,AQS,64,AQS,27
6/13/05,AQS,80,AQS,30
6/14/05,AQS,61,AQS,26
6/15/05,AQS,36,AQS,29
6/16/05,AQS,64,AQS,39
6/17/05,AQS,112,AQS,51
6/18/05,AQS,129,AQS,38
6/19/05,AQS,108,AQS,42
6/20/05,AQS,46,AQS,38
6/21/05,AQS,105,AQS,43
6/22/05,AQS,100,AQS,38
6/23/05,AQS,112,AQS,60
6/24/05,AQS,48,AQS,63
6/25/05,AQS,50,AQS,34
6/26/05,AQS,80,AQS,67
6/27/05,AQS,74,AQS,82
6/28/05,AQS,42,AQS,57
6/29/05,AQS,64,AQS,71
6/30/05,AQS,31,AQS,23
7/1/05,AQS,43,AQS,20
7/2/05,AQS,51,AQS,45
7/3/05,AQS,44,AQS,59
7/4/05,AQS,40,AQS,58
7/5/05,AQS,37,AQS,35
7/6/05,AQS,54,AQS,40
7/7/05,AQS,87,AQS,55
7/8/05,AQS,64,AQS,62
7/9/05,AQS,100,AQS,68
7/10/05,AQS,101,AQS,78
7/11/05,AQS,129,AQS,95
7/12/05,AQS,156,AQS,84
7/13/05,AQS,64,AQS,62
7/14/05,AQS,147,AQS,67
7/15/05,AQS,151,AQS,77
7/16/05,AQS,84,AQS,74
7/17/05,AQS,93,AQS,70
7/18/05,AQS,36,AQS,37
7/19/05,AQS,51,AQS,38
7/20/05,AQS,115,AQS,40
7/21/05,AQS,108,AQS,49
7/22/05,AQS,161,AQS,50
7/23/05,AQS,44,AQS,59
7/24/05,AQS,45,AQS,53
7/25/05,AQS,42,AQS,52
7/26/05,AQS,26,AQS,25
7/27/05,AQS,36,AQS,25
7/28/05,AQS,44,AQS,38
7/29/05,AQS,44,AQS,32
7/30/05,AQS,71,AQS,59
7/31/05,AQS,84,AQS,60
8/1/05,AQS,147,AQS,78
8/2/05,AQS,140,AQS,92
8/3/05,AQS,97,AQS,79
8/4/05,AQS,36,AQS,34
8/5/05,AQS,64,AQS,49
8/6/05,AQS,61,AQS,49
8/7/05,AQS,71,AQS,55
8/8/05,AQS,61,AQS,66
8/9/05,AQS,40,AQS,62
8/10/05,AQS,43,AQS,47
8/11/05,AQS,32,AQS,55
