Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/99,AQS,35,,
1/2/99,AQS,33,,
1/3/99,AQS,35,AQS,52
1/4/99,AQS,33,,
1/5/99,AQS,29,,
1/6/99,AQS,19,AQS,84
1/7/99,AQS,32,,
1/8/99,AQS,21,,
1/9/99,AQS,34,AQS,104
1/10/99,AQS,36,,
1/11/99,AQS,31,,
1/12/99,AQS,26,AQS,81
1/13/99,AQS,26,,
1/14/99,AQS,26,,
1/15/99,AQS,23,AQS,64
1/16/99,AQS,21,,
1/17/99,AQS,31,,
1/18/99,AQS,39,AQS,72
1/19/99,AQS,33,,
1/20/99,AQS,31,,
1/21/99,AQS,18,AQS,137
1/22/99,AQS,31,,
1/23/99,AQS,33,,
1/24/99,AQS,34,AQS,35
1/25/99,AQS,36,,
1/26/99,AQS,33,,
1/27/99,AQS,19,AQS,102
1/28/99,AQS,14,,
1/29/99,AQS,31,,
1/30/99,AQS,33,AQS,67
1/31/99,AQS,35,,
2/1/99,AQS,32,,
2/2/99,AQS,36,AQS,78
2/3/99,AQS,29,,
2/4/99,AQS,31,,
2/5/99,AQS,35,AQS,42
2/6/99,AQS,27,,
2/7/99,AQS,30,,
2/8/99,AQS,35,AQS,79
2/9/99,AQS,21,,
2/10/99,AQS,39,,
2/11/99,AQS,40,,
2/12/99,AQS,38,,
2/13/99,AQS,35,,
2/14/99,AQS,40,AQS,59
2/15/99,AQS,34,,
2/16/99,AQS,31,,
2/17/99,AQS,35,AQS,136
2/18/99,AQS,27,AQS,78
2/19/99,AQS,33,,
2/20/99,AQS,36,AQS,55
2/21/99,AQS,39,,
2/22/99,AQS,41,,
2/23/99,AQS,32,AQS,71
2/24/99,AQS,37,,
2/25/99,AQS,39,,
2/26/99,AQS,46,AQS,47
2/27/99,AQS,46,,
2/28/99,AQS,44,,
3/1/99,AQS,33,AQS,46
3/2/99,AQS,43,,
3/3/99,AQS,44,,
3/4/99,AQS,43,AQS,37
3/5/99,AQS,42,,
3/6/99,AQS,35,,
3/7/99,AQS,45,AQS,33
3/8/99,AQS,44,,
3/9/99,AQS,42,,
3/10/99,AQS,45,AQS,35
3/11/99,AQS,43,,
3/12/99,AQS,39,,
3/13/99,AQS,42,AQS,27
3/14/99,AQS,39,,
3/15/99,AQS,45,,
3/16/99,AQS,54,AQS,56
3/17/99,AQS,54,,
3/18/99,AQS,50,,
3/19/99,AQS,43,AQS,26
3/20/99,AQS,48,,
3/21/99,AQS,49,,
3/22/99,AQS,44,AQS,44
3/23/99,AQS,43,,
3/24/99,AQS,46,,
3/25/99,AQS,44,AQS,51
3/26/99,AQS,46,,
3/27/99,AQS,58,,
3/28/99,AQS,46,AQS,45
3/29/99,AQS,67,,
3/30/99,AQS,58,,
3/31/99,AQS,90,AQS,77
4/1/99,AQS,54,,
4/2/99,AQS,50,,
4/3/99,AQS,50,AQS,52
4/4/99,AQS,48,,
4/5/99,AQS,45,,
4/6/99,AQS,50,AQS,62
4/7/99,AQS,67,,
4/8/99,AQS,101,,
4/9/99,AQS,45,AQS,56
4/10/99,AQS,48,,
4/11/99,AQS,44,,
4/12/99,AQS,48,AQS,37
4/13/99,AQS,58,,
4/14/99,AQS,67,,
4/15/99,AQS,71,AQS,35
4/16/99,AQS,133,,
4/17/99,AQS,38,,
4/18/99,AQS,42,AQS,39
4/19/99,AQS,41,,
4/20/99,AQS,41,,
4/21/99,AQS,46,AQS,61
4/22/99,AQS,44,,
4/23/99,AQS,44,,
4/24/99,AQS,50,AQS,23
4/25/99,AQS,67,,
4/26/99,AQS,84,,
4/27/99,AQS,44,AQS,21
4/28/99,AQS,49,,
4/29/99,AQS,58,,
4/30/99,AQS,54,AQS,52
5/1/99,AQS,58,,
5/2/99,AQS,80,,
5/3/99,AQS,54,AQS,39
5/4/99,AQS,40,,
5/5/99,AQS,42,,
5/6/99,AQS,39,AQS,82
5/7/99,AQS,24,,
5/8/99,AQS,71,,
5/9/99,AQS,58,AQS,55
5/10/99,AQS,44,,
5/11/99,AQS,48,,
5/12/99,AQS,105,AQS,67
5/13/99,AQS,51,,
5/14/99,AQS,50,,
5/15/99,AQS,49,AQS,37
5/16/99,AQS,50,,
5/17/99,AQS,67,,
5/18/99,AQS,37,AQS,56
5/19/99,AQS,41,,
5/20/99,AQS,50,,
5/21/99,AQS,74,AQS,92
5/22/99,AQS,187,,
5/23/99,AQS,105,,
5/24/99,AQS,46,AQS,131
5/25/99,AQS,51,,
5/26/99,AQS,64,,
5/27/99,AQS,46,AQS,30
5/28/99,AQS,87,,
5/29/99,AQS,156,,
5/30/99,AQS,204,AQS,86
5/31/99,AQS,201,,
6/1/99,AQS,169,,
6/2/99,AQS,179,AQS,89
6/3/99,AQS,101,,
6/4/99,AQS,64,,
6/5/99,AQS,119,AQS,53
6/6/99,AQS,169,,
6/7/99,AQS,207,,
6/8/99,AQS,161,AQS,111
6/9/99,AQS,100,,
6/10/99,AQS,61,,
6/11/99,AQS,101,AQS,62
6/12/99,AQS,48,,
6/13/99,AQS,39,,
6/14/99,AQS,90,AQS,65
6/15/99,AQS,87,,
6/16/99,AQS,44,,
6/17/99,AQS,41,AQS,59
6/18/99,AQS,49,,
6/19/99,AQS,90,AQS,54
6/20/99,AQS,71,AQS,50
6/21/99,AQS,46,,
6/22/99,AQS,136,AQS,60
6/23/99,AQS,185,AQS,72
6/24/99,AQS,129,,
6/25/99,AQS,126,,
6/26/99,AQS,185,AQS,83
6/27/99,AQS,174,,
6/28/99,AQS,105,AQS,56
6/29/99,AQS,112,AQS,82
6/30/99,AQS,48,,
7/1/99,AQS,38,AQS,68
7/2/99,AQS,77,AQS,92
7/3/99,AQS,182,AQS,104
7/4/99,AQS,87,AQS,110
7/5/99,AQS,122,AQS,104
7/6/99,AQS,202,AQS,92
7/7/99,AQS,150,,
7/8/99,AQS,101,AQS,54
7/9/99,AQS,210,AQS,64
7/10/99,AQS,77,AQS,63
7/11/99,AQS,51,AQS,75
7/12/99,AQS,46,,
7/13/99,AQS,97,AQS,25
7/14/99,AQS,108,AQS,52
7/15/99,AQS,197,,
7/16/99,AQS,232,,
7/17/99,AQS,232,AQS,126
7/18/99,AQS,210,,
7/19/99,AQS,212,,
7/20/99,AQS,129,AQS,111
7/21/99,AQS,80,,
7/22/99,AQS,58,,
7/23/99,AQS,218,AQS,87
7/24/99,AQS,205,,
7/25/99,AQS,203,,
7/26/99,AQS,166,AQS,81
7/27/99,AQS,159,,
7/28/99,AQS,179,,
7/29/99,AQS,185,AQS,82
7/30/99,AQS,205,,
7/31/99,AQS,209,AQS,103
8/1/99,AQS,174,AQS,81
8/2/99,AQS,136,AQS,50
8/3/99,AQS,97,AQS,40
8/4/99,AQS,179,AQS,92
8/5/99,AQS,164,AQS,66
8/6/99,AQS,147,AQS,56
8/7/99,AQS,151,AQS,55
8/8/99,AQS,126,AQS,96
8/9/99,AQS,45,,
8/10/99,AQS,64,AQS,47
8/11/99,AQS,182,,
8/12/99,AQS,182,,
8/13/99,AQS,172,AQS,89
8/14/99,AQS,177,AQS,62
8/15/99,AQS,67,AQS,45
8/16/99,AQS,90,AQS,54
8/17/99,AQS,192,AQS,94
8/18/99,AQS,108,AQS,80
8/19/99,AQS,48,AQS,45
8/20/99,AQS,31,,
8/21/99,AQS,29,AQS,22
8/22/99,AQS,36,AQS,31
8/23/99,AQS,61,AQS,52
8/24/99,AQS,150,,
8/25/99,AQS,90,AQS,64
8/26/99,AQS,48,AQS,52
8/27/99,AQS,112,AQS,65
8/28/99,AQS,126,AQS,101
8/29/99,AQS,122,AQS,82
8/30/99,AQS,24,AQS,19
8/31/99,AQS,44,AQS,89
9/1/99,AQS,67,AQS,24
9/2/99,AQS,154,AQS,40
9/3/99,AQS,143,AQS,61
9/4/99,AQS,44,AQS,50
9/5/99,AQS,28,,
9/6/99,AQS,47,AQS,44
9/7/99,AQS,46,,
9/8/99,AQS,108,,
9/9/99,AQS,143,AQS,115
9/10/99,AQS,39,,
9/11/99,AQS,58,AQS,61
9/12/99,AQS,100,AQS,55
9/13/99,AQS,101,AQS,54
9/14/99,AQS,54,AQS,61
9/15/99,AQS,31,AQS,90
9/16/99,AQS,34,AQS,24
9/17/99,AQS,33,AQS,18
9/18/99,AQS,38,AQS,40
9/19/99,AQS,80,AQS,49
9/20/99,AQS,50,AQS,56
9/21/99,AQS,36,AQS,58
9/22/99,AQS,26,,
9/23/99,AQS,41,AQS,53
9/24/99,AQS,90,AQS,78
9/25/99,AQS,105,AQS,74
9/26/99,AQS,39,AQS,31
9/27/99,AQS,49,AQS,72
9/28/99,AQS,77,AQS,71
9/29/99,AQS,54,AQS,70
9/30/99,AQS,39,AQS,70
10/1/99,AQS,36,AQS,53
10/2/99,AQS,71,AQS,61
10/3/99,AQS,77,AQS,75
10/4/99,AQS,34,AQS,56
10/5/99,AQS,27,AQS,26
10/6/99,AQS,30,AQS,52
10/7/99,AQS,31,AQS,28
10/8/99,AQS,38,AQS,39
10/9/99,AQS,38,AQS,68
10/10/99,AQS,36,AQS,89
10/11/99,AQS,39,AQS,48
10/12/99,AQS,31,AQS,47
10/13/99,AQS,40,AQS,38
10/14/99,AQS,34,AQS,25
10/15/99,AQS,32,AQS,54
10/16/99,AQS,38,AQS,50
10/17/99,AQS,36,AQS,63
10/18/99,AQS,36,AQS,56
10/19/99,AQS,31,AQS,37
10/20/99,AQS,27,AQS,64
10/21/99,AQS,31,AQS,62
10/22/99,AQS,43,AQS,77
10/23/99,AQS,28,AQS,30
10/24/99,AQS,28,AQS,33
10/25/99,AQS,33,AQS,38
10/26/99,AQS,32,AQS,59
10/27/99,AQS,29,AQS,56
10/28/99,AQS,22,AQS,54
10/29/99,AQS,20,AQS,100
10/30/99,AQS,58,AQS,137
10/31/99,AQS,80,AQS,91
11/1/99,AQS,41,AQS,68
11/2/99,AQS,42,AQS,130
11/3/99,AQS,25,,
11/4/99,AQS,31,,
11/5/99,AQS,36,AQS,67
11/6/99,AQS,44,AQS,48
11/7/99,AQS,36,AQS,22
11/8/99,AQS,30,AQS,56
11/9/99,AQS,37,AQS,73
11/10/99,AQS,61,AQS,97
11/11/99,AQS,31,AQS,61
11/12/99,AQS,32,AQS,36
11/13/99,AQS,19,AQS,58
11/14/99,AQS,38,AQS,91
11/15/99,AQS,32,AQS,26
11/16/99,AQS,30,AQS,13
11/17/99,AQS,34,AQS,41
11/18/99,AQS,26,,
11/19/99,AQS,46,,
11/20/99,AQS,43,AQS,75
11/21/99,AQS,33,,
11/22/99,AQS,27,,
11/23/99,AQS,30,AQS,113
11/24/99,AQS,28,AQS,61
11/25/99,AQS,20,AQS,61
11/26/99,AQS,34,AQS,98
11/27/99,AQS,26,AQS,42
11/28/99,AQS,32,AQS,36
11/29/99,AQS,26,AQS,54
11/30/99,AQS,29,AQS,33
12/1/99,AQS,33,AQS,33
12/2/99,AQS,29,AQS,58
12/3/99,AQS,23,AQS,89
12/4/99,AQS,26,AQS,82
12/5/99,AQS,40,AQS,97
12/6/99,AQS,33,AQS,75
12/7/99,AQS,23,AQS,36
12/8/99,AQS,21,AQS,89
12/9/99,AQS,17,AQS,108
12/10/99,AQS,27,,
12/11/99,AQS,31,AQS,30
12/12/99,AQS,25,AQS,38
12/13/99,AQS,19,AQS,81
12/14/99,AQS,24,AQS,60
12/15/99,AQS,21,AQS,33
12/16/99,AQS,21,AQS,50
12/17/99,AQS,25,AQS,59
12/18/99,AQS,25,AQS,56
12/19/99,AQS,27,AQS,39
12/20/99,AQS,27,AQS,72
12/21/99,AQS,23,AQS,38
12/22/99,AQS,22,AQS,50
12/23/99,AQS,19,AQS,75
12/24/99,AQS,31,AQS,51
12/25/99,AQS,31,AQS,43
12/26/99,AQS,28,AQS,68
12/27/99,AQS,31,AQS,47
12/28/99,AQS,30,AQS,60
12/29/99,AQS,31,AQS,74
12/30/99,AQS,16,AQS,69
12/31/99,AQS,16,AQS,93
