Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/04,AQS,27,AQS,59
1/2/04,AQS,19,AQS,77
1/3/04,AQS,16,AQS,89
1/4/04,AQS,26,AQS,74
1/5/04,AQS,24,AQS,40
1/6/04,AQS,27,AQS,26
1/7/04,AQS,26,AQS,38
1/8/04,AQS,20,AQS,56
1/9/04,AQS,30,AQS,52
1/10/04,AQS,28,AQS,33
1/11/04,AQS,27,AQS,55
1/12/04,AQS,16,AQS,82
1/13/04,AQS,31,AQS,52
1/14/04,AQS,31,AQS,25
1/15/04,AQS,31,AQS,52
1/16/04,AQS,33,AQS,29
1/17/04,AQS,29,AQS,51
1/18/04,AQS,26,AQS,65
1/19/04,AQS,31,AQS,29
1/20/04,AQS,31,AQS,27
1/21/04,AQS,28,AQS,49
1/22/04,AQS,27,AQS,64
1/23/04,AQS,25,AQS,53
1/24/04,AQS,34,AQS,68
1/25/04,AQS,33,AQS,40
1/26/04,AQS,32,AQS,61
1/27/04,AQS,28,AQS,64
1/28/04,AQS,28,AQS,72
1/29/04,AQS,28,AQS,67
1/30/04,AQS,26,AQS,55
1/31/04,AQS,30,AQS,61
2/1/04,AQS,34,AQS,67
2/2/04,AQS,22,AQS,76
2/3/04,AQS,34,AQS,67
2/4/04,AQS,29,AQS,74
2/5/04,AQS,25,AQS,63
2/6/04,AQS,19,AQS,63
2/7/04,AQS,36,AQS,45
2/8/04,AQS,39,AQS,25
2/9/04,AQS,35,AQS,61
2/10/04,AQS,32,AQS,68
2/11/04,AQS,34,AQS,68
2/12/04,AQS,25,AQS,90
2/13/04,AQS,30,AQS,80
2/14/04,AQS,36,AQS,58
2/15/04,AQS,42,AQS,59
2/16/04,AQS,35,AQS,37
2/17/04,AQS,38,AQS,60
2/18/04,AQS,31,AQS,68
2/19/04,AQS,32,AQS,89
2/20/04,AQS,38,AQS,98
2/21/04,AQS,37,AQS,72
2/22/04,AQS,42,AQS,34
2/23/04,AQS,35,AQS,47
2/24/04,AQS,32,AQS,75
2/25/04,AQS,39,AQS,28
2/26/04,AQS,36,AQS,37
2/27/04,AQS,35,AQS,44
2/28/04,AQS,44,AQS,45
2/29/04,AQS,41,AQS,66
3/1/04,AQS,45,AQS,82
3/2/04,AQS,37,AQS,60
3/3/04,AQS,41,AQS,58
3/4/04,AQS,37,AQS,92
3/5/04,AQS,39,AQS,94
3/6/04,AQS,38,AQS,54
3/7/04,AQS,43,AQS,45
3/8/04,AQS,35,AQS,35
3/9/04,AQS,36,AQS,56
3/10/04,AQS,38,AQS,72
3/11/04,AQS,39,AQS,56
