Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/09,AQS,32,AQS,
1/2/09,AQS,31,,
1/3/09,AQS,35,,
1/4/09,AQS,30,AQS,
1/5/09,AQS,31,,
1/6/09,AQS,32,,
1/7/09,AQS,27,AQS,
1/8/09,AQS,24,,
1/9/09,AQS,37,,
1/10/09,AQS,38,AQS,
1/11/09,AQS,40,,
1/12/09,AQS,35,,
1/13/09,AQS,36,AQS,
1/14/09,AQS,34,,
1/15/09,AQS,37,,
1/16/09,AQS,40,AQS,
1/17/09,AQS,38,AQS,
1/18/09,AQS,39,,
1/19/09,AQS,42,AQS,
1/20/09,AQS,41,,
1/21/09,AQS,36,,
1/22/09,AQS,27,AQS,
1/23/09,AQS,28,AQS,
1/24/09,AQS,26,,
1/25/09,AQS,31,AQS,
1/26/09,AQS,39,,
1/27/09,AQS,36,,
1/28/09,AQS,34,AQS,
1/29/09,AQS,40,,
1/30/09,AQS,40,,
1/31/09,AQS,41,AQS,
2/1/09,AQS,41,,
2/2/09,AQS,42,,
2/3/09,AQS,39,AQS,
2/4/09,AQS,42,,
2/5/09,AQS,41,,
2/6/09,AQS,39,AQS,
2/7/09,AQS,36,,
2/8/09,AQS,37,,
2/9/09,AQS,39,AQS,
2/10/09,AQS,38,,
2/11/09,AQS,39,,
2/12/09,AQS,43,AQS,
2/13/09,AQS,44,,
2/14/09,AQS,43,,
2/15/09,AQS,41,AQS,
2/16/09,AQS,38,,
2/17/09,AQS,40,,
2/18/09,AQS,42,AQS,
2/19/09,AQS,43,,
2/20/09,AQS,43,,
2/21/09,AQS,42,AQS,
2/22/09,AQS,41,,
2/23/09,AQS,37,,
2/24/09,AQS,45,AQS,
2/25/09,AQS,43,,
2/26/09,AQS,45,,
2/27/09,AQS,47,AQS,
2/28/09,AQS,48,,
3/1/09,AQS,49,,
3/2/09,AQS,49,AQS,
3/3/09,AQS,46,,
3/4/09,AQS,44,,
3/5/09,AQS,44,AQS,
3/6/09,AQS,51,,
3/7/09,AQS,50,,
3/8/09,AQS,50,AQS,
3/9/09,AQS,41,,
3/10/09,AQS,51,,
3/11/09,AQS,47,AQS,
3/12/09,AQS,46,,
3/13/09,AQS,48,,
3/14/09,AQS,61,AQS,
3/15/09,AQS,71,,
3/16/09,AQS,64,,
3/17/09,AQS,67,AQS,
3/18/09,AQS,74,,
3/19/09,AQS,64,,
3/20/09,AQS,64,AQS,
3/21/09,AQS,43,,
3/22/09,AQS,54,,
3/23/09,AQS,61,AQS,
3/24/09,AQS,50,,
3/25/09,AQS,47,,
3/26/09,AQS,67,AQS,
3/27/09,AQS,50,,
3/28/09,AQS,61,,
3/29/09,AQS,61,AQS,
3/30/09,AQS,74,,
3/31/09,AQS,54,,
4/1/09,AQS,77,AQS,
4/2/09,AQS,77,,
4/3/09,AQS,74,,
4/4/09,AQS,77,AQS,
4/5/09,AQS,108,,
4/6/09,AQS,84,,
4/7/09,AQS,71,AQS,
4/8/09,AQS,58,,
4/9/09,AQS,84,,
