Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/01,AQS,44,AQS,93
1/2/01,AQS,44,AQS,93
1/3/01,AQS,44,AQS,87
1/4/01,AQS,40,AQS,77
1/5/01,AQS,39,AQS,58
1/6/01,AQS,38,AQS,78
1/7/01,AQS,38,AQS,117
1/8/01,AQS,37,AQS,82
1/9/01,AQS,38,AQS,84
1/10/01,AQS,37,AQS,63
1/11/01,AQS,30,AQS,60
1/12/01,AQS,25,AQS,76
1/13/01,AQS,32,AQS,55
1/14/01,AQS,26,AQS,63
1/15/01,AQS,33,AQS,117
1/16/01,AQS,41,AQS,112
1/17/01,AQS,44,AQS,105
1/18/01,AQS,39,AQS,112
1/19/01,AQS,38,AQS,60
1/20/01,AQS,41,AQS,75
1/21/01,AQS,37,AQS,66
1/22/01,AQS,34,AQS,73
1/23/01,AQS,36,AQS,70
1/24/01,AQS,38,AQS,60
1/25/01,AQS,37,AQS,80
1/26/01,AQS,36,AQS,73
1/27/01,AQS,44,AQS,136
1/28/01,AQS,46,AQS,117
1/29/01,AQS,40,AQS,38
1/30/01,AQS,39,AQS,39
1/31/01,AQS,44,AQS,66
2/1/01,AQS,45,AQS,91
2/2/01,AQS,44,AQS,51
2/3/01,AQS,40,AQS,52
2/4/01,AQS,42,AQS,38
2/5/01,AQS,40,AQS,46
2/6/01,AQS,29,AQS,58
2/7/01,AQS,30,AQS,85
2/8/01,AQS,35,AQS,61
2/9/01,AQS,34,AQS,81
2/10/01,AQS,34,AQS,86
2/11/01,AQS,35,AQS,72
2/12/01,AQS,37,AQS,106
2/13/01,AQS,36,AQS,93
2/14/01,AQS,43,AQS,79
2/15/01,AQS,41,AQS,39
2/16/01,AQS,35,AQS,68
2/17/01,AQS,42,AQS,72
2/18/01,AQS,42,AQS,75
2/19/01,AQS,36,AQS,76
2/20/01,AQS,36,AQS,109
2/21/01,AQS,37,AQS,80
2/22/01,AQS,32,AQS,60
2/23/01,AQS,36,AQS,75
2/24/01,AQS,37,AQS,63
2/25/01,AQS,35,AQS,89
2/26/01,AQS,36,AQS,94
2/27/01,AQS,39,AQS,120
2/28/01,AQS,47,AQS,92
