Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/96,AQS,7,,
1/2/96,AQS,23,,
1/3/96,AQS,25,,
1/4/96,AQS,16,,
1/5/96,AQS,17,,
1/6/96,AQS,29,,
1/7/96,AQS,32,,
1/8/96,AQS,29,,
1/9/96,AQS,25,,
1/10/96,AQS,23,,
1/11/96,AQS,17,,
1/12/96,AQS,25,,
1/13/96,AQS,19,,
1/14/96,AQS,26,,
1/15/96,AQS,28,,
1/16/96,AQS,15,,
1/17/96,AQS,31,,
1/18/96,AQS,31,,
1/19/96,AQS,33,,
1/20/96,AQS,19,,
1/21/96,AQS,22,,
1/22/96,AQS,19,,
1/23/96,AQS,19,,
1/24/96,AQS,28,,
1/25/96,AQS,26,,
1/26/96,AQS,29,,
1/27/96,AQS,34,,
1/28/96,AQS,26,,
1/29/96,AQS,29,,
1/30/96,AQS,31,,
1/31/96,AQS,32,,
2/1/96,AQS,34,,
2/2/96,AQS,32,,
2/3/96,AQS,31,,
2/4/96,AQS,25,,
2/5/96,AQS,27,,
2/6/96,AQS,27,,
2/7/96,AQS,19,,
2/8/96,AQS,28,,
2/9/96,AQS,27,,
2/10/96,AQS,33,,
2/11/96,AQS,32,,
2/12/96,AQS,31,,
2/13/96,AQS,25,,
2/14/96,AQS,30,,
2/15/96,AQS,31,,
2/16/96,AQS,30,,
2/17/96,AQS,28,,
2/18/96,AQS,28,,
2/19/96,AQS,26,,
2/20/96,AQS,36,,
2/21/96,AQS,16,,
2/22/96,AQS,21,,
2/23/96,AQS,25,,
2/24/96,AQS,36,,
2/25/96,AQS,44,,
2/26/96,AQS,28,,
2/27/96,AQS,29,,
2/28/96,AQS,30,,
2/29/96,AQS,32,,
3/1/96,AQS,34,,
3/2/96,AQS,37,,
3/3/96,AQS,31,,
3/4/96,AQS,36,,
3/5/96,AQS,33,,
3/6/96,AQS,33,,
3/7/96,AQS,33,,
3/8/96,AQS,33,,
3/9/96,AQS,36,,
3/10/96,AQS,37,,
3/11/96,AQS,38,,
3/12/96,AQS,61,,
3/13/96,AQS,58,,
3/14/96,AQS,61,,
3/15/96,AQS,40,,
3/16/96,AQS,39,,
3/17/96,AQS,44,,
3/18/96,AQS,43,,
3/19/96,AQS,31,,
3/20/96,AQS,35,,
3/21/96,AQS,38,,
3/22/96,AQS,44,,
3/23/96,AQS,35,,
3/24/96,AQS,45,,
3/25/96,AQS,39,,
3/26/96,AQS,42,,
3/27/96,AQS,35,,
3/28/96,AQS,18,,
3/29/96,AQS,24,,
3/30/96,AQS,24,,
3/31/96,AQS,41,,
4/1/96,AQS,45,,
4/2/96,AQS,50,,
4/3/96,AQS,77,,
4/4/96,AQS,36,,
4/5/96,AQS,44,,
4/6/96,AQS,46,,
4/7/96,AQS,43,,
4/8/96,AQS,48,,
4/9/96,AQS,58,,
4/10/96,AQS,71,,
4/11/96,AQS,129,,
4/12/96,AQS,51,,
4/13/96,AQS,30,,
4/14/96,AQS,34,,
4/15/96,AQS,38,,
4/16/96,AQS,47,,
4/17/96,AQS,100,,
4/18/96,AQS,44,,
4/19/96,AQS,44,,
4/20/96,AQS,44,,
4/21/96,AQS,50,,
4/22/96,AQS,38,,
4/23/96,AQS,44,,
4/24/96,AQS,50,,
4/25/96,AQS,74,,
4/26/96,AQS,39,,
4/27/96,AQS,41,,
4/28/96,AQS,42,,
4/29/96,AQS,40,,
4/30/96,AQS,48,,
5/1/96,AQS,51,,
5/2/96,AQS,51,,
5/3/96,AQS,51,,
5/4/96,AQS,42,,
5/5/96,AQS,29,,
5/6/96,AQS,42,,
5/7/96,AQS,30,,
5/8/96,AQS,35,,
5/9/96,AQS,45,,
5/10/96,AQS,40,,
5/11/96,AQS,38,,
5/12/96,AQS,45,,
5/13/96,AQS,44,,
5/14/96,AQS,44,,
5/15/96,AQS,54,,
5/16/96,AQS,77,,
5/17/96,AQS,77,,
5/18/96,AQS,51,,
5/19/96,AQS,58,,
5/20/96,AQS,67,,
5/21/96,AQS,64,,
5/22/96,AQS,101,,
5/23/96,AQS,115,,
5/24/96,AQS,129,,
5/25/96,AQS,151,,
5/26/96,AQS,44,,
5/27/96,AQS,46,,
5/28/96,AQS,44,,
