Date,Source Ozone AQI Value,Ozone_AQI Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/19,AQS,16,AQS,54
1/2/19,AirNow,19,AQS,50
1/3/19,AQS,19,AQS,52
1/4/19,AirNow,20,AQS,56
1/5/19,AQS,27,AQS,57
1/6/19,AirNow,34,AQS,76
1/7/19,AirNow,35,AQS,52
1/8/19,AQS,31,AQS,33
1/9/19,AQS,30,AQS,35
1/10/19,AQS,22,AQS,44
1/11/19,AQS,15,AQS,59
1/12/19,AQS,21,AQS,57
1/13/19,AQS,31,AQS,60
1/14/19,AQS,34,AQS,60
1/15/19,AQS,27,AQS,54
1/16/19,AQS,23,AQS,64
1/17/19,AQS,20,AQS,64
1/18/19,AQS,24,AQS,55
1/19/19,AirNow,34,AQS,35
1/20/19,AQS,31,AQS,34
1/21/19,AirNow,31,AQS,40
1/22/19,AQS,27,AQS,61
1/23/19,AQS,33,AQS,54
1/24/19,AQS,33,AQS,52
1/25/19,AQS,29,AQS,30
1/26/19,AQS,28,AQS,54
1/27/19,AQS,25,AQS,66
1/28/19,AQS,33,AQS,49
1/29/19,AQS,35,AQS,31
1/30/19,AQS,33,AQS,28
1/31/19,AQS,27,AQS,44
2/1/19,AQS,23,AQS,72
2/2/19,AQS,24,AQS,99
2/3/19,AQS,33,AQS,49
2/4/19,AQS,21,AQS,56
2/5/19,AirNow,22,AQS,66
2/6/19,AirNow,13,AQS,42
2/7/19,AirNow,36,AQS,29
2/8/19,AirNow,37,AQS,33
2/9/19,AirNow,33,AQS,38
2/10/19,AirNow,24,AQS,54
2/11/19,AirNow,15,AQS,60
2/12/19,AirNow,40,AQS,40
2/13/19,AirNow,38,AQS,42
2/14/19,AirNow,44,AQS,62
2/15/19,AirNow,37,AQS,43
2/16/19,AirNow,31,AQS,53
2/17/19,AirNow,38,AQS,56
2/18/19,AirNow,40,AQS,56
2/19/19,AirNow,35,AQS,55
2/20/19,AirNow,31,AQS,54
2/21/19,AirNow,42,AQS,63
2/22/19,AirNow,36,AQS,73
2/23/19,AirNow,41,AQS,64
2/24/19,AirNow,48,AQS,44
2/25/19,AirNow,38,AQS,39
2/26/19,AirNow,33,AQS,54
2/27/19,AirNow,34,AQS,62
2/28/19,AirNow,33,AQS,68
3/1/19,AQS,32,AQS,77
3/2/19,AQS,43,AQS,82
3/3/19,AQS,40,AQS,53
3/4/19,AQS,44,AQS,35
3/5/19,AQS,44,AQS,39
3/6/19,AQS,46,AQS,55
3/7/19,AQS,39,AQS,64
3/8/19,AQS,35,AQS,76
3/9/19,AQS,40,AQS,53
3/10/19,AQS,47,AQS,44
3/11/19,AQS,48,AQS,39
3/12/19,AQS,38,AQS,56
3/13/19,AQS,37,AQS,57
3/14/19,AQS,45,AQS,34
3/15/19,AQS,44,AQS,25
3/16/19,AQS,46,AQS,35
