Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/93,AQS,19,,
1/2/93,AQS,21,AQS,
1/3/93,AQS,31,,
1/4/93,AQS,32,,
1/5/93,AQS,24,,
1/6/93,AQS,7,AQS,
1/7/93,AQS,6,,
1/8/93,AQS,4,,
1/9/93,AQS,10,AQS,
1/10/93,AQS,9,,
1/11/93,AQS,3,,
1/12/93,AQS,6,,
1/13/93,AQS,20,AQS,
1/14/93,AQS,17,,
1/15/93,AQS,10,,
1/16/93,AQS,4,AQS,
1/17/93,AQS,25,,
1/18/93,AQS,28,,
1/19/93,AQS,23,,
1/20/93,AQS,25,AQS,
1/21/93,AQS,13,,
1/22/93,AQS,11,,
1/23/93,AQS,27,AQS,
1/24/93,AQS,32,,
1/25/93,AQS,30,,
1/26/93,AQS,24,,
1/27/93,AQS,18,AQS,
1/28/93,AQS,15,,
1/29/93,AQS,28,,
1/30/93,AQS,31,AQS,
1/31/93,AQS,36,,
2/1/93,AQS,31,,
2/2/93,AQS,29,,
2/3/93,AQS,25,AQS,
2/4/93,AQS,34,,
2/5/93,AQS,31,,
2/6/93,AQS,26,AQS,
2/7/93,AQS,21,,
2/8/93,AQS,23,,
2/9/93,AQS,25,,
2/10/93,AQS,22,AQS,
2/11/93,AQS,30,,
2/12/93,AQS,30,,
2/13/93,AQS,28,AQS,
2/14/93,AQS,31,,
2/15/93,AQS,33,,
2/16/93,AQS,31,,
2/17/93,AQS,33,AQS,
2/18/93,AQS,32,,
2/19/93,AQS,30,,
2/20/93,AQS,20,AQS,
2/21/93,AQS,19,,
2/22/93,AQS,36,,
2/23/93,AQS,38,,
2/24/93,AQS,32,AQS,
2/25/93,AQS,32,,
2/26/93,AQS,26,,
2/27/93,AQS,36,AQS,
2/28/93,AQS,54,,
3/1/93,AQS,43,,
3/2/93,AQS,37,,
3/3/93,AQS,46,AQS,
3/4/93,AQS,50,,
3/5/93,AQS,18,,
3/6/93,AQS,37,AQS,
3/7/93,AQS,40,,
3/8/93,AQS,38,,
3/9/93,AQS,36,,
3/10/93,AQS,24,AQS,
3/11/93,AQS,31,,
3/12/93,AQS,31,,
3/13/93,AQS,36,AQS,
3/14/93,AQS,39,,
3/15/93,AQS,45,,
3/16/93,AQS,46,,
3/17/93,AQS,35,AQS,
3/18/93,AQS,41,,
3/19/93,AQS,33,,
3/20/93,AQS,40,AQS,
3/21/93,AQS,36,,
3/22/93,AQS,32,,
3/23/93,AQS,28,,
3/24/93,AQS,32,AQS,
3/25/93,AQS,33,,
3/26/93,AQS,46,,
3/27/93,AQS,29,AQS,
3/28/93,AQS,35,,
3/29/93,AQS,25,,
3/30/93,AQS,58,,
3/31/93,AQS,44,AQS,
4/1/93,AQS,42,,
4/2/93,AQS,31,,
4/3/93,AQS,39,AQS,
4/4/93,AQS,44,,
4/5/93,AQS,38,,
4/6/93,AQS,44,,
4/7/93,AQS,44,AQS,
4/8/93,AQS,48,,
4/9/93,AQS,40,,
4/10/93,AQS,45,AQS,
4/11/93,AQS,48,,
4/12/93,AQS,35,,
4/13/93,AQS,44,,
4/14/93,AQS,49,AQS,
4/15/93,AQS,87,,
4/16/93,AQS,41,,
4/17/93,AQS,39,AQS,
4/18/93,AQS,61,,
4/19/93,AQS,84,,
4/20/93,AQS,93,,
4/21/93,AQS,41,AQS,
4/22/93,AQS,42,,
4/23/93,AQS,44,,
4/24/93,AQS,77,AQS,
4/25/93,AQS,119,,
4/26/93,AQS,42,,
4/27/93,AQS,50,,
4/28/93,AQS,51,AQS,
4/29/93,AQS,97,,
4/30/93,AQS,136,,
5/1/93,AQS,179,AQS,
5/2/93,AQS,156,,
5/3/93,AQS,156,,
5/4/93,AQS,36,,
5/5/93,AQS,39,AQS,
5/6/93,AQS,84,,
5/7/93,AQS,100,,
5/8/93,AQS,105,AQS,
5/9/93,AQS,112,,
5/10/93,AQS,154,,
5/11/93,AQS,154,,
5/12/93,AQS,136,AQS,
5/13/93,AQS,37,,
5/14/93,AQS,49,,
5/15/93,AQS,90,AQS,
5/16/93,AQS,100,,
5/17/93,AQS,58,,
5/18/93,AQS,46,,
5/19/93,AQS,27,AQS,
5/20/93,AQS,42,,
5/21/93,AQS,44,,
5/22/93,AQS,58,AQS,
5/23/93,AQS,64,,
5/24/93,AQS,156,,
5/25/93,AQS,93,,
5/26/93,AQS,87,AQS,
5/27/93,AQS,133,,
5/28/93,AQS,150,,
5/29/93,AQS,61,AQS,
5/30/93,AQS,115,,
5/31/93,AQS,61,,
6/1/93,AQS,61,,
6/2/93,AQS,50,AQS,
6/3/93,AQS,80,,
6/4/93,AQS,61,,
6/5/93,AQS,87,AQS,
6/6/93,AQS,54,,
6/7/93,AQS,150,,
6/8/93,AQS,133,,
6/9/93,AQS,150,AQS,
6/10/93,AQS,122,,
6/11/93,AQS,150,,
6/12/93,AQS,80,AQS,
6/13/93,AQS,54,,
6/14/93,AQS,61,,
6/15/93,AQS,115,,
6/16/93,AQS,161,AQS,
6/17/93,AQS,218,,
6/18/93,AQS,197,,
6/19/93,AQS,166,AQS,
6/20/93,AQS,140,,
6/21/93,AQS,84,,
6/22/93,AQS,100,,
6/23/93,AQS,97,AQS,
6/24/93,AQS,174,,
6/25/93,AQS,161,,
6/26/93,AQS,115,AQS,
6/27/93,AQS,172,,
6/28/93,AQS,156,,
6/29/93,AQS,169,,
6/30/93,AQS,150,AQS,
7/1/93,AQS,54,,
7/2/93,AQS,44,,
7/3/93,AQS,169,AQS,
7/4/93,AQS,159,,
7/5/93,AQS,164,,
7/6/93,AQS,164,,
7/7/93,AQS,177,AQS,
7/8/93,AQS,210,,
7/9/93,AQS,209,,
7/10/93,AQS,166,AQS,
7/11/93,AQS,133,,
7/12/93,AQS,119,,
7/13/93,AQS,204,,
7/14/93,AQS,133,AQS,
7/15/93,AQS,133,,
7/16/93,AQS,129,,
7/17/93,AQS,90,AQS,
7/18/93,AQS,154,,
7/19/93,AQS,84,,
7/20/93,AQS,151,,
7/21/93,AQS,151,AQS,
7/22/93,AQS,64,,
7/23/93,AQS,90,,
7/24/93,AQS,200,AQS,
7/25/93,AQS,122,,
7/26/93,AQS,64,,
7/27/93,AQS,161,,
7/28/93,AQS,209,AQS,
7/29/93,AQS,115,,
7/30/93,AQS,64,,
7/31/93,AQS,42,AQS,
8/1/93,AQS,100,,
8/2/93,AQS,129,,
8/3/93,AQS,190,,
8/4/93,AQS,143,AQS,
8/5/93,AQS,84,,
8/6/93,AQS,43,,
8/7/93,AQS,126,AQS,
8/8/93,AQS,151,,
8/9/93,AQS,129,,
8/10/93,AQS,112,,
8/11/93,AQS,105,AQS,
8/12/93,AQS,172,,
8/13/93,AQS,179,,
8/14/93,AQS,187,AQS,
8/15/93,AQS,112,,
8/16/93,AQS,150,,
8/17/93,AQS,105,,
8/18/93,AQS,93,AQS,
8/19/93,AQS,119,,
8/20/93,AQS,93,,
8/21/93,AQS,51,AQS,
8/22/93,AQS,119,,
8/23/93,AQS,126,,
8/24/93,AQS,164,,
8/25/93,AQS,210,,
8/26/93,AQS,200,,
8/27/93,AQS,177,,
