Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/07,AQS,31,AQS,35
1/2/07,AQS,26,AQS,40
1/3/07,AQS,19,AQS,52
1/4/07,AQS,21,AQS,55
1/5/07,,,AQS,33
1/6/07,AQS,34,AQS,52
1/7/07,AQS,28,AQS,57
1/8/07,AQS,32,AQS,27
1/9/07,AQS,31,AQS,31
1/10/07,AQS,27,AQS,36
1/11/07,AQS,30,AQS,50
1/12/07,AQS,33,AQS,59
1/13/07,AQS,32,AQS,64
1/14/07,AQS,31,AQS,59
1/15/07,AQS,31,AQS,38
1/16/07,AQS,18,AQS,36
1/17/07,AQS,22,AQS,39
1/18/07,AQS,19,AQS,54
1/19/07,AQS,24,AQS,45
1/20/07,AQS,30,AQS,34
1/21/07,AQS,26,AQS,42
1/22/07,AQS,22,AQS,40
1/23/07,,,AQS,50
1/24/07,AQS,19,AQS,57
1/25/07,AQS,33,AQS,45
1/26/07,AQS,34,AQS,54
1/27/07,AQS,40,AQS,60
1/28/07,AQS,33,AQS,37
1/29/07,AQS,31,AQS,42
1/30/07,AQS,34,AQS,52
1/31/07,AQS,30,AQS,52
2/1/07,AQS,25,AQS,63
2/2/07,AQS,22,AQS,62
2/3/07,AQS,35,AQS,51
2/4/07,AQS,41,AQS,52
2/5/07,AQS,37,AQS,34
2/6/07,AQS,43,AQS,44
2/7/07,AQS,54,AQS,66
2/8/07,AQS,31,AQS,54
2/9/07,AQS,26,AQS,43
2/10/07,AQS,33,AQS,43
2/11/07,AQS,39,AQS,54
2/12/07,AQS,51,AQS,60
2/13/07,AQS,34,AQS,73
2/14/07,AQS,23,AQS,52
2/15/07,AQS,29,AQS,43
2/16/07,AQS,33,AQS,54
2/17/07,AQS,44,AQS,62
2/18/07,AQS,39,AQS,39
2/19/07,AQS,45,AQS,53
2/20/07,AQS,40,AQS,53
2/21/07,AQS,33,AQS,46
2/22/07,AQS,47,AQS,33
2/23/07,AQS,38,AQS,31
2/24/07,AQS,54,AQS,56
2/25/07,AQS,44,AQS,48
2/26/07,AQS,49,AQS,31
2/27/07,AQS,50,AQS,53
2/28/07,AQS,77,AQS,106
3/1/07,AQS,51,AQS,66
3/2/07,AQS,42,AQS,35
3/3/07,AQS,47,AQS,26
3/4/07,AQS,42,AQS,35
3/5/07,AQS,42,AQS,35
3/6/07,AQS,50,AQS,44
3/7/07,AQS,87,AQS,80
3/8/07,AQS,133,AQS,82
3/9/07,AQS,51,AQS,100
3/10/07,AQS,77,AQS,79
3/11/07,AQS,93,AQS,86
3/12/07,AQS,108,AQS,72
3/13/07,AQS,80,AQS,95
3/14/07,AQS,77,AQS,86
3/15/07,AQS,50,AQS,77
3/16/07,AQS,31,AQS,45
3/17/07,AQS,41,AQS,36
3/18/07,AQS,44,AQS,44
3/19/07,AQS,80,AQS,63
3/20/07,AQS,84,AQS,82
3/21/07,AQS,84,AQS,91
3/22/07,AQS,49,AQS,59
3/23/07,AQS,80,AQS,71
3/24/07,AQS,101,AQS,96
3/25/07,AQS,115,AQS,95
3/26/07,AQS,77,AQS,92
3/27/07,AQS,61,AQS,77
3/28/07,AQS,61,AQS,87
3/29/07,AQS,74,AQS,84
3/30/07,AQS,44,AQS,64
3/31/07,AQS,45,AQS,85
4/1/07,AQS,38,AQS,55
4/2/07,AQS,40,AQS,58
4/3/07,AQS,44,AQS,69
4/4/07,AQS,45,AQS,38
4/5/07,AQS,41,AQS,34
4/6/07,AQS,46,AQS,42
4/7/07,AQS,45,AQS,38
4/8/07,AQS,49,AQS,38
4/9/07,AQS,49,AQS,55
4/10/07,AQS,77,AQS,72
4/11/07,AQS,44,AQS,84
4/12/07,AQS,50,AQS,45
4/13/07,AQS,67,AQS,58
4/14/07,AQS,48,AQS,67
4/15/07,AQS,43,AQS,37
4/16/07,AQS,67,AQS,51
4/17/07,AQS,84,AQS,68
4/18/07,AQS,90,AQS,55
4/19/07,AQS,108,AQS,63
4/20/07,AQS,71,AQS,67
4/21/07,AQS,93,AQS,72
4/22/07,AQS,100,AQS,76
4/23/07,AQS,97,AQS,197
4/24/07,AQS,71,AQS,85
4/25/07,AQS,58,AQS,57
4/26/07,AQS,36,AQS,52
4/27/07,AQS,64,AQS,47
4/28/07,AQS,64,AQS,41
4/29/07,AQS,87,AQS,53
4/30/07,AQS,133,AQS,66
5/1/07,AQS,164,AQS,78
5/2/07,AQS,126,AQS,88
5/3/07,AQS,100,AQS,154
5/4/07,AQS,44,AQS,104
5/5/07,AQS,32,AQS,76
5/6/07,AQS,50,AQS,72
5/7/07,AQS,71,AQS,33
5/8/07,AQS,93,AQS,25
5/9/07,AQS,80,AQS,59
5/10/07,AQS,108,AQS,72
5/11/07,AQS,108,AQS,70
5/12/07,AQS,77,AQS,99
5/13/07,AQS,122,AQS,81
5/14/07,AQS,90,AQS,71
5/15/07,AQS,101,AQS,62
5/16/07,AQS,47,AQS,156
5/17/07,AQS,77,AQS,56
5/18/07,AQS,87,AQS,54
5/19/07,AQS,101,AQS,57
5/20/07,AQS,119,AQS,65
5/21/07,AQS,174,AQS,79
5/22/07,AQS,154,AQS,169
5/23/07,AQS,105,AQS,72
5/24/07,AQS,80,AQS,55
5/25/07,AQS,108,AQS,58
5/26/07,AQS,140,AQS,151
5/27/07,AQS,97,AQS,162
5/28/07,AQS,64,AQS,82
5/29/07,AQS,80,AQS,79
5/30/07,AQS,90,AQS,95
5/31/07,AQS,115,AQS,162
6/1/07,AQS,115,AQS,95
6/2/07,AQS,44,AQS,64
6/3/07,AQS,93,AQS,71
6/4/07,AQS,100,AQS,62
6/5/07,AQS,74,AQS,95
6/6/07,AQS,151,AQS,71
6/7/07,AQS,48,AQS,72
6/8/07,AQS,29,AQS,60
6/9/07,AQS,84,AQS,92
6/10/07,AQS,151,AQS,77
6/11/07,AQS,112,AQS,105
6/12/07,AQS,108,AQS,80
6/13/07,AQS,151,AQS,68
6/14/07,AQS,105,AQS,74
6/15/07,AQS,84,AQS,64
6/16/07,AQS,133,AQS,72
6/17/07,AQS,140,AQS,109
6/18/07,AQS,147,AQS,88
6/19/07,AQS,28,AQS,60
6/20/07,AQS,87,AQS,55
6/21/07,AQS,177,AQS,70
6/22/07,AQS,207,AQS,91
6/23/07,AQS,197,AQS,110
6/24/07,AQS,159,AQS,127
6/25/07,AQS,87,AQS,120
6/26/07,AQS,101,AQS,84
6/27/07,AQS,80,AQS,79
6/28/07,AQS,90,AQS,67
6/29/07,AQS,119,AQS,76
6/30/07,AQS,151,AQS,97
7/1/07,AQS,108,AQS,76
7/2/07,AQS,80,AQS,71
7/3/07,AQS,54,AQS,70
7/4/07,AQS,90,AQS,69
7/5/07,AQS,190,AQS,122
7/6/07,AQS,90,AQS,96
7/7/07,AQS,47,AQS,74
7/8/07,AQS,35,AQS,73
7/9/07,AQS,67,AQS,75
7/10/07,AQS,36,AQS,64
7/11/07,AQS,39,AQS,52
7/12/07,AQS,133,AQS,68
7/13/07,AQS,126,AQS,76
7/14/07,AQS,77,AQS,89
7/15/07,AQS,34,AQS,75
7/16/07,AQS,80,AQS,62
7/17/07,AQS,43,AQS,74
7/18/07,AQS,49,AQS,60
7/19/07,AQS,43,AQS,65
7/20/07,AQS,38,AQS,65
7/21/07,AQS,133,AQS,67
7/22/07,AQS,49,AQS,79
7/23/07,AQS,71,AQS,75
7/24/07,AQS,115,AQS,72
7/25/07,AQS,90,AQS,64
7/26/07,AQS,105,AQS,72
7/27/07,AQS,97,AQS,90
7/28/07,AQS,50,AQS,77
7/29/07,AQS,45,AQS,79
7/30/07,AQS,112,AQS,94
