Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/94,AQS,16,,
1/2/94,AQS,23,,
1/3/94,AQS,20,,
1/4/94,AQS,21,,
1/5/94,AQS,28,,
1/6/94,AQS,26,,
1/7/94,AQS,17,,
1/8/94,AQS,21,,
1/9/94,AQS,29,,
1/10/94,AQS,30,,
1/11/94,AQS,5,,
1/12/94,AQS,7,,
1/13/94,AQS,7,,
1/14/94,AQS,23,,
1/15/94,AQS,29,,
1/16/94,AQS,31,,
1/17/94,AQS,21,,
1/18/94,AQS,23,,
1/19/94,AQS,24,,
1/20/94,AQS,19,,
1/21/94,AQS,14,,
1/22/94,AQS,24,,
1/23/94,AQS,18,,
1/24/94,AQS,18,,
1/25/94,AQS,26,,
1/26/94,AQS,25,,
1/27/94,AQS,18,,
1/28/94,AQS,12,,
1/29/94,AQS,16,,
1/30/94,AQS,28,,
1/31/94,AQS,20,,
2/1/94,AQS,21,,
2/2/94,AQS,15,,
2/3/94,AQS,18,,
2/4/94,AQS,15,,
2/5/94,AQS,22,,
2/6/94,AQS,31,,
2/7/94,AQS,31,,
2/8/94,AQS,25,,
2/9/94,AQS,26,,
2/10/94,AQS,24,,
2/11/94,AQS,23,,
2/12/94,AQS,30,,
2/13/94,AQS,31,,
2/14/94,AQS,31,,
2/15/94,AQS,20,,
2/16/94,AQS,29,,
2/17/94,AQS,21,,
2/18/94,AQS,28,,
2/19/94,AQS,19,,
2/20/94,AQS,39,,
2/21/94,AQS,19,,
2/22/94,AQS,29,,
2/23/94,AQS,31,,
2/24/94,AQS,27,,
2/25/94,AQS,31,,
2/26/94,AQS,38,,
2/27/94,AQS,38,,
2/28/94,AQS,38,,
3/1/94,AQS,39,,
3/2/94,AQS,36,,
3/3/94,AQS,35,,
3/4/94,AQS,37,,
3/5/94,AQS,40,,
3/6/94,AQS,35,,
3/7/94,AQS,20,,
3/8/94,AQS,33,,
3/9/94,AQS,32,,
3/10/94,AQS,26,,
3/11/94,AQS,33,,
3/12/94,AQS,35,,
3/13/94,AQS,32,,
3/14/94,AQS,23,,
3/15/94,AQS,31,,
3/16/94,AQS,19,,
3/17/94,AQS,31,,
3/18/94,AQS,34,,
3/19/94,AQS,42,,
3/20/94,AQS,34,,
3/21/94,AQS,35,,
3/22/94,AQS,33,,
3/23/94,AQS,44,,
3/24/94,AQS,39,,
3/25/94,AQS,31,,
3/26/94,AQS,37,,
3/27/94,AQS,25,,
3/28/94,AQS,19,,
3/29/94,AQS,27,,
3/30/94,AQS,38,,
3/31/94,AQS,43,,
4/1/94,AQS,54,,
4/2/94,AQS,47,,
4/3/94,AQS,100,,
4/4/94,AQS,41,,
4/5/94,AQS,48,,
4/6/94,AQS,42,,
4/7/94,AQS,39,,
4/8/94,AQS,46,,
