Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/90,AQS,23,,
1/2/90,AQS,19,,
1/3/90,AQS,16,,
1/4/90,AQS,18,,
1/5/90,AQS,15,,
1/6/90,AQS,18,,
1/7/90,AQS,19,,
1/8/90,AQS,20,,
1/9/90,AQS,19,,
1/10/90,AQS,17,,
1/11/90,AQS,27,,
1/12/90,AQS,24,,
1/13/90,AQS,17,,
1/14/90,AQS,19,,
1/15/90,AQS,17,,
1/16/90,AQS,21,,
1/17/90,AQS,21,,
1/18/90,AQS,23,,
1/19/90,AQS,23,,
1/20/90,AQS,20,,
1/21/90,AQS,23,,
1/22/90,AQS,19,,
1/23/90,AQS,25,,
1/24/90,AQS,18,,
1/25/90,AQS,28,,
1/26/90,AQS,23,,
1/27/90,AQS,31,,
1/28/90,AQS,25,,
1/29/90,AQS,20,,
1/30/90,AQS,21,,
1/31/90,AQS,21,,
2/1/90,AQS,26,,
2/2/90,AQS,26,,
2/3/90,AQS,28,,
2/4/90,AQS,31,,
2/5/90,AQS,23,,
2/6/90,AQS,13,,
2/7/90,AQS,23,,
2/8/90,AQS,41,,
2/9/90,AQS,23,,
2/10/90,AQS,27,,
2/11/90,AQS,25,,
2/12/90,AQS,25,,
2/13/90,AQS,30,,
2/14/90,AQS,30,,
2/15/90,AQS,25,,
2/16/90,AQS,33,,
2/17/90,AQS,31,,
2/18/90,AQS,38,,
2/19/90,AQS,32,,
2/20/90,AQS,29,,
2/21/90,AQS,24,,
2/22/90,AQS,31,,
2/23/90,AQS,32,,
2/24/90,AQS,34,,
2/25/90,AQS,33,,
2/26/90,AQS,24,,
2/27/90,AQS,32,,
2/28/90,AQS,33,,
3/1/90,AQS,30,,
3/2/90,AQS,31,,
3/3/90,AQS,34,,
3/4/90,AQS,30,,
3/5/90,AQS,29,,
3/6/90,AQS,37,,
3/7/90,AQS,34,,
3/8/90,AQS,14,,
3/9/90,AQS,19,,
3/10/90,AQS,14,,
3/11/90,AQS,29,,
3/12/90,AQS,31,,
3/13/90,AQS,27,,
3/14/90,AQS,33,,
3/15/90,AQS,34,,
3/16/90,AQS,40,,
3/17/90,AQS,35,,
3/18/90,AQS,32,,
3/19/90,AQS,31,,
3/20/90,AQS,35,,
3/21/90,AQS,38,,
3/22/90,AQS,31,,
3/23/90,AQS,33,,
3/24/90,AQS,37,,
3/25/90,AQS,43,,
3/26/90,AQS,39,,
3/27/90,AQS,37,,
3/28/90,AQS,43,,
3/29/90,AQS,27,,
3/30/90,AQS,41,,
3/31/90,AQS,38,,
4/1/90,AQS,50,,
4/2/90,AQS,34,,
4/3/90,AQS,44,,
4/4/90,AQS,34,,
4/5/90,AQS,36,,
4/6/90,AQS,37,,
4/7/90,AQS,43,,
4/8/90,AQS,47,,
4/9/90,AQS,61,,
4/10/90,AQS,40,,
4/11/90,AQS,90,,
4/12/90,AQS,67,,
4/13/90,AQS,101,,
4/14/90,AQS,49,,
4/15/90,AQS,64,,
4/16/90,AQS,47,,
4/17/90,AQS,61,,
4/18/90,AQS,58,,
4/19/90,AQS,35,,
4/20/90,AQS,41,,
4/21/90,AQS,45,,
4/22/90,AQS,84,,
4/23/90,AQS,126,,
4/24/90,AQS,67,,
4/25/90,AQS,77,,
4/26/90,AQS,61,,
4/27/90,AQS,97,,
4/28/90,AQS,46,,
4/29/90,AQS,43,,
4/30/90,AQS,32,,
5/1/90,AQS,48,,
5/2/90,AQS,58,,
5/3/90,AQS,48,,
5/4/90,AQS,51,,
5/5/90,AQS,64,,
5/6/90,AQS,50,,
5/7/90,AQS,87,,
5/8/90,AQS,108,,
5/9/90,AQS,54,,
5/10/90,AQS,29,,
5/11/90,AQS,97,,
5/12/90,AQS,54,,
5/13/90,AQS,87,,
5/14/90,AQS,48,,
5/15/90,AQS,45,,
5/16/90,AQS,45,,
5/17/90,AQS,40,,
5/18/90,AQS,93,,
5/19/90,AQS,54,,
5/20/90,AQS,41,,
5/21/90,AQS,71,,
5/22/90,AQS,54,,
5/23/90,AQS,50,,
5/24/90,AQS,105,,
5/25/90,AQS,49,,
5/26/90,AQS,108,,
5/27/90,AQS,154,,
5/28/90,AQS,97,,
5/29/90,AQS,58,,
5/30/90,AQS,119,,
5/31/90,AQS,122,,
6/1/90,AQS,133,,
6/2/90,AQS,44,,
6/3/90,AQS,46,,
6/4/90,AQS,71,,
6/5/90,AQS,50,,
6/6/90,AQS,61,,
6/7/90,AQS,90,,
6/8/90,AQS,51,,
6/9/90,AQS,74,,
6/10/90,AQS,50,,
6/11/90,AQS,126,,
6/12/90,AQS,136,,
6/13/90,AQS,172,,
6/14/90,AQS,51,,
6/15/90,AQS,105,,
6/16/90,AQS,136,,
6/17/90,AQS,74,,
6/18/90,AQS,51,,
6/19/90,AQS,61,,
6/20/90,AQS,47,,
6/21/90,AQS,64,,
6/22/90,AQS,41,,
6/23/90,AQS,29,,
6/24/90,AQS,47,,
6/25/90,AQS,119,,
6/26/90,AQS,108,,
6/27/90,AQS,172,,
6/28/90,AQS,136,,
6/29/90,AQS,64,,
6/30/90,AQS,172,,
7/1/90,AQS,36,,
7/2/90,AQS,112,,
7/3/90,AQS,166,,
7/4/90,AQS,133,,
7/5/90,AQS,54,,
7/6/90,AQS,33,,
7/7/90,AQS,67,,
7/8/90,AQS,87,,
7/9/90,AQS,90,,
7/10/90,AQS,44,,
7/11/90,AQS,39,,
7/12/90,AQS,48,,
7/13/90,AQS,32,,
7/14/90,AQS,33,,
7/15/90,AQS,42,,
7/16/90,AQS,71,,
7/17/90,AQS,105,,
7/18/90,AQS,54,,
7/19/90,AQS,77,,
7/20/90,AQS,44,,
7/21/90,AQS,51,,
7/22/90,AQS,50,,
7/23/90,AQS,58,,
7/24/90,AQS,61,,
7/25/90,AQS,122,,
7/26/90,AQS,133,,
7/27/90,AQS,166,,
7/28/90,AQS,195,,
7/29/90,AQS,51,,
7/30/90,AQS,31,,
7/31/90,AQS,33,,
8/1/90,AQS,74,,
8/2/90,AQS,133,,
8/3/90,AQS,187,,
8/4/90,AQS,129,,
8/5/90,AQS,64,,
8/6/90,AQS,51,,
8/7/90,AQS,64,,
8/8/90,AQS,150,,
8/9/90,AQS,159,,
8/10/90,AQS,169,,
8/11/90,AQS,143,,
8/12/90,AQS,64,,
8/13/90,AQS,41,,
8/14/90,AQS,129,,
8/15/90,AQS,140,,
8/16/90,AQS,136,,
8/17/90,AQS,43,,
8/18/90,AQS,108,,
8/19/90,AQS,87,,
8/20/90,AQS,44,,
8/21/90,AQS,140,,
8/22/90,AQS,218,,
8/23/90,AQS,190,,
8/24/90,AQS,169,,
8/25/90,AQS,177,,
8/26/90,AQS,205,,
8/27/90,AQS,143,,
8/28/90,AQS,105,,
8/29/90,AQS,115,,
8/30/90,AQS,133,,
8/31/90,AQS,133,,
9/1/90,AQS,192,,
9/2/90,AQS,97,,
9/3/90,AQS,90,,
9/4/90,AQS,136,,
9/5/90,AQS,122,,
9/6/90,AQS,105,,
9/7/90,AQS,49,,
9/8/90,AQS,84,,
9/9/90,AQS,119,,
9/10/90,AQS,147,,
9/11/90,AQS,74,,
