Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/00,AQS,16,AQS,98
1/2/00,AQS,29,AQS,91
1/3/00,AQS,25,AQS,54
1/4/00,AQS,27,AQS,91
1/5/00,AQS,17,AQS,68
1/6/00,AQS,22,AQS,77
1/7/00,AQS,21,AQS,80
1/8/00,AQS,18,AQS,62
1/9/00,AQS,13,AQS,82
1/10/00,AQS,21,AQS,65
1/11/00,AQS,22,AQS,53
1/12/00,AQS,25,AQS,53
1/13/00,AQS,23,AQS,88
1/14/00,AQS,18,AQS,72
1/15/00,AQS,11,AQS,70
1/16/00,AQS,34,AQS,64
1/17/00,AQS,31,AQS,52
1/18/00,AQS,18,AQS,79
1/19/00,AQS,26,AQS,85
1/20/00,AQS,27,AQS,153
1/21/00,AQS,24,AQS,104
1/22/00,AQS,21,AQS,104
1/23/00,AQS,28,AQS,68
1/24/00,AQS,23,AQS,88
1/25/00,AQS,28,AQS,154
1/26/00,AQS,29,AQS,93
1/27/00,AQS,35,AQS,64
1/28/00,AQS,28,AQS,100
1/29/00,AQS,31,AQS,68
1/30/00,AQS,30,AQS,111
1/31/00,AQS,29,AQS,108
2/1/00,AQS,30,AQS,143
2/2/00,AQS,22,AQS,113
2/3/00,AQS,26,AQS,86
2/4/00,AQS,33,AQS,124
2/5/00,AQS,30,AQS,69
2/6/00,AQS,24,AQS,105
2/7/00,AQS,36,AQS,85
2/8/00,AQS,28,AQS,94
2/9/00,AQS,23,AQS,112
2/10/00,AQS,28,AQS,126
2/11/00,AQS,31,AQS,40
2/12/00,AQS,31,AQS,117
2/13/00,AQS,30,AQS,92
2/14/00,AQS,30,AQS,64
2/15/00,AQS,22,AQS,89
2/16/00,AQS,32,AQS,73
2/17/00,AQS,30,AQS,89
2/18/00,AQS,36,AQS,77
2/19/00,AQS,39,AQS,72
2/20/00,AQS,48,AQS,81
2/21/00,AQS,26,AQS,97
2/22/00,AQS,24,AQS,70
2/23/00,AQS,54,AQS,82
2/24/00,AQS,33,AQS,80
2/25/00,AQS,32,AQS,72
2/26/00,AQS,34,AQS,42
2/27/00,AQS,33,AQS,40
2/28/00,AQS,34,AQS,69
2/29/00,AQS,35,AQS,56
3/1/00,AQS,31,AQS,86
3/2/00,AQS,40,AQS,41
3/3/00,AQS,36,AQS,61
3/4/00,AQS,34,AQS,80
3/5/00,AQS,44,AQS,83
3/6/00,AQS,44,AQS,88
3/7/00,AQS,40,AQS,82
3/8/00,AQS,36,AQS,81
3/9/00,AQS,31,AQS,42
3/10/00,AQS,35,AQS,44
3/11/00,AQS,36,AQS,33
3/12/00,AQS,38,AQS,65
3/13/00,AQS,19,AQS,105
3/14/00,AQS,32,AQS,81
3/15/00,AQS,39,AQS,88
3/16/00,AQS,43,AQS,61
3/17/00,AQS,42,AQS,46
3/18/00,AQS,32,AQS,61
3/19/00,AQS,21,AQS,77
3/20/00,AQS,25,AQS,68
3/21/00,AQS,18,AQS,114
3/22/00,AQS,34,AQS,127
3/23/00,AQS,48,AQS,132
3/24/00,AQS,42,AQS,90
3/25/00,AQS,43,AQS,71
3/26/00,AQS,49,AQS,38
3/27/00,AQS,38,AQS,89
3/28/00,AQS,25,AQS,69
3/29/00,AQS,33,AQS,45
3/30/00,AQS,36,AQS,65
3/31/00,AQS,46,AQS,93
4/1/00,AQS,39,AQS,85
4/2/00,AQS,44,AQS,113
4/3/00,AQS,34,AQS,103
4/4/00,AQS,35,AQS,32
4/5/00,AQS,46,AQS,62
4/6/00,AQS,40,AQS,55
4/7/00,AQS,33,AQS,70
4/8/00,AQS,43,AQS,40
4/9/00,AQS,42,AQS,93
4/10/00,AQS,38,AQS,43
4/11/00,AQS,43,AQS,64
4/12/00,AQS,44,AQS,76
4/13/00,AQS,42,AQS,80
4/14/00,AQS,54,AQS,77
4/15/00,AQS,48,AQS,82
4/16/00,AQS,36,AQS,71
4/17/00,AQS,31,AQS,68
4/18/00,AQS,29,AQS,117
4/19/00,AQS,28,AQS,131
4/20/00,AQS,38,AQS,83
4/21/00,AQS,45,AQS,101
4/22/00,AQS,54,AQS,64
4/23/00,AQS,71,AQS,66
4/24/00,AQS,54,AQS,66
4/25/00,AQS,58,AQS,64
4/26/00,AQS,58,AQS,52
4/27/00,AQS,74,AQS,76
4/28/00,AQS,71,AQS,66
4/29/00,AQS,48,AQS,35
4/30/00,AQS,105,AQS,63
5/1/00,AQS,64,AQS,89
5/2/00,AQS,67,AQS,62
5/3/00,AQS,119,AQS,74
5/4/00,AQS,74,AQS,59
5/5/00,AQS,115,AQS,65
5/6/00,AQS,74,AQS,62
5/7/00,AQS,42,AQS,56
5/8/00,AQS,50,AQS,75
5/9/00,AQS,39,AQS,69
5/10/00,AQS,44,AQS,50
5/11/00,AQS,44,AQS,77
5/12/00,AQS,48,AQS,91
5/13/00,AQS,33,AQS,45
5/14/00,AQS,50,AQS,67
5/15/00,AQS,58,AQS,63
5/16/00,AQS,51,AQS,76
5/17/00,AQS,45,AQS,114
5/18/00,AQS,47,AQS,66
5/19/00,AQS,41,AQS,61
5/20/00,AQS,44,AQS,54
5/21/00,AQS,77,AQS,69
5/22/00,AQS,58,AQS,62
5/23/00,AQS,64,AQS,52
5/24/00,AQS,84,AQS,69
5/25/00,AQS,51,AQS,133
5/26/00,AQS,61,AQS,67
5/27/00,AQS,61,AQS,91
5/28/00,AQS,40,AQS,72
5/29/00,AQS,51,AQS,64
5/30/00,AQS,87,AQS,85
5/31/00,AQS,39,AQS,86
6/1/00,AQS,151,AQS,77
6/2/00,AQS,46,AQS,53
6/3/00,AQS,44,AQS,30
6/4/00,AQS,48,AQS,58
6/5/00,AQS,44,AQS,61
6/6/00,AQS,54,AQS,48
6/7/00,AQS,108,AQS,56
6/8/00,AQS,166,AQS,77
6/9/00,AQS,166,AQS,66
6/10/00,AQS,71,AQS,59
6/11/00,AQS,37,AQS,53
6/12/00,AQS,32,AQS,53
6/13/00,AQS,45,AQS,62
6/14/00,AQS,49,AQS,56
6/15/00,AQS,46,AQS,41
6/16/00,AQS,44,AQS,37
6/17/00,AQS,40,AQS,31
6/18/00,AQS,50,AQS,42
6/19/00,AQS,101,AQS,60
6/20/00,AQS,37,AQS,71
6/21/00,AQS,43,AQS,31
6/22/00,AQS,45,AQS,44
6/23/00,AQS,105,AQS,64
6/24/00,AQS,42,AQS,43
6/25/00,AQS,112,AQS,71
6/26/00,AQS,44,AQS,50
6/27/00,AQS,43,AQS,53
6/28/00,AQS,36,AQS,54
6/29/00,AQS,46,AQS,53
6/30/00,AQS,77,AQS,59
7/1/00,AQS,93,AQS,67
7/2/00,AQS,87,AQS,84
7/3/00,AQS,44,AQS,60
7/4/00,AQS,67,AQS,70
7/5/00,AQS,100,AQS,85
7/6/00,AQS,112,AQS,68
7/7/00,AQS,46,AQS,41
7/8/00,AQS,80,AQS,70
7/9/00,AQS,58,AQS,88
7/10/00,AQS,77,AQS,48
7/11/00,AQS,77,AQS,64
7/12/00,AQS,93,AQS,58
7/13/00,AQS,140,AQS,67
7/14/00,AQS,74,AQS,55
7/15/00,AQS,44,AQS,44
7/16/00,AQS,50,AQS,59
7/17/00,AQS,67,AQS,64
7/18/00,AQS,31,AQS,22
7/19/00,AQS,35,AQS,29
7/20/00,AQS,43,AQS,58
7/21/00,AQS,36,AQS,46
7/22/00,AQS,37,AQS,33
7/23/00,AQS,39,AQS,33
7/24/00,AQS,80,AQS,51
7/25/00,AQS,93,AQS,73
