Date,Source Ozone AQI Value,Ozone AQI Value,Source PM2.5 AQI Value,PM2.5 AQI Value
1/1/20,AQS,29,AQS,37
1/2/20,AQS,26,AQS,38
1/3/20,AQS,25,AQS,56
1/4/20,AQS,30,AQS,48
1/5/20,AQS,29,AQS,31
1/6/20,AQS,28,AQS,26
1/7/20,AQS,29,AQS,35
1/8/20,AQS,29,AQS,31
1/9/20,AQS,30,AQS,36
1/10/20,AQS,27,AQS,61
1/11/20,AQS,34,AQS,27
1/12/20,AQS,29,AQS,44
1/13/20,AQS,19,AQS,51
1/14/20,AQS,19,AQS,70
1/15/20,AQS,22,AQS,77
1/16/20,AQS,27,AQS,57
1/17/20,AQS,22,AQS,35
1/18/20,AQS,25,AQS,41
1/19/20,AQS,27,AQS,53
1/20/20,AQS,32,AQS,51
1/21/20,AQS,34,AQS,62
1/22/20,AQS,22,AQS,59
1/23/20,AQS,19,AQS,59
1/24/20,AQS,18,AQS,62
1/25/20,AQS,19,AQS,53
1/26/20,AQS,25,AQS,55
1/27/20,AQS,27,AQS,65
1/28/20,AQS,28,AQS,63
1/29/20,AQS,26,AQS,65
1/30/20,AQS,21,AQS,67
1/31/20,AQS,22,AQS,70
2/1/20,AQS,25,AQS,59
2/2/20,AQS,34,AQS,30
2/3/20,AQS,33,AQS,55
2/4/20,AQS,34,AQS,33
2/5/20,AQS,35,AQS,25
2/6/20,AQS,37,AQS,25
2/7/20,AirNow,35,AQS,52
2/8/20,AQS,33,AQS,59
2/9/20,AQS,27,AQS,58
2/10/20,AirNow,30,AQS,57
2/11/20,AirNow,34,AQS,59
2/12/20,AQS,23,AQS,64
2/13/20,AQS,30,AQS,48
2/14/20,AQS,29,AQS,58
2/15/20,AirNow,30,AQS,52
2/16/20,AirNow,37,AQS,66
2/17/20,AirNow,38,AQS,69
2/18/20,AirNow,39,AQS,59
2/19/20,AirNow,38,AQS,38
2/20/20,AirNow,38,AQS,31
2/21/20,AirNow,34,AQS,73
2/22/20,AirNow,35,AQS,48
2/23/20,AirNow,39,AQS,55
2/24/20,AirNow,43,AQS,64
2/25/20,AirNow,41,AQS,46
2/26/20,AirNow,39,AQS,30
2/27/20,AirNow,37,AQS,43
2/28/20,AirNow,41,AQS,40
2/29/20,AirNow,38,AQS,28
3/1/20,AQS,44,AQS,45
3/2/20,AQS,35,AQS,51
3/3/20,AQS,36,AQS,43
3/4/20,AQS,40,AQS,40
3/5/20,AirNow,39,AQS,35
3/6/20,AQS,41,AQS,30
3/7/20,AQS,37,AQS,40
3/8/20,AQS,44,AQS,38
3/9/20,AQS,36,AirNow,53
3/10/20,AQS,31,AQS,70
3/11/20,AQS,24,AQS,65
3/12/20,AQS,33,AQS,59
3/13/20,AQS,39,AQS,95
3/14/20,AQS,37,AQS,34
3/15/20,AQS,41,AQS,32
3/16/20,AirNow,28,AQS,56
3/17/20,AQS,44,AQS,56
3/18/20,AQS,40,AQS,63
3/19/20,AQS,23,AirNow,59
3/20/20,AQS,40,AQS,32
3/21/20,AQS,40,AQS,28
3/22/20,AQS,36,AQS,61
3/23/20,AQS,37,AQS,60
3/24/20,AQS,44,AQS,94
3/25/20,AQS,36,AQS,66
3/26/20,AQS,31,AQS,65
3/27/20,AQS,34,AQS,61
3/28/20,AQS,36,AQS,54
3/29/20,AQS,38,AQS,24
3/30/20,AQS,41,AQS,41
3/31/20,AQS,33,AQS,45
4/1/20,AQS,29,AQS,57
4/2/20,AQS,40,AQS,53
4/3/20,AQS,48,AQS,61
4/4/20,AQS,29,AQS,33
4/5/20,AQS,43,AQS,34
4/6/20,AQS,44,AQS,56
4/7/20,AQS,43,AQS,62
4/8/20,AQS,41,AQS,62
4/9/20,AQS,42,AQS,45
4/10/20,AQS,41,AQS,35
4/11/20,AQS,48,AQS,55
4/12/20,AQS,42,AQS,49
4/13/20,AQS,43,AQS,31
4/14/20,AQS,40,AQS,34
4/15/20,AQS,40,AQS,38
4/16/20,AQS,42,AQS,40
4/17/20,AQS,44,AQS,56
4/18/20,AQS,46,AQS,60
4/19/20,AQS,43,AQS,39
4/20/20,AQS,46,AQS,43
4/21/20,AQS,44,AQS,40
4/22/20,AirNow,42,AQS,54
4/23/20,AQS,41,AQS,72
4/24/20,AirNow,44,AQS,78
4/25/20,AQS,45,AQS,59
4/26/20,AQS,45,AQS,46
4/27/20,AQS,46,AQS,65
4/28/20,AQS,50,AQS,63
4/29/20,AirNow,43,AQS,40
4/30/20,AQS,43,AQS,35
5/1/20,AirNow,46,AirNow,49
5/2/20,AQS,54,AirNow,57
5/3/20,AirNow,50,AirNow,33
5/4/20,AirNow,41,AQS,28
5/5/20,AirNow,42,AirNow,30
5/6/20,AirNow,44,AQS,54
5/7/20,AirNow,48,AirNow,36
5/8/20,AirNow,37,AQS,28
5/9/20,AirNow,45,AQS,41
5/10/20,AirNow,36,AirNow,30
5/11/20,AirNow,36,AirNow,35
5/12/20,AirNow,49,AirNow,44
5/13/20,AirNow,61,AirNow,52
5/14/20,AirNow,44,AirNow,59
5/15/20,AirNow,58,AirNow,54
5/16/20,AirNow,48,AirNow,54
5/17/20,AirNow,43,AirNow,61
5/18/20,AirNow,36,AirNow,62
5/19/20,AirNow,43,AQS,38
5/20/20,AirNow,51,AirNow,56
5/21/20,AirNow,64,AQS,47
5/22/20,AirNow,49,AirNow,64
5/23/20,AirNow,50,AirNow,59
5/24/20,AirNow,80,AQS,89
5/25/20,AirNow,64,AirNow,57
5/26/20,AirNow,71,AirNow,60
5/27/20,AirNow,77,AQS,76
5/28/20,AirNow,58,AirNow,47
5/29/20,AirNow,64,AirNow,40
5/30/20,AirNow,41,AQS,35
5/31/20,AirNow,44,AirNow,35
6/1/20,AirNow,74,AirNow,35
6/2/20,AirNow,108,AirNow,51
6/3/20,AirNow,74,AirNow,43
6/4/20,AirNow,112,AirNow,54
6/5/20,AirNow,154,AirNow,52
6/6/20,AirNow,90,AirNow,48
6/7/20,AirNow,77,AirNow,40
6/8/20,AirNow,140,AirNow,51
6/9/20,AirNow,71,AirNow,47
6/10/20,AirNow,44,AirNow,54
6/11/20,AirNow,49,AirNow,39
6/12/20,AirNow,58,AirNow,39
6/13/20,AirNow,42,AirNow,40
6/14/20,AirNow,47,AirNow,36
6/15/20,AirNow,64,AirNow,42
6/16/20,AirNow,119,AirNow,54
6/17/20,AirNow,136,AirNow,61
6/18/20,AirNow,161,AirNow,63
6/19/20,AirNow,174,AirNow,76
6/20/20,AirNow,74,AirNow,67
6/21/20,AirNow,77,AirNow,55
6/22/20,AirNow,80,AirNow,51
6/23/20,AirNow,48,AirNow,30
6/24/20,AirNow,40,AirNow,40
