Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/87,AQS,34,,
1/2/87,AQS,33,,
1/3/87,AQS,33,,
1/4/87,AQS,35,,
1/5/87,AQS,32,,
1/6/87,AQS,35,,
1/7/87,AQS,20,,
1/8/87,AQS,9,,
1/9/87,AQS,19,,
1/10/87,AQS,25,,
1/11/87,AQS,26,,
1/12/87,AQS,28,,
1/13/87,AQS,20,,
1/14/87,AQS,28,,
1/15/87,AQS,19,,
1/16/87,AQS,9,,
1/17/87,AQS,9,,
1/18/87,AQS,31,,
1/19/87,AQS,34,,
1/20/87,AQS,33,,
1/21/87,AQS,32,,
1/22/87,AQS,28,,
1/23/87,AQS,32,,
1/24/87,AQS,35,,
1/25/87,AQS,38,,
1/26/87,AQS,42,,
1/27/87,AQS,42,,
1/28/87,AQS,37,,
1/29/87,AQS,34,,
1/30/87,AQS,33,,
1/31/87,AQS,42,,
2/1/87,AQS,33,,
2/2/87,AQS,37,,
2/3/87,AQS,31,,
2/4/87,AQS,71,,
2/5/87,AQS,21,,
2/6/87,AQS,20,,
2/7/87,AQS,31,,
2/8/87,AQS,35,,
2/9/87,AQS,31,,
2/10/87,AQS,46,,
2/11/87,AQS,40,,
2/12/87,AQS,44,,
2/13/87,AQS,30,,
2/14/87,AQS,29,,
2/15/87,AQS,24,,
2/16/87,AQS,19,,
2/17/87,AQS,28,,
2/18/87,AQS,34,,
2/19/87,AQS,25,,
2/20/87,AQS,20,,
2/21/87,AQS,37,,
2/22/87,AQS,39,,
2/23/87,AQS,42,,
2/24/87,AQS,35,,
2/25/87,AQS,26,,
2/26/87,AQS,28,,
2/27/87,AQS,25,,
2/28/87,AQS,37,,
3/1/87,AQS,43,,
3/2/87,AQS,48,,
3/3/87,AQS,48,,
3/4/87,AQS,46,,
3/5/87,AQS,61,,
3/6/87,AQS,71,,
3/7/87,AQS,93,,
3/8/87,AQS,49,,
3/9/87,AQS,33,,
3/10/87,AQS,22,,
3/11/87,AQS,35,,
3/12/87,AQS,50,,
3/13/87,AQS,61,,
3/14/87,AQS,54,,
3/15/87,AQS,38,,
3/16/87,AQS,32,,
3/17/87,AQS,40,,
3/18/87,AQS,43,,
3/19/87,AQS,49,,
3/20/87,AQS,84,,
3/21/87,AQS,48,,
3/22/87,AQS,42,,
3/23/87,AQS,39,,
3/24/87,AQS,40,,
3/25/87,AQS,40,,
3/26/87,AQS,28,,
3/27/87,AQS,49,,
3/28/87,AQS,29,,
3/29/87,AQS,33,,
3/30/87,AQS,37,,
3/31/87,AQS,37,,
4/1/87,AQS,43,,
4/2/87,AQS,38,,
4/3/87,AQS,44,,
4/4/87,AQS,58,,
4/5/87,AQS,58,,
4/6/87,AQS,71,,
4/7/87,AQS,48,,
4/8/87,AQS,67,,
4/9/87,AQS,61,,
4/10/87,AQS,61,,
4/11/87,AQS,101,,
4/12/87,AQS,47,,
4/13/87,AQS,37,,
4/14/87,AQS,46,,
4/15/87,AQS,74,,
4/16/87,AQS,154,,
4/17/87,AQS,150,,
4/18/87,AQS,100,,
4/19/87,AQS,58,,
4/20/87,AQS,87,,
4/21/87,AQS,23,,
4/22/87,AQS,58,,
4/23/87,AQS,115,,
4/24/87,AQS,74,,
4/25/87,AQS,140,,
4/26/87,AQS,179,,
4/27/87,AQS,190,,
4/28/87,AQS,161,,
4/29/87,AQS,156,,
4/30/87,AQS,84,,
5/1/87,AQS,40,,
5/2/87,AQS,58,,
5/3/87,AQS,51,,
5/4/87,AQS,51,,
5/5/87,AQS,84,,
5/6/87,AQS,71,,
5/7/87,AQS,71,,
5/8/87,AQS,101,,
5/9/87,AQS,154,,
5/10/87,AQS,179,,
5/11/87,AQS,126,,
5/12/87,AQS,140,,
5/13/87,AQS,154,,
5/14/87,AQS,71,,
5/15/87,AQS,54,,
5/16/87,AQS,150,,
5/17/87,AQS,108,,
5/18/87,AQS,49,,
5/19/87,AQS,42,,
5/20/87,AQS,44,,
5/21/87,AQS,74,,
5/22/87,AQS,133,,
5/23/87,AQS,84,,
5/24/87,AQS,61,,
5/25/87,AQS,46,,
5/26/87,AQS,48,,
5/27/87,AQS,46,,
5/28/87,AQS,44,,
5/29/87,AQS,44,,
5/30/87,AQS,74,,
5/31/87,AQS,49,,
6/1/87,AQS,44,,
6/2/87,AQS,31,,
6/3/87,AQS,47,,
6/4/87,AQS,61,,
6/5/87,AQS,140,,
6/6/87,AQS,216,,
6/7/87,AQS,174,,
6/8/87,AQS,84,,
6/9/87,AQS,29,,
6/10/87,AQS,28,,
6/11/87,AQS,38,,
6/12/87,AQS,26,,
6/13/87,AQS,44,,
6/14/87,AQS,156,,
6/15/87,AQS,51,,
6/16/87,AQS,136,,
6/17/87,AQS,133,,
6/18/87,AQS,218,,
6/19/87,AQS,67,,
6/20/87,AQS,58,,
6/21/87,AQS,39,,
6/22/87,AQS,43,,
6/23/87,AQS,87,,
6/24/87,AQS,195,,
6/25/87,AQS,126,,
6/26/87,AQS,71,,
6/27/87,AQS,164,,
6/28/87,AQS,108,,
6/29/87,AQS,115,,
6/30/87,AQS,150,,
7/1/87,AQS,190,,
7/2/87,AQS,29,,
7/3/87,AQS,38,,
7/4/87,AQS,37,,
7/5/87,AQS,37,,
7/6/87,AQS,37,,
7/7/87,AQS,38,,
7/8/87,AQS,43,,
7/9/87,AQS,39,,
7/10/87,AQS,38,,
7/11/87,AQS,40,,
7/12/87,AQS,44,,
7/13/87,AQS,71,,
7/14/87,AQS,93,,
7/15/87,AQS,187,,
7/16/87,AQS,30,,
7/17/87,AQS,32,,
7/18/87,AQS,41,,
7/19/87,AQS,119,,
7/20/87,AQS,195,,
7/21/87,AQS,156,,
7/22/87,AQS,224,,
7/23/87,AQS,115,,
7/24/87,AQS,58,,
7/25/87,AQS,126,,
7/26/87,AQS,143,,
7/27/87,AQS,161,,
7/28/87,AQS,150,,
7/29/87,AQS,161,,
7/30/87,AQS,205,,
7/31/87,AQS,179,,
8/1/87,AQS,136,,
8/2/87,AQS,84,,
8/3/87,AQS,87,,
8/4/87,AQS,115,,
8/5/87,AQS,143,,
8/6/87,AQS,154,,
8/7/87,AQS,77,,
8/8/87,AQS,44,,
8/9/87,AQS,84,,
8/10/87,AQS,150,,
8/11/87,AQS,205,,
8/12/87,AQS,100,,
8/13/87,AQS,46,,
8/14/87,AQS,58,,
8/15/87,AQS,47,,
8/16/87,AQS,44,,
8/17/87,AQS,61,,
8/18/87,AQS,61,,
8/19/87,AQS,67,,
8/20/87,AQS,105,,
8/21/87,AQS,119,,
8/22/87,AQS,101,,
8/23/87,AQS,136,,
8/24/87,AQS,187,,
8/25/87,AQS,84,,
8/26/87,AQS,46,,
8/27/87,AQS,32,,
8/28/87,AQS,48,,
8/29/87,AQS,177,,
8/30/87,AQS,84,,
8/31/87,AQS,51,,
9/1/87,AQS,54,,
9/2/87,AQS,190,,
9/3/87,AQS,182,,
9/4/87,AQS,179,,
9/5/87,AQS,177,,
9/6/87,AQS,174,,
9/7/87,AQS,58,,
9/8/87,AQS,108,,
9/9/87,AQS,239,,
9/10/87,AQS,150,,
9/11/87,AQS,161,,
9/12/87,AQS,161,,
9/13/87,AQS,49,,
9/14/87,AQS,34,,
9/15/87,AQS,25,,
9/16/87,AQS,77,,
9/17/87,AQS,133,,
9/18/87,AQS,30,,
9/19/87,AQS,48,,
9/20/87,AQS,151,,
9/21/87,AQS,119,,
9/22/87,AQS,42,,
9/23/87,AQS,108,,
9/24/87,AQS,136,,
9/25/87,AQS,140,,
9/26/87,AQS,151,,
9/27/87,AQS,61,,
9/28/87,AQS,43,,
9/29/87,AQS,43,,
9/30/87,AQS,44,,
10/1/87,AQS,105,,
10/2/87,AQS,74,,
10/3/87,AQS,42,,
10/4/87,AQS,71,,
10/5/87,AQS,101,,
10/6/87,AQS,41,,
10/7/87,AQS,84,,
10/8/87,AQS,67,,
10/9/87,AQS,87,,
10/10/87,AQS,136,,
10/11/87,AQS,35,,
10/12/87,AQS,44,,
10/13/87,AQS,54,,
10/14/87,AQS,126,,
10/15/87,AQS,71,,
10/16/87,AQS,51,,
10/17/87,AQS,49,,
10/18/87,AQS,44,,
10/19/87,AQS,25,,
10/20/87,AQS,35,,
10/21/87,AQS,39,,
10/22/87,AQS,40,,
10/23/87,AQS,32,,
10/24/87,AQS,37,,
10/25/87,AQS,34,,
10/26/87,AQS,40,,
10/27/87,AQS,37,,
10/28/87,AQS,44,,
10/29/87,AQS,49,,
10/30/87,AQS,39,,
10/31/87,AQS,43,,
11/1/87,AQS,43,,
11/2/87,AQS,61,,
11/3/87,AQS,161,,
11/4/87,AQS,51,,
11/5/87,AQS,42,,
11/6/87,AQS,43,,
11/7/87,AQS,77,,
11/8/87,AQS,40,,
11/9/87,AQS,25,,
11/10/87,AQS,37,,
11/11/87,AQS,31,,
11/12/87,AQS,39,,
11/13/87,AQS,58,,
11/14/87,AQS,40,,
11/15/87,AQS,31,,
11/16/87,AQS,24,,
11/17/87,AQS,32,,
11/18/87,AQS,32,,
11/19/87,AQS,31,,
11/20/87,AQS,33,,
11/21/87,AQS,77,,
11/22/87,AQS,35,,
11/23/87,AQS,29,,
11/24/87,AQS,25,,
11/25/87,AQS,16,,
11/26/87,AQS,14,,
11/27/87,AQS,14,,
11/28/87,AQS,30,,
11/29/87,AQS,29,,
11/30/87,AQS,34,,
12/1/87,AQS,30,,
12/2/87,AQS,44,,
12/3/87,AQS,37,,
12/4/87,AQS,32,,
12/5/87,AQS,33,,
12/6/87,AQS,31,,
12/7/87,AQS,25,,
12/8/87,AQS,37,,
12/9/87,AQS,29,,
12/10/87,AQS,31,,
12/11/87,AQS,30,,
12/12/87,AQS,31,,
12/13/87,AQS,28,,
12/14/87,AQS,28,,
12/15/87,AQS,31,,
12/16/87,AQS,23,,
12/17/87,AQS,28,,
12/18/87,AQS,26,,
12/19/87,AQS,26,,
12/20/87,AQS,25,,
12/21/87,AQS,21,,
12/22/87,AQS,24,,
12/23/87,AQS,26,,
12/24/87,AQS,15,,
12/25/87,AQS,19,,
12/26/87,AQS,23,,
12/27/87,AQS,33,,
12/28/87,AQS,28,,
12/29/87,AQS,20,,
12/30/87,AQS,33,,
12/31/87,AQS,17,,
