Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/94,AQS,42,,
1/2/94,AQS,43,,
1/3/94,AQS,42,,
1/4/94,AQS,38,,
1/5/94,AQS,38,,
1/6/94,AQS,35,,
1/7/94,AQS,40,,
1/8/94,AQS,34,,
1/9/94,AQS,36,,
1/10/94,AQS,31,,
1/11/94,AQS,40,,
1/12/94,AQS,39,,
1/13/94,AQS,37,,
1/14/94,AQS,36,,
1/15/94,AQS,39,,
1/16/94,AQS,36,,
1/17/94,AQS,29,,
1/18/94,AQS,41,,
1/19/94,AQS,42,,
1/20/94,AQS,21,,
1/21/94,AQS,37,,
1/22/94,AQS,37,,
1/23/94,AQS,40,,
1/24/94,AQS,40,,
1/25/94,AQS,34,,
1/26/94,AQS,32,,
1/27/94,AQS,43,,
1/28/94,AQS,35,,
1/29/94,AQS,32,,
1/30/94,AQS,32,,
1/31/94,AQS,39,,
2/1/94,AQS,42,,
2/2/94,AQS,42,,
2/3/94,AQS,39,,
2/4/94,AQS,37,,
2/5/94,AQS,44,,
2/6/94,AQS,43,,
2/7/94,AQS,35,,
2/8/94,AQS,28,,
2/9/94,AQS,42,,
2/10/94,AQS,41,,
2/11/94,AQS,38,,
2/12/94,AQS,45,,
2/13/94,AQS,47,,
2/14/94,AQS,44,,
2/15/94,AQS,43,,
2/16/94,AQS,44,,
2/17/94,AQS,39,,
2/18/94,AQS,44,,
2/19/94,AQS,41,,
2/20/94,AQS,41,,
2/21/94,AQS,24,,
2/22/94,AQS,37,,
2/23/94,AQS,46,,
2/24/94,AQS,40,,
2/25/94,AQS,29,,
2/26/94,AQS,30,,
2/27/94,AQS,37,,
2/28/94,AQS,38,,
3/1/94,AQS,41,,
3/2/94,AQS,42,,
3/3/94,AQS,43,,
3/4/94,AQS,46,,
3/5/94,AQS,45,,
3/6/94,AQS,35,,
3/7/94,AQS,27,,
3/8/94,AQS,36,,
3/9/94,AQS,44,,
3/10/94,AQS,44,,
3/11/94,AQS,45,,
3/12/94,AQS,39,,
3/13/94,AQS,46,,
3/14/94,AQS,42,,
3/15/94,AQS,47,,
3/16/94,AQS,44,,
3/17/94,AQS,51,,
3/18/94,AQS,48,,
3/19/94,AQS,47,,
3/20/94,AQS,49,,
3/21/94,AQS,46,,
3/22/94,AQS,50,,
