Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/94,,,,
1/2/94,,,,
1/3/94,,,,
1/4/94,,,,
1/5/94,,,,
1/6/94,,,,
1/7/94,,,,
1/8/94,,,,
1/9/94,,,,
1/10/94,,,,
1/11/94,,,,
1/12/94,,,,
1/13/94,,,,
1/14/94,,,,
1/15/94,,,,
1/16/94,,,,
1/17/94,,,,
1/18/94,,,,
1/19/94,,,,
1/20/94,,,,
1/21/94,,,,
1/22/94,,,,
1/23/94,,,,
1/24/94,,,,
1/25/94,,,,
1/26/94,,,,
1/27/94,,,,
1/28/94,,,,
1/29/94,,,,
1/30/94,,,,
1/31/94,,,,
2/1/94,,,,
2/2/94,,,,
2/3/94,,,,
2/4/94,,,,
2/5/94,,,,
2/6/94,,,,
2/7/94,,,,
2/8/94,,,,
2/9/94,,,,
2/10/94,,,,
2/11/94,,,,
2/12/94,,,,
2/13/94,,,,
2/14/94,,,,
2/15/94,,,,
2/16/94,,,,
2/17/94,,,,
2/18/94,,,,
2/19/94,,,,
2/20/94,,,,
2/21/94,,,,
2/22/94,,,,
2/23/94,,,,
2/24/94,,,,
2/25/94,,,,
2/26/94,,,,
2/27/94,,,,
2/28/94,,,,
3/1/94,,,,
3/2/94,,,,
3/3/94,,,,
3/4/94,,,,
3/5/94,,,,
3/6/94,,,,
3/7/94,,,,
3/8/94,,,,
3/9/94,,,,
3/10/94,,,,
3/11/94,,,,
3/12/94,,,,
3/13/94,,,,
3/14/94,,,,
3/15/94,,,,
3/16/94,,,,
3/17/94,,,,
3/18/94,,,,
3/19/94,,,,
3/20/94,,,,
3/21/94,,,,
3/22/94,,,,
3/23/94,,,,
3/24/94,,,,
3/25/94,,,,
3/26/94,,,,
3/27/94,,,,
3/28/94,,,,
3/29/94,,,,
3/30/94,,,,
3/31/94,,,,
4/1/94,AQS,39,,
4/2/94,AQS,67,,
4/3/94,AQS,36,,
4/4/94,AQS,43,,
4/5/94,AQS,35,,
4/6/94,AQS,36,,
4/7/94,AQS,38,,
4/8/94,AQS,41,,
4/9/94,AQS,45,,
4/10/94,AQS,44,,
4/11/94,AQS,37,,
4/12/94,AQS,26,,
4/13/94,AQS,31,,
4/14/94,AQS,42,,
4/15/94,AQS,44,,
4/16/94,AQS,36,,
4/17/94,AQS,41,,
4/18/94,AQS,44,,
4/19/94,AQS,44,,
4/20/94,AQS,46,,
4/21/94,AQS,44,,
4/22/94,AQS,39,,
4/23/94,AQS,54,,
4/24/94,AQS,100,,
4/25/94,AQS,97,,
4/26/94,AQS,45,,
4/27/94,AQS,35,,
4/28/94,AQS,24,,
4/29/94,AQS,31,,
4/30/94,AQS,26,,
5/1/94,AQS,38,,
5/2/94,AQS,42,,
5/3/94,AQS,49,,
5/4/94,AQS,54,,
5/5/94,AQS,51,,
5/6/94,AQS,32,,
5/7/94,AQS,32,,
5/8/94,AQS,48,,
5/9/94,AQS,44,,
5/10/94,AQS,42,,
5/11/94,AQS,45,,
5/12/94,AQS,42,,
5/13/94,AQS,44,,
5/14/94,AQS,61,,
5/15/94,AQS,40,,
5/16/94,AQS,36,,
5/17/94,AQS,39,,
5/18/94,AQS,35,,
5/19/94,AQS,34,,
5/20/94,AQS,46,,
5/21/94,AQS,179,,
5/22/94,AQS,218,,
5/23/94,AQS,46,,
5/24/94,AQS,27,,
5/25/94,AQS,51,,
5/26/94,AQS,30,,
5/27/94,AQS,40,,
5/28/94,AQS,58,,
5/29/94,AQS,122,,
5/30/94,AQS,151,,
5/31/94,AQS,48,,
6/1/94,AQS,46,,
6/2/94,AQS,38,,
6/3/94,AQS,49,,
6/4/94,AQS,105,,
6/5/94,AQS,172,,
6/6/94,AQS,74,,
6/7/94,AQS,126,,
6/8/94,AQS,32,,
6/9/94,AQS,48,,
6/10/94,AQS,71,,
6/11/94,AQS,133,,
6/12/94,AQS,71,,
6/13/94,AQS,32,,
6/14/94,AQS,84,,
6/15/94,AQS,140,,
6/16/94,AQS,210,,
6/17/94,AQS,172,,
6/18/94,AQS,203,,
6/19/94,AQS,84,,
6/20/94,AQS,71,,
6/21/94,AQS,74,,
6/22/94,AQS,126,,
6/23/94,AQS,42,,
6/24/94,AQS,43,,
6/25/94,AQS,31,,
6/26/94,AQS,43,,
6/27/94,AQS,26,,
6/28/94,AQS,64,,
6/29/94,AQS,37,,
6/30/94,AQS,44,,
7/1/94,AQS,115,,
7/2/94,AQS,38,,
7/3/94,AQS,42,,
7/4/94,AQS,122,,
7/5/94,AQS,115,,
7/6/94,AQS,140,,
7/7/94,AQS,174,,
7/8/94,AQS,58,,
7/9/94,AQS,32,,
7/10/94,AQS,28,,
7/11/94,AQS,48,,
7/12/94,AQS,108,,
7/13/94,AQS,51,,
7/14/94,AQS,58,,
7/15/94,AQS,42,,
7/16/94,AQS,108,,
7/17/94,AQS,51,,
7/18/94,AQS,136,,
7/19/94,AQS,112,,
7/20/94,AQS,119,,
7/21/94,AQS,48,,
7/22/94,AQS,37,,
7/23/94,AQS,47,,
7/24/94,AQS,42,,
7/25/94,AQS,51,,
7/26/94,AQS,40,,
7/27/94,AQS,30,,
7/28/94,AQS,41,,
7/29/94,AQS,80,,
7/30/94,AQS,97,,
7/31/94,AQS,108,,
8/1/94,AQS,136,,
8/2/94,AQS,33,,
8/3/94,AQS,151,,
8/4/94,AQS,38,,
8/5/94,AQS,25,,
8/6/94,AQS,43,,
8/7/94,AQS,74,,
8/8/94,AQS,140,,
8/9/94,AQS,20,,
8/10/94,AQS,34,,
8/11/94,AQS,31,,
8/12/94,AQS,48,,
8/13/94,AQS,44,,
8/14/94,AQS,30,,
8/15/94,AQS,39,,
8/16/94,AQS,49,,
8/17/94,AQS,119,,
8/18/94,AQS,203,,
8/19/94,AQS,105,,
8/20/94,AQS,54,,
8/21/94,AQS,38,,
8/22/94,AQS,33,,
8/23/94,AQS,44,,
8/24/94,AQS,97,,
8/25/94,AQS,77,,
8/26/94,AQS,50,,
8/27/94,AQS,159,,
8/28/94,AQS,38,,
8/29/94,AQS,33,,
8/30/94,AQS,35,,
8/31/94,AQS,31,,
9/1/94,AQS,31,,
9/2/94,AQS,33,,
9/3/94,AQS,39,,
9/4/94,AQS,47,,
9/5/94,AQS,61,,
9/6/94,AQS,43,,
9/7/94,AQS,35,,
9/8/94,AQS,47,,
9/9/94,AQS,46,,
9/10/94,AQS,31,,
9/11/94,AQS,39,,
9/12/94,AQS,58,,
9/13/94,AQS,87,,
9/14/94,AQS,48,,
9/15/94,AQS,108,,
9/16/94,AQS,115,,
9/17/94,AQS,35,,
9/18/94,AQS,31,,
9/19/94,AQS,36,,
9/20/94,AQS,61,,
9/21/94,AQS,108,,
9/22/94,AQS,108,,
9/23/94,AQS,44,,
9/24/94,AQS,36,,
9/25/94,AQS,34,,
9/26/94,AQS,38,,
9/27/94,AQS,24,,
9/28/94,AQS,28,,
9/29/94,AQS,29,,
9/30/94,AQS,20,,
10/1/94,,,,
10/2/94,,,,
10/3/94,,,,
10/4/94,,,,
10/5/94,,,,
10/6/94,,,,
10/7/94,,,,
10/8/94,,,,
10/9/94,,,,
10/10/94,,,,
10/11/94,,,,
10/12/94,,,,
10/13/94,,,,
10/14/94,,,,
10/15/94,,,,
10/16/94,,,,
10/17/94,,,,
10/18/94,,,,
10/19/94,,,,
10/20/94,,,,
10/21/94,,,,
10/22/94,,,,
10/23/94,,,,
10/24/94,,,,
10/25/94,,,,
10/26/94,,,,
10/27/94,,,,
10/28/94,,,,
10/29/94,,,,
10/30/94,,,,
10/31/94,,,,
11/1/94,,,,
11/2/94,,,,
11/3/94,,,,
11/4/94,,,,
11/5/94,,,,
11/6/94,,,,
11/7/94,,,,
11/8/94,,,,
11/9/94,,,,
11/10/94,,,,
11/11/94,,,,
11/12/94,,,,
11/13/94,,,,
11/14/94,,,,
11/15/94,,,,
11/16/94,,,,
11/17/94,,,,
11/18/94,,,,
11/19/94,,,,
11/20/94,,,,
11/21/94,,,,
11/22/94,,,,
11/23/94,,,,
11/24/94,,,,
11/25/94,,,,
11/26/94,,,,
11/27/94,,,,
11/28/94,,,,
11/29/94,,,,
11/30/94,,,,
12/1/94,,,,
12/2/94,,,,
12/3/94,,,,
12/4/94,,,,
12/5/94,,,,
12/6/94,,,,
12/7/94,,,,
12/8/94,,,,
12/9/94,,,,
12/10/94,,,,
12/11/94,,,,
12/12/94,,,,
12/13/94,,,,
12/14/94,,,,
12/15/94,,,,
12/16/94,,,,
12/17/94,,,,
12/18/94,,,,
12/19/94,,,,
12/20/94,,,,
12/21/94,,,,
12/22/94,,,,
12/23/94,,,,
12/24/94,,,,
12/25/94,,,,
12/26/94,,,,
12/27/94,,,,
12/28/94,,,,
12/29/94,,,,
12/30/94,,,,
12/31/94,,,,
