Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/02,AQS,19,AQS,132
1/2/02,AQS,21,AQS,158
1/3/02,AQS,31,AQS,115
1/4/02,AQS,32,AQS,111
1/5/02,AQS,28,AQS,106
1/6/02,AQS,26,AQS,88
1/7/02,AQS,25,AQS,108
1/8/02,AQS,20,AQS,106
1/9/02,AQS,28,AQS,78
1/10/02,AQS,40,AQS,96
1/11/02,AQS,34,AQS,71
1/12/02,AQS,30,AQS,79
1/13/02,AQS,36,AQS,140
1/14/02,AQS,42,AQS,143
1/15/02,AQS,35,AQS,77
1/16/02,AQS,34,AQS,59
1/17/02,AQS,39,AQS,81
1/18/02,AQS,37,AQS,95
1/19/02,AQS,36,AQS,70
1/20/02,AQS,41,AQS,86
1/21/02,AQS,34,AQS,103
1/22/02,AQS,37,AQS,70
1/23/02,AQS,40,AQS,63
1/24/02,AQS,40,AQS,66
1/25/02,AQS,26,AQS,70
1/26/02,AQS,28,AQS,106
1/27/02,AQS,31,AQS,59
1/28/02,AQS,34,AQS,25
1/29/02,AQS,32,AQS,54
1/30/02,AQS,37,AQS,55
1/31/02,AQS,32,AQS,67
2/1/02,AQS,32,AQS,73
2/2/02,AQS,39,AQS,92
2/3/02,AQS,42,AQS,97
2/4/02,AQS,40,AQS,76
2/5/02,AQS,32,AQS,98
2/6/02,AQS,30,AQS,132
2/7/02,AQS,38,AQS,153
2/8/02,AQS,30,AQS,134
2/9/02,AQS,44,AQS,73
2/10/02,AQS,45,AQS,52
2/11/02,AQS,44,AQS,35
2/12/02,AQS,43,AQS,81
2/13/02,AQS,29,AQS,133
2/14/02,AQS,44,AQS,84
2/15/02,AQS,44,AQS,123
2/16/02,AQS,41,AQS,129
2/17/02,AQS,40,AQS,33
2/18/02,AQS,40,AQS,52
2/19/02,AQS,37,AQS,70
2/20/02,AQS,31,AQS,104
2/21/02,AQS,33,AQS,58
2/22/02,AQS,43,AQS,55
2/23/02,AQS,41,AQS,56
2/24/02,AQS,47,AQS,70
2/25/02,AQS,46,AQS,119
2/26/02,AQS,44,AQS,66
