Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/95,AQS,37,,
1/2/95,AQS,51,,
1/3/95,AQS,38,,
1/4/95,AQS,37,AQS,
1/5/95,AQS,38,,
1/6/95,AQS,38,,
1/7/95,AQS,34,AQS,
1/8/95,AQS,43,,
1/9/95,AQS,42,,
1/10/95,AQS,47,,
1/11/95,AQS,45,AQS,
1/12/95,AQS,42,,
1/13/95,AQS,38,,
1/14/95,AQS,35,AQS,
1/15/95,AQS,43,,
1/16/95,AQS,40,,
1/17/95,AQS,37,,
1/18/95,AQS,44,AQS,
1/19/95,AQS,41,,
1/20/95,AQS,42,,
1/21/95,AQS,46,AQS,
1/22/95,AQS,44,,
1/23/95,AQS,46,,
1/24/95,AQS,45,,
1/25/95,AQS,42,AQS,
1/26/95,AQS,45,,
1/27/95,AQS,50,,
1/28/95,AQS,44,AQS,
1/29/95,AQS,31,,
1/30/95,AQS,30,,
1/31/95,AQS,37,,
2/1/95,AQS,47,AQS,
2/2/95,AQS,44,,
2/3/95,AQS,54,,
2/4/95,AQS,42,AQS,
2/5/95,AQS,44,,
2/6/95,AQS,45,,
2/7/95,AQS,49,,
2/8/95,AQS,42,AQS,
2/9/95,AQS,38,,
2/10/95,AQS,54,,
2/11/95,AQS,37,AQS,
2/12/95,AQS,28,,
2/13/95,AQS,29,,
2/14/95,AQS,35,,
2/15/95,AQS,35,AQS,
2/16/95,AQS,28,,
2/17/95,AQS,21,,
2/18/95,AQS,24,AQS,
2/19/95,AQS,27,,
2/20/95,AQS,30,,
2/21/95,AQS,58,,
2/22/95,AQS,50,AQS,
2/23/95,AQS,44,,
2/24/95,AQS,61,,
2/25/95,AQS,84,AQS,
2/26/95,AQS,49,,
2/27/95,AQS,44,,
2/28/95,AQS,33,,
3/1/95,AQS,33,AQS,
3/2/95,AQS,44,,
3/3/95,AQS,46,,
3/4/95,AQS,45,AQS,
3/5/95,AQS,41,,
3/6/95,AQS,36,,
3/7/95,AQS,31,,
3/8/95,AQS,32,AQS,
3/9/95,AQS,44,,
3/10/95,AQS,49,,
3/11/95,AQS,50,AQS,
3/12/95,AQS,49,,
3/13/95,AQS,51,,
3/14/95,AQS,49,,
3/15/95,AQS,44,AQS,
3/16/95,AQS,38,,
3/17/95,AQS,46,,
3/18/95,AQS,44,AQS,
3/19/95,AQS,51,,
3/20/95,AQS,54,,
3/21/95,AQS,87,,
3/22/95,AQS,64,AQS,
3/23/95,AQS,54,,
3/24/95,AQS,42,,
3/25/95,AQS,64,AQS,
3/26/95,AQS,77,,
3/27/95,AQS,90,,
3/28/95,AQS,84,,
3/29/95,AQS,77,AQS,
3/30/95,AQS,37,,
3/31/95,AQS,35,,
4/1/95,AQS,37,AQS,
4/2/95,AQS,77,,
4/3/95,AQS,74,,
4/4/95,AQS,61,,
4/5/95,AQS,41,,
4/6/95,AQS,31,,
4/7/95,AQS,93,,
4/8/95,AQS,43,AQS,
4/9/95,AQS,154,,
4/10/95,AQS,48,,
4/11/95,AQS,40,,
4/12/95,AQS,43,AQS,
4/13/95,AQS,90,,
4/14/95,AQS,122,,
4/15/95,AQS,105,AQS,
4/16/95,AQS,54,,
4/17/95,AQS,51,,
4/18/95,AQS,49,,
4/19/95,AQS,74,AQS,
4/20/95,AQS,40,,
4/21/95,AQS,42,,
4/22/95,AQS,43,AQS,
4/23/95,AQS,47,,
4/24/95,AQS,41,,
4/25/95,AQS,46,,
4/26/95,AQS,42,AQS,
4/27/95,AQS,40,,
4/28/95,AQS,37,,
4/29/95,AQS,32,AQS,
4/30/95,AQS,36,,
5/1/95,AQS,51,,
5/2/95,AQS,30,,
5/3/95,AQS,44,AQS,
5/4/95,AQS,35,,
5/5/95,AQS,50,,
5/6/95,AQS,80,AQS,
5/7/95,AQS,46,,
5/8/95,AQS,67,,
5/9/95,AQS,45,,
5/10/95,AQS,42,AQS,
5/11/95,AQS,44,,
5/12/95,AQS,33,,
5/13/95,AQS,43,AQS,
5/14/95,AQS,42,,
5/15/95,AQS,122,,
5/16/95,AQS,143,,
5/17/95,AQS,105,AQS,
5/18/95,AQS,64,,
5/19/95,AQS,40,,
5/20/95,AQS,29,AQS,
5/21/95,AQS,48,,
5/22/95,AQS,90,,
5/23/95,AQS,67,,
5/24/95,AQS,36,AQS,
5/25/95,AQS,37,,
5/26/95,AQS,41,,
5/27/95,AQS,44,AQS,
5/28/95,AQS,38,,
5/29/95,AQS,41,,
5/30/95,AQS,44,,
5/31/95,AQS,46,AQS,
6/1/95,AQS,23,,
6/2/95,AQS,19,,
6/3/95,AQS,24,AQS,
6/4/95,AQS,25,,
6/5/95,AQS,23,,
6/6/95,AQS,19,,
6/7/95,AQS,27,AQS,
6/8/95,AQS,122,,
6/9/95,AQS,77,,
6/10/95,AQS,47,AQS,
6/11/95,AQS,36,,
6/12/95,AQS,33,,
6/13/95,AQS,40,,
6/14/95,AQS,156,AQS,
6/15/95,AQS,100,,
6/16/95,AQS,38,,
6/17/95,AQS,36,AQS,
6/18/95,AQS,35,,
6/19/95,AQS,126,,
6/20/95,AQS,36,,
6/21/95,AQS,26,AQS,
6/22/95,AQS,30,,
6/23/95,AQS,28,,
6/24/95,AQS,21,AQS,
6/25/95,AQS,25,,
6/26/95,AQS,35,,
6/27/95,AQS,51,,
6/28/95,AQS,37,AQS,
6/29/95,AQS,48,,
6/30/95,AQS,115,,
7/1/95,AQS,161,AQS,
7/2/95,AQS,80,,
7/3/95,AQS,71,,
7/4/95,AQS,58,,
7/5/95,AQS,26,AQS,
7/6/95,AQS,27,,
7/7/95,AQS,40,,
7/8/95,AQS,71,AQS,
7/9/95,AQS,40,,
7/10/95,AQS,28,,
7/11/95,AQS,27,,
7/12/95,AQS,40,,
7/13/95,AQS,30,,
7/14/95,AQS,23,,
7/15/95,AQS,24,AQS,
7/16/95,AQS,25,,
7/17/95,AQS,37,,
7/18/95,AQS,28,,
7/19/95,AQS,39,,
7/20/95,AQS,41,,
7/21/95,AQS,40,,
7/22/95,AQS,41,AQS,
7/23/95,AQS,24,,
7/24/95,AQS,25,,
7/25/95,AQS,29,,
7/26/95,AQS,27,,
7/27/95,AQS,29,,
7/28/95,AQS,34,,
7/29/95,AQS,34,,
7/30/95,AQS,22,,
7/31/95,AQS,26,,
