Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/87,AQS,20,,
1/2/87,AQS,11,,
1/3/87,AQS,8,,
1/4/87,AQS,18,,
1/5/87,AQS,17,,
1/6/87,AQS,27,,
1/7/87,AQS,27,,
1/8/87,AQS,18,,
1/9/87,AQS,20,,
1/10/87,AQS,20,,
1/11/87,AQS,19,,
1/12/87,AQS,16,,
1/13/87,AQS,15,,
1/14/87,AQS,28,,
1/15/87,AQS,29,,
1/16/87,AQS,22,,
1/17/87,AQS,24,,
1/18/87,AQS,27,,
1/19/87,AQS,26,,
1/20/87,AQS,25,,
1/21/87,AQS,27,,
1/22/87,AQS,31,,
1/23/87,AQS,31,,
1/24/87,AQS,29,,
1/25/87,AQS,27,,
1/26/87,AQS,19,,
1/27/87,AQS,26,,
1/28/87,AQS,29,,
1/29/87,AQS,27,,
1/30/87,AQS,27,,
1/31/87,AQS,24,,
2/1/87,AQS,25,,
2/2/87,AQS,25,,
2/3/87,AQS,27,,
2/4/87,AQS,31,,
2/5/87,AQS,26,,
2/6/87,AQS,25,,
2/7/87,AQS,31,,
2/8/87,AQS,34,,
2/9/87,AQS,23,,
2/10/87,AQS,30,,
2/11/87,AQS,24,,
2/12/87,AQS,32,,
2/13/87,AQS,26,,
2/14/87,AQS,31,,
2/15/87,AQS,35,,
2/16/87,AQS,40,,
2/17/87,AQS,33,,
2/18/87,AQS,27,,
2/19/87,AQS,30,,
2/20/87,AQS,36,,
2/21/87,AQS,29,,
2/22/87,AQS,29,,
2/23/87,AQS,34,,
2/24/87,AQS,30,,
2/25/87,AQS,28,,
2/26/87,AQS,39,,
2/27/87,AQS,25,,
2/28/87,AQS,37,,
3/1/87,AQS,36,,
3/2/87,AQS,36,,
3/3/87,AQS,33,,
3/4/87,AQS,30,,
3/5/87,AQS,40,,
3/6/87,AQS,47,,
3/7/87,AQS,64,,
3/8/87,AQS,35,,
3/9/87,AQS,36,,
3/10/87,AQS,36,,
3/11/87,AQS,35,,
3/12/87,AQS,36,,
3/13/87,AQS,30,,
3/14/87,AQS,44,,
3/15/87,AQS,45,,
3/16/87,AQS,44,,
3/17/87,AQS,46,,
3/18/87,AQS,39,,
3/19/87,AQS,32,,
3/20/87,AQS,43,,
3/21/87,AQS,41,,
3/22/87,AQS,61,,
3/23/87,AQS,41,,
3/24/87,AQS,61,,
