Date,Source Ozone AQI Value,Ozone_AQ_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/97,AQS,14,,
1/2/97,AQS,18,,
1/3/97,AQS,30,,
1/4/97,AQS,29,,
1/5/97,AQS,31,,
1/6/97,AQS,32,,
1/7/97,AQS,20,,
1/8/97,AQS,20,,
1/9/97,AQS,19,,
1/10/97,AQS,31,,
1/11/97,AQS,31,,
1/12/97,AQS,30,,
1/13/97,AQS,29,,
1/14/97,AQS,25,,
1/15/97,AQS,31,,
1/16/97,AQS,32,,
1/17/97,AQS,31,,
1/18/97,AQS,30,,
1/19/97,AQS,36,,
1/20/97,AQS,34,,
1/21/97,AQS,26,,
1/22/97,AQS,35,,
1/23/97,AQS,33,,
1/24/97,AQS,31,,
1/25/97,AQS,31,,
1/26/97,AQS,31,,
1/27/97,AQS,32,,
1/28/97,AQS,22,,
1/29/97,AQS,29,,
1/30/97,AQS,28,,
1/31/97,AQS,31,,
2/1/97,AQS,31,,
2/2/97,AQS,29,,
2/3/97,AQS,30,,
2/4/97,AQS,32,,
2/5/97,AQS,34,,
2/6/97,AQS,36,,
2/7/97,AQS,29,,
2/8/97,AQS,33,,
2/9/97,AQS,41,,
2/10/97,AQS,34,,
2/11/97,AQS,30,,
2/12/97,AQS,29,,
2/13/97,AQS,32,,
2/14/97,AQS,33,,
2/15/97,AQS,35,,
2/16/97,AQS,40,,
2/17/97,AQS,40,,
2/18/97,AQS,35,,
2/19/97,AQS,34,,
2/20/97,AQS,35,,
2/21/97,AQS,37,,
2/22/97,AQS,35,,
2/23/97,AQS,37,,
2/24/97,AQS,33,,
2/25/97,AQS,35,,
2/26/97,AQS,36,,
2/27/97,AQS,39,,
2/28/97,AQS,34,,
3/1/97,AQS,39,,
3/2/97,AQS,38,,
3/3/97,AQS,34,,
3/4/97,AQS,35,,
3/5/97,AQS,35,,
3/6/97,AQS,37,,
3/7/97,AQS,39,,
3/8/97,AQS,45,,
3/9/97,AQS,46,,
3/10/97,AQS,42,,
3/11/97,AQS,46,,
3/12/97,AQS,46,,
3/13/97,AQS,43,,
3/14/97,AQS,42,,
3/15/97,AQS,42,,
3/16/97,AQS,44,,
3/17/97,AQS,49,,
3/18/97,AQS,47,,
3/19/97,AQS,41,,
3/20/97,AQS,44,,
3/21/97,AQS,49,,
3/22/97,AQS,54,,
3/23/97,AQS,42,,
3/24/97,AQS,34,,
3/25/97,AQS,46,,
3/26/97,AQS,45,,
3/27/97,AQS,48,,
3/28/97,AQS,39,,
3/29/97,AQS,44,,
3/30/97,AQS,31,,
3/31/97,AQS,37,,
4/1/97,AQS,48,,
4/2/97,AQS,38,,
4/3/97,AQS,37,,
4/4/97,AQS,38,,
4/5/97,AQS,37,,
4/6/97,AQS,34,,
4/7/97,AQS,37,,
4/8/97,AQS,39,,
4/9/97,AQS,41,,
4/10/97,AQS,43,,
4/11/97,AQS,48,,
4/12/97,AQS,49,,
4/13/97,AQS,46,,
4/14/97,AQS,49,,
4/15/97,AQS,41,,
4/16/97,AQS,40,,
4/17/97,AQS,44,,
4/18/97,AQS,33,,
4/19/97,AQS,44,,
4/20/97,AQS,47,,
4/21/97,AQS,50,,
4/22/97,AQS,50,,
4/23/97,AQS,43,,
4/24/97,AQS,44,,
4/25/97,AQS,46,,
4/26/97,AQS,48,,
4/27/97,AQS,46,,
4/28/97,AQS,54,,
4/29/97,AQS,45,,
4/30/97,AQS,29,,
5/1/97,AQS,44,,
5/2/97,AQS,41,,
5/3/97,AQS,51,,
5/4/97,AQS,54,,
5/5/97,AQS,45,,
5/6/97,AQS,51,,
5/7/97,AQS,36,,
5/8/97,AQS,35,,
5/9/97,AQS,42,,
5/10/97,AQS,61,,
5/11/97,AQS,42,,
5/12/97,AQS,40,,
5/13/97,AQS,34,,
5/14/97,AQS,31,,
5/15/97,AQS,40,,
5/16/97,AQS,45,,
5/17/97,AQS,49,,
5/18/97,AQS,40,,
5/19/97,AQS,34,,
5/20/97,AQS,40,,
5/21/97,AQS,47,,
5/22/97,AQS,67,,
5/23/97,AQS,80,,
5/24/97,AQS,84,,
5/25/97,AQS,38,,
5/26/97,AQS,40,,
5/27/97,AQS,48,,
5/28/97,AQS,48,,
5/29/97,AQS,41,,
5/30/97,AQS,90,,
5/31/97,AQS,119,,
6/1/97,AQS,108,,
6/2/97,AQS,84,,
6/3/97,AQS,64,,
6/4/97,AQS,90,,
6/5/97,AQS,47,,
6/6/97,AQS,67,,
6/7/97,AQS,46,,
6/8/97,AQS,87,,
6/9/97,AQS,77,,
6/10/97,AQS,126,,
6/11/97,AQS,129,,
6/12/97,AQS,143,,
6/13/97,AQS,43,,
6/14/97,AQS,58,,
6/15/97,AQS,49,,
6/16/97,AQS,38,,
6/17/97,AQS,42,,
6/18/97,AQS,36,,
6/19/97,AQS,42,,
6/20/97,AQS,54,,
6/21/97,AQS,71,,
6/22/97,AQS,93,,
6/23/97,AQS,44,,
6/24/97,AQS,36,,
6/25/97,AQS,42,,
6/26/97,AQS,54,,
6/27/97,AQS,71,,
6/28/97,AQS,48,,
6/29/97,AQS,35,,
6/30/97,AQS,108,,
7/1/97,AQS,77,,
7/2/97,AQS,28,,
7/3/97,AQS,20,,
7/4/97,AQS,31,,
7/5/97,AQS,37,,
7/6/97,AQS,38,,
7/7/97,AQS,32,,
7/8/97,AQS,28,,
7/9/97,AQS,45,,
7/10/97,AQS,64,,
7/11/97,AQS,54,,
7/12/97,AQS,40,,
7/13/97,AQS,71,,
7/14/97,AQS,36,,
7/15/97,AQS,48,,
7/16/97,AQS,112,,
7/17/97,AQS,97,,
7/18/97,AQS,44,,
7/19/97,AQS,24,,
7/20/97,AQS,46,,
7/21/97,AQS,27,,
7/22/97,AQS,30,,
7/23/97,AQS,43,,
7/24/97,AQS,36,,
7/25/97,AQS,77,,
7/26/97,AQS,129,,
7/27/97,AQS,42,,
7/28/97,AQS,30,,
7/29/97,AQS,39,,
7/30/97,AQS,46,,
7/31/97,AQS,42,,
8/1/97,AQS,61,,
8/2/97,AQS,43,,
8/3/97,AQS,44,,
8/4/97,AQS,29,,
8/5/97,AQS,31,,
8/6/97,AQS,43,,
8/7/97,AQS,45,,
8/8/97,AQS,87,,
8/9/97,AQS,49,,
8/10/97,AQS,32,,
8/11/97,AQS,39,,
8/12/97,AQS,30,,
8/13/97,AQS,36,,
8/14/97,AQS,25,,
8/15/97,AQS,35,,
8/16/97,AQS,33,,
8/17/97,AQS,21,,
8/18/97,AQS,22,,
8/19/97,AQS,19,,
8/20/97,AQS,25,,
8/21/97,AQS,29,,
8/22/97,AQS,35,,
8/23/97,AQS,31,,
8/24/97,AQS,36,,
8/25/97,AQS,37,,
8/26/97,AQS,41,,
8/27/97,AQS,35,,
8/28/97,AQS,34,,
8/29/97,AQS,32,,
8/30/97,AQS,43,,
8/31/97,AQS,77,,
9/1/97,AQS,44,,
9/2/97,AQS,26,,
9/3/97,AQS,27,,
9/4/97,AQS,31,,
9/5/97,AQS,36,,
9/6/97,AQS,36,,
9/7/97,AQS,25,,
9/8/97,AQS,30,,
9/9/97,AQS,26,,
9/10/97,AQS,29,,
9/11/97,AQS,35,,
9/12/97,AQS,43,,
9/13/97,AQS,31,,
9/14/97,AQS,33,,
9/15/97,AQS,28,,
9/16/97,AQS,30,,
9/17/97,AQS,31,,
9/18/97,AQS,44,,
9/19/97,AQS,29,,
9/20/97,AQS,27,,
9/21/97,AQS,31,,
9/22/97,AQS,18,,
9/23/97,AQS,29,,
9/24/97,AQS,36,,
9/25/97,AQS,33,,
9/26/97,AQS,37,,
9/27/97,AQS,44,,
9/28/97,AQS,31,,
9/29/97,AQS,28,,
9/30/97,AQS,29,,
10/1/97,AQS,29,,
10/2/97,AQS,44,,
10/3/97,AQS,48,,
10/4/97,AQS,35,,
10/5/97,AQS,41,,
10/6/97,AQS,30,,
10/7/97,AQS,43,,
10/8/97,AQS,38,,
10/9/97,AQS,21,,
10/10/97,AQS,31,,
10/11/97,AQS,43,,
10/12/97,AQS,39,,
10/13/97,AQS,26,,
10/14/97,AQS,26,,
10/15/97,AQS,31,,
10/16/97,AQS,31,,
10/17/97,AQS,39,,
10/18/97,AQS,45,,
10/19/97,AQS,39,,
10/20/97,AQS,40,,
10/21/97,AQS,31,,
10/22/97,AQS,24,,
10/23/97,AQS,19,,
10/24/97,AQS,30,,
10/25/97,AQS,32,,
10/26/97,AQS,36,,
10/27/97,AQS,33,,
10/28/97,AQS,24,,
10/29/97,AQS,28,,
10/30/97,AQS,19,,
10/31/97,AQS,18,,
11/1/97,AQS,19,,
11/2/97,AQS,30,,
