Geography,Date,Type,Percent Change from Baseline,ID Geography
Arizona,2/15/20,Retail and Recreation,3,04000US04
Arizona,2/16/20,Retail and Recreation,7,04000US04
Arizona,2/17/20,Retail and Recreation,9,04000US04
Arizona,2/18/20,Retail and Recreation,2,04000US04
Arizona,2/19/20,Retail and Recreation,4,04000US04
Arizona,2/20/20,Retail and Recreation,5,04000US04
Arizona,2/21/20,Retail and Recreation,2,04000US04
Arizona,2/22/20,Retail and Recreation,-2,04000US04
Arizona,2/23/20,Retail and Recreation,6,04000US04
Arizona,2/24/20,Retail and Recreation,5,04000US04
Arizona,2/25/20,Retail and Recreation,5,04000US04
Arizona,2/26/20,Retail and Recreation,9,04000US04
Arizona,2/27/20,Retail and Recreation,9,04000US04
Arizona,2/28/20,Retail and Recreation,7,04000US04
Arizona,2/29/20,Retail and Recreation,6,04000US04
Arizona,3/1/20,Retail and Recreation,12,04000US04
Arizona,3/2/20,Retail and Recreation,8,04000US04
Arizona,3/3/20,Retail and Recreation,9,04000US04
Arizona,3/4/20,Retail and Recreation,8,04000US04
Arizona,3/5/20,Retail and Recreation,9,04000US04
Arizona,3/6/20,Retail and Recreation,6,04000US04
Arizona,3/7/20,Retail and Recreation,4,04000US04
Arizona,3/8/20,Retail and Recreation,9,04000US04
Arizona,3/9/20,Retail and Recreation,9,04000US04
Arizona,3/10/20,Retail and Recreation,6,04000US04
Arizona,3/11/20,Retail and Recreation,5,04000US04
Arizona,3/12/20,Retail and Recreation,6,04000US04
Arizona,3/13/20,Retail and Recreation,0,04000US04
Arizona,3/14/20,Retail and Recreation,-5,04000US04
Arizona,3/15/20,Retail and Recreation,-2,04000US04
Arizona,3/16/20,Retail and Recreation,0,04000US04
Arizona,3/17/20,Retail and Recreation,-9,04000US04
Arizona,3/18/20,Retail and Recreation,-23,04000US04
Arizona,3/19/20,Retail and Recreation,-22,04000US04
Arizona,3/20/20,Retail and Recreation,-28,04000US04
Arizona,3/21/20,Retail and Recreation,-36,04000US04
Arizona,3/22/20,Retail and Recreation,-37,04000US04
Arizona,3/23/20,Retail and Recreation,-31,04000US04
Arizona,3/24/20,Retail and Recreation,-32,04000US04
Arizona,3/25/20,Retail and Recreation,-33,04000US04
Arizona,3/26/20,Retail and Recreation,-34,04000US04
Arizona,3/27/20,Retail and Recreation,-38,04000US04
Arizona,3/28/20,Retail and Recreation,-41,04000US04
Arizona,3/29/20,Retail and Recreation,-40,04000US04
Arizona,3/30/20,Retail and Recreation,-30,04000US04
Arizona,3/31/20,Retail and Recreation,-33,04000US04
Arizona,4/1/20,Retail and Recreation,-38,04000US04
Arizona,4/2/20,Retail and Recreation,-38,04000US04
Arizona,4/3/20,Retail and Recreation,-38,04000US04
Arizona,4/4/20,Retail and Recreation,-44,04000US04
Arizona,4/5/20,Retail and Recreation,-43,04000US04
Arizona,4/6/20,Retail and Recreation,-38,04000US04
Arizona,4/7/20,Retail and Recreation,-38,04000US04
Arizona,4/8/20,Retail and Recreation,-39,04000US04
Arizona,4/9/20,Retail and Recreation,-37,04000US04
Arizona,4/10/20,Retail and Recreation,-38,04000US04
Arizona,4/11/20,Retail and Recreation,-43,04000US04
Arizona,4/12/20,Retail and Recreation,-57,04000US04
Arizona,4/13/20,Retail and Recreation,-39,04000US04
Arizona,4/14/20,Retail and Recreation,-37,04000US04
Arizona,4/15/20,Retail and Recreation,-31,04000US04
Arizona,4/16/20,Retail and Recreation,-33,04000US04
Arizona,4/17/20,Retail and Recreation,-37,04000US04
Arizona,4/18/20,Retail and Recreation,-40,04000US04
Arizona,4/19/20,Retail and Recreation,-38,04000US04
Arizona,4/20/20,Retail and Recreation,-33,04000US04
Arizona,4/21/20,Retail and Recreation,-34,04000US04
Arizona,4/22/20,Retail and Recreation,-34,04000US04
Arizona,4/23/20,Retail and Recreation,-34,04000US04
Arizona,4/24/20,Retail and Recreation,-36,04000US04
Arizona,4/25/20,Retail and Recreation,-40,04000US04
Arizona,4/26/20,Retail and Recreation,-37,04000US04
Arizona,4/27/20,Retail and Recreation,-31,04000US04
Arizona,4/28/20,Retail and Recreation,-32,04000US04
Arizona,4/29/20,Retail and Recreation,-31,04000US04
Arizona,4/30/20,Retail and Recreation,-30,04000US04
Arizona,5/1/20,Retail and Recreation,-31,04000US04
Arizona,5/2/20,Retail and Recreation,-36,04000US04
Arizona,5/3/20,Retail and Recreation,-34,04000US04
Arizona,5/4/20,Retail and Recreation,-28,04000US04
