Geography,Date,Type,Percent Change from Baseline,ID Geography
Michigan,2/15/20,Retail and Recreation,2,04000US26
Michigan,2/16/20,Retail and Recreation,9,04000US26
Michigan,2/17/20,Retail and Recreation,1,04000US26
Michigan,2/18/20,Retail and Recreation,-2,04000US26
Michigan,2/19/20,Retail and Recreation,2,04000US26
Michigan,2/20/20,Retail and Recreation,2,04000US26
Michigan,2/21/20,Retail and Recreation,-1,04000US26
Michigan,2/22/20,Retail and Recreation,9,04000US26
Michigan,2/23/20,Retail and Recreation,12,04000US26
Michigan,2/24/20,Retail and Recreation,1,04000US26
Michigan,2/25/20,Retail and Recreation,4,04000US26
Michigan,2/26/20,Retail and Recreation,-8,04000US26
Michigan,2/27/20,Retail and Recreation,1,04000US26
Michigan,2/28/20,Retail and Recreation,2,04000US26
Michigan,2/29/20,Retail and Recreation,13,04000US26
Michigan,3/1/20,Retail and Recreation,17,04000US26
Michigan,3/2/20,Retail and Recreation,9,04000US26
Michigan,3/3/20,Retail and Recreation,12,04000US26
Michigan,3/4/20,Retail and Recreation,11,04000US26
Michigan,3/5/20,Retail and Recreation,10,04000US26
Michigan,3/6/20,Retail and Recreation,2,04000US26
Michigan,3/7/20,Retail and Recreation,14,04000US26
Michigan,3/8/20,Retail and Recreation,17,04000US26
Michigan,3/9/20,Retail and Recreation,6,04000US26
Michigan,3/10/20,Retail and Recreation,11,04000US26
Michigan,3/11/20,Retail and Recreation,7,04000US26
Michigan,3/12/20,Retail and Recreation,7,04000US26
Michigan,3/13/20,Retail and Recreation,-5,04000US26
Michigan,3/14/20,Retail and Recreation,-13,04000US26
Michigan,3/15/20,Retail and Recreation,-11,04000US26
Michigan,3/16/20,Retail and Recreation,-17,04000US26
Michigan,3/17/20,Retail and Recreation,-29,04000US26
Michigan,3/18/20,Retail and Recreation,-33,04000US26
Michigan,3/19/20,Retail and Recreation,-34,04000US26
Michigan,3/20/20,Retail and Recreation,-41,04000US26
Michigan,3/21/20,Retail and Recreation,-46,04000US26
Michigan,3/22/20,Retail and Recreation,-47,04000US26
Michigan,3/23/20,Retail and Recreation,-34,04000US26
Michigan,3/24/20,Retail and Recreation,-59,04000US26
Michigan,3/25/20,Retail and Recreation,-53,04000US26
Michigan,3/26/20,Retail and Recreation,-56,04000US26
Michigan,3/27/20,Retail and Recreation,-58,04000US26
Michigan,3/28/20,Retail and Recreation,-63,04000US26
Michigan,3/29/20,Retail and Recreation,-58,04000US26
Michigan,3/30/20,Retail and Recreation,-54,04000US26
Michigan,3/31/20,Retail and Recreation,-53,04000US26
Michigan,4/1/20,Retail and Recreation,-50,04000US26
Michigan,4/2/20,Retail and Recreation,-49,04000US26
Michigan,4/3/20,Retail and Recreation,-52,04000US26
Michigan,4/4/20,Retail and Recreation,-60,04000US26
Michigan,4/5/20,Retail and Recreation,-55,04000US26
Michigan,4/6/20,Retail and Recreation,-51,04000US26
Michigan,4/7/20,Retail and Recreation,-54,04000US26
Michigan,4/8/20,Retail and Recreation,-49,04000US26
Michigan,4/9/20,Retail and Recreation,-53,04000US26
Michigan,4/10/20,Retail and Recreation,-57,04000US26
Michigan,4/11/20,Retail and Recreation,-58,04000US26
Michigan,4/12/20,Retail and Recreation,-74,04000US26
Michigan,4/13/20,Retail and Recreation,-57,04000US26
Michigan,4/14/20,Retail and Recreation,-53,04000US26
