Geography,Date,Type,Percent Change from Baseline,ID Geography
Minnesota,2/15/20,Retail and Recreation,6,04000US27
Minnesota,2/16/20,Retail and Recreation,9,04000US27
Minnesota,2/17/20,Retail and Recreation,4,04000US27
Minnesota,2/18/20,Retail and Recreation,-2,04000US27
Minnesota,2/19/20,Retail and Recreation,0,04000US27
Minnesota,2/20/20,Retail and Recreation,-2,04000US27
Minnesota,2/21/20,Retail and Recreation,2,04000US27
Minnesota,2/22/20,Retail and Recreation,5,04000US27
Minnesota,2/23/20,Retail and Recreation,11,04000US27
Minnesota,2/24/20,Retail and Recreation,4,04000US27
Minnesota,2/25/20,Retail and Recreation,5,04000US27
Minnesota,2/26/20,Retail and Recreation,6,04000US27
Minnesota,2/27/20,Retail and Recreation,3,04000US27
Minnesota,2/28/20,Retail and Recreation,5,04000US27
Minnesota,2/29/20,Retail and Recreation,8,04000US27
Minnesota,3/1/20,Retail and Recreation,15,04000US27
Minnesota,3/2/20,Retail and Recreation,6,04000US27
Minnesota,3/3/20,Retail and Recreation,10,04000US27
Minnesota,3/4/20,Retail and Recreation,7,04000US27
Minnesota,3/5/20,Retail and Recreation,1,04000US27
Minnesota,3/6/20,Retail and Recreation,6,04000US27
Minnesota,3/7/20,Retail and Recreation,7,04000US27
Minnesota,3/8/20,Retail and Recreation,13,04000US27
Minnesota,3/9/20,Retail and Recreation,4,04000US27
Minnesota,3/10/20,Retail and Recreation,6,04000US27
Minnesota,3/11/20,Retail and Recreation,7,04000US27
Minnesota,3/12/20,Retail and Recreation,3,04000US27
Minnesota,3/13/20,Retail and Recreation,2,04000US27
Minnesota,3/14/20,Retail and Recreation,-7,04000US27
Minnesota,3/15/20,Retail and Recreation,-5,04000US27
Minnesota,3/16/20,Retail and Recreation,-5,04000US27
Minnesota,3/17/20,Retail and Recreation,-18,04000US27
Minnesota,3/18/20,Retail and Recreation,-34,04000US27
Minnesota,3/19/20,Retail and Recreation,-41,04000US27
Minnesota,3/20/20,Retail and Recreation,-38,04000US27
Minnesota,3/21/20,Retail and Recreation,-49,04000US27
Minnesota,3/22/20,Retail and Recreation,-48,04000US27
Minnesota,3/23/20,Retail and Recreation,-39,04000US27
Minnesota,3/24/20,Retail and Recreation,-41,04000US27
Minnesota,3/25/20,Retail and Recreation,-37,04000US27
Minnesota,3/26/20,Retail and Recreation,-37,04000US27
Minnesota,3/27/20,Retail and Recreation,-40,04000US27
Minnesota,3/28/20,Retail and Recreation,-65,04000US27
Minnesota,3/29/20,Retail and Recreation,-58,04000US27
Minnesota,3/30/20,Retail and Recreation,-44,04000US27
Minnesota,3/31/20,Retail and Recreation,-42,04000US27
