Geography,Date,Type,Percent Change from Baseline,ID Geography
New York,2/15/20,Retail and Recreation,3,04000US36
New York,2/16/20,Retail and Recreation,7,04000US36
New York,2/17/20,Retail and Recreation,7,04000US36
New York,2/18/20,Retail and Recreation,-2,04000US36
New York,2/19/20,Retail and Recreation,3,04000US36
New York,2/20/20,Retail and Recreation,2,04000US36
New York,2/21/20,Retail and Recreation,-1,04000US36
New York,2/22/20,Retail and Recreation,8,04000US36
New York,2/23/20,Retail and Recreation,9,04000US36
New York,2/24/20,Retail and Recreation,3,04000US36
New York,2/25/20,Retail and Recreation,-1,04000US36
New York,2/26/20,Retail and Recreation,4,04000US36
New York,2/27/20,Retail and Recreation,-1,04000US36
New York,2/28/20,Retail and Recreation,1,04000US36
New York,2/29/20,Retail and Recreation,7,04000US36
New York,3/1/20,Retail and Recreation,10,04000US36
New York,3/2/20,Retail and Recreation,6,04000US36
New York,3/3/20,Retail and Recreation,4,04000US36
New York,3/4/20,Retail and Recreation,7,04000US36
New York,3/5/20,Retail and Recreation,8,04000US36
New York,3/6/20,Retail and Recreation,-1,04000US36
New York,3/7/20,Retail and Recreation,10,04000US36
New York,3/8/20,Retail and Recreation,10,04000US36
New York,3/9/20,Retail and Recreation,7,04000US36
New York,3/10/20,Retail and Recreation,1,04000US36
New York,3/11/20,Retail and Recreation,3,04000US36
New York,3/12/20,Retail and Recreation,1,04000US36
New York,3/13/20,Retail and Recreation,-6,04000US36
New York,3/14/20,Retail and Recreation,-9,04000US36
New York,3/15/20,Retail and Recreation,-14,04000US36
New York,3/16/20,Retail and Recreation,-15,04000US36
New York,3/17/20,Retail and Recreation,-31,04000US36
New York,3/18/20,Retail and Recreation,-33,04000US36
New York,3/19/20,Retail and Recreation,-39,04000US36
New York,3/20/20,Retail and Recreation,-40,04000US36
New York,3/21/20,Retail and Recreation,-46,04000US36
New York,3/22/20,Retail and Recreation,-54,04000US36
New York,3/23/20,Retail and Recreation,-62,04000US36
New York,3/24/20,Retail and Recreation,-53,04000US36
New York,3/25/20,Retail and Recreation,-56,04000US36
New York,3/26/20,Retail and Recreation,-52,04000US36
New York,3/27/20,Retail and Recreation,-54,04000US36
New York,3/28/20,Retail and Recreation,-61,04000US36
New York,3/29/20,Retail and Recreation,-62,04000US36
New York,3/30/20,Retail and Recreation,-55,04000US36
New York,3/31/20,Retail and Recreation,-55,04000US36
New York,4/1/20,Retail and Recreation,-52,04000US36
New York,4/2/20,Retail and Recreation,-54,04000US36
New York,4/3/20,Retail and Recreation,-57,04000US36
New York,4/4/20,Retail and Recreation,-58,04000US36
New York,4/5/20,Retail and Recreation,-59,04000US36
New York,4/6/20,Retail and Recreation,-53,04000US36
New York,4/7/20,Retail and Recreation,-60,04000US36
New York,4/8/20,Retail and Recreation,-62,04000US36
New York,4/9/20,Retail and Recreation,-65,04000US36
New York,4/10/20,Retail and Recreation,-65,04000US36
New York,4/11/20,Retail and Recreation,-62,04000US36
New York,4/12/20,Retail and Recreation,-75,04000US36
New York,4/13/20,Retail and Recreation,-70,04000US36
New York,4/14/20,Retail and Recreation,-60,04000US36
New York,4/15/20,Retail and Recreation,-59,04000US36
New York,4/16/20,Retail and Recreation,-61,04000US36
New York,4/17/20,Retail and Recreation,-62,04000US36
New York,4/18/20,Retail and Recreation,-65,04000US36
New York,4/19/20,Retail and Recreation,-62,04000US36
New York,4/20/20,Retail and Recreation,-59,04000US36
New York,4/21/20,Retail and Recreation,-63,04000US36
New York,4/22/20,Retail and Recreation,-60,04000US36
New York,4/23/20,Retail and Recreation,-60,04000US36
New York,4/24/20,Retail and Recreation,-63,04000US36
New York,4/25/20,Retail and Recreation,-57,04000US36
New York,4/26/20,Retail and Recreation,-66,04000US36
New York,4/27/20,Retail and Recreation,-59,04000US36
New York,4/28/20,Retail and Recreation,-54,04000US36
New York,4/29/20,Retail and Recreation,-56,04000US36
New York,4/30/20,Retail and Recreation,-58,04000US36
New York,5/1/20,Retail and Recreation,-55,04000US36
New York,5/2/20,Retail and Recreation,-51,04000US36
New York,5/3/20,Retail and Recreation,-50,04000US36
New York,5/4/20,Retail and Recreation,-51,04000US36
New York,5/5/20,Retail and Recreation,-49,04000US36
New York,5/6/20,Retail and Recreation,-54,04000US36
New York,5/7/20,Retail and Recreation,-50,04000US36
New York,5/8/20,Retail and Recreation,-55,04000US36
New York,5/9/20,Retail and Recreation,-53,04000US36
New York,5/10/20,Retail and Recreation,-50,04000US36
New York,5/11/20,Retail and Recreation,-55,04000US36
New York,5/12/20,Retail and Recreation,-50,04000US36
New York,5/13/20,Retail and Recreation,-48,04000US36
New York,5/14/20,Retail and Recreation,-49,04000US36
New York,5/15/20,Retail and Recreation,-50,04000US36
New York,5/16/20,Retail and Recreation,-47,04000US36
New York,5/17/20,Retail and Recreation,-47,04000US36
New York,5/18/20,Retail and Recreation,-47,04000US36
New York,5/19/20,Retail and Recreation,-44,04000US36
New York,5/20/20,Retail and Recreation,-43,04000US36
New York,5/21/20,Retail and Recreation,-42,04000US36
New York,5/22/20,Retail and Recreation,-45,04000US36
New York,5/23/20,Retail and Recreation,-50,04000US36
New York,5/24/20,Retail and Recreation,-43,04000US36
New York,5/25/20,Retail and Recreation,-49,04000US36
New York,5/26/20,Retail and Recreation,-43,04000US36
New York,5/27/20,Retail and Recreation,-41,04000US36
New York,5/28/20,Retail and Recreation,-44,04000US36
New York,5/29/20,Retail and Recreation,-47,04000US36
New York,5/30/20,Retail and Recreation,-44,04000US36
New York,5/31/20,Retail and Recreation,-43,04000US36
New York,6/1/20,Retail and Recreation,-40,04000US36
New York,6/2/20,Retail and Recreation,-43,04000US36
New York,6/3/20,Retail and Recreation,-43,04000US36
New York,6/4/20,Retail and Recreation,-40,04000US36
New York,6/5/20,Retail and Recreation,-44,04000US36
New York,6/6/20,Retail and Recreation,-42,04000US36
New York,6/7/20,Retail and Recreation,-37,04000US36
New York,6/8/20,Retail and Recreation,-36,04000US36
New York,6/9/20,Retail and Recreation,-36,04000US36
New York,6/10/20,Retail and Recreation,-35,04000US36
New York,6/11/20,Retail and Recreation,-38,04000US36
New York,6/12/20,Retail and Recreation,-37,04000US36
New York,6/13/20,Retail and Recreation,-35,04000US36
