Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/11,AQS,31,AQS,119
1/2/11,AQS,29,AQS,76
1/3/11,AQS,35,AQS,57
1/4/11,AQS,25,AQS,86
1/5/11,AQS,32,AQS,72
1/6/11,AQS,28,AQS,69
1/7/11,AQS,22,AQS,79
1/8/11,AQS,31,AQS,76
1/9/11,AQS,34,AQS,61
1/10/11,AQS,36,AQS,59
1/11/11,AQS,31,AQS,61
1/12/11,AQS,34,AQS,65
1/13/11,AQS,35,AQS,57
1/14/11,AQS,33,AQS,70
1/15/11,AQS,30,AQS,84
1/16/11,AQS,36,AQS,86
1/17/11,AQS,38,AQS,104
1/18/11,AQS,31,AQS,60
1/19/11,AQS,25,AQS,67
1/20/11,AQS,34,AQS,60
1/21/11,AQS,33,AQS,71
1/22/11,AQS,32,AQS,60
1/23/11,AQS,33,AQS,71
1/24/11,AQS,31,AQS,64
1/25/11,AQS,20,AQS,93
1/26/11,AQS,26,AQS,102
1/27/11,AQS,35,AQS,74
1/28/11,AQS,27,AQS,97
1/29/11,AQS,33,AQS,81
1/30/11,AQS,35,AQS,80
1/31/11,AQS,38,AQS,81
2/1/11,AQS,32,AQS,76
2/2/11,AQS,33,AQS,68
2/3/11,AQS,40,AQS,59
2/4/11,AQS,36,AQS,82
2/5/11,AQS,30,AQS,89
2/6/11,AQS,43,AQS,71
2/7/11,AQS,36,AQS,87
2/8/11,AQS,37,AQS,66
2/9/11,AQS,35,AQS,64
2/10/11,AQS,38,AQS,62
2/11/11,AQS,33,AQS,73
2/12/11,AQS,44,AQS,72
2/13/11,AQS,41,AQS,65
2/14/11,AQS,45,AQS,59
2/15/11,AQS,41,AQS,57
2/16/11,AQS,41,AQS,59
2/17/11,AQS,44,AQS,98
2/18/11,AQS,44,AQS,82
2/19/11,AQS,43,AQS,56
2/20/11,AQS,41,AQS,65
2/21/11,AQS,37,AQS,72
2/22/11,AQS,37,AQS,64
2/23/11,AQS,39,AQS,79
2/24/11,AQS,35,AQS,82
2/25/11,AQS,37,AQS,64
2/26/11,AQS,42,AQS,53
2/27/11,AQS,43,AQS,71
2/28/11,AQS,39,AQS,65
3/1/11,AQS,42,AQS,62
3/2/11,AQS,41,AQS,56
3/3/11,AQS,39,AQS,60
3/4/11,AQS,44,AQS,58
3/5/11,AQS,48,AQS,41
3/6/11,AQS,47,AQS,32
3/7/11,AQS,44,AQS,45
3/8/11,AQS,39,AQS,64
3/9/11,AQS,43,AQS,54
3/10/11,AQS,44,AQS,55
3/11/11,AQS,42,AQS,53
3/12/11,AQS,41,AQS,57
3/13/11,AQS,42,AQS,56
3/14/11,AQS,34,AQS,56
3/15/11,AQS,38,AQS,65
3/16/11,AQS,33,AQS,64
3/17/11,AQS,49,AQS,58
3/18/11,AQS,49,AQS,61
3/19/11,AQS,45,AQS,37
3/20/11,AQS,44,AQS,52
3/21/11,AQS,41,AQS,53
3/22/11,AQS,42,AQS,48
3/23/11,AQS,38,AQS,56
3/24/11,AQS,44,AQS,60
3/25/11,AQS,42,AQS,50
3/26/11,AQS,45,AQS,49
3/27/11,AQS,45,AQS,39
3/28/11,AQS,45,AQS,40
3/29/11,AQS,45,AQS,51
3/30/11,AQS,46,AQS,41
3/31/11,AQS,44,AQS,49
4/1/11,AQS,44,AQS,42
4/2/11,AQS,50,AQS,53
4/3/11,AQS,50,AQS,54
4/4/11,AQS,48,AQS,78
4/5/11,AQS,41,AQS,57
4/6/11,AQS,44,AQS,55
4/7/11,AQS,44,AQS,63
4/8/11,AQS,43,AQS,73
4/9/11,AQS,54,AQS,72
4/10/11,AQS,47,AQS,53
4/11/11,AQS,44,AQS,70
4/12/11,AQS,48,AQS,40
4/13/11,AQS,47,AQS,49
4/14/11,AQS,49,AQS,75
4/15/11,AQS,41,AQS,34
4/16/11,AQS,48,AQS,35
4/17/11,AQS,48,AQS,35
4/18/11,AQS,48,AQS,47
4/19/11,AQS,39,AQS,64
4/20/11,AQS,44,AQS,71
4/21/11,AQS,49,AQS,34
4/22/11,AQS,41,AQS,43
4/23/11,AQS,42,AQS,56
4/24/11,AQS,51,AQS,66
4/25/11,AQS,45,AQS,76
4/26/11,AQS,42,AQS,61
4/27/11,AQS,31,AQS,59
4/28/11,AQS,48,AQS,43
4/29/11,AQS,136,AQS,35
4/30/11,AQS,50,AQS,39
5/1/11,AQS,46,AQS,37
5/2/11,AQS,43,AQS,42
5/3/11,AQS,51,AQS,65
5/4/11,AQS,32,AQS,28
5/5/11,AQS,48,AQS,20
5/6/11,AQS,74,AQS,52
5/7/11,AQS,64,AQS,43
5/8/11,AQS,54,AQS,42
5/9/11,AQS,39,AQS,40
5/10/11,AQS,47,AQS,29
5/11/11,AQS,44,AQS,42
5/12/11,AQS,51,AQS,64
5/13/11,AQS,41,AQS,34
5/14/11,AQS,36,AQS,30
5/15/11,AQS,49,AQS,65
5/16/11,AQS,44,AQS,54
5/17/11,AQS,44,AQS,41
5/18/11,AQS,43,AQS,51
5/19/11,AQS,50,AQS,52
5/20/11,AQS,49,AQS,61
5/21/11,AQS,87,AQS,66
5/22/11,AQS,51,AQS,48
5/23/11,AQS,39,AQS,52
5/24/11,AQS,67,AQS,75
5/25/11,AQS,90,AQS,62
5/26/11,AQS,93,AQS,84
5/27/11,AQS,115,AQS,88
5/28/11,AQS,48,AQS,56
5/29/11,AQS,58,AQS,56
5/30/11,AQS,97,AQS,69
5/31/11,AQS,119,AQS,66
6/1/11,AQS,166,AQS,101
6/2/11,AQS,64,AQS,51
6/3/11,AQS,49,AQS,40
6/4/11,AQS,49,AQS,46
6/5/11,AQS,42,AQS,37
6/6/11,AQS,122,AQS,56
6/7/11,AQS,172,AQS,79
6/8/11,AQS,159,AQS,96
6/9/11,AQS,197,AQS,114
6/10/11,AQS,136,AQS,75
6/11/11,AQS,48,AQS,58
6/12/11,AQS,40,AQS,40
6/13/11,AQS,41,AQS,29
6/14/11,AQS,32,AQS,38
6/15/11,AQS,49,AQS,53
6/16/11,AQS,93,AQS,61
6/17/11,AQS,67,AQS,58
6/18/11,AQS,126,AQS,70
6/19/11,AQS,71,AQS,56
6/20/11,AQS,97,AQS,71
6/21/11,AQS,87,AQS,68
6/22/11,AQS,54,AQS,73
6/23/11,AQS,46,AQS,104
6/24/11,AQS,46,AQS,62
6/25/11,AQS,77,AQS,58
6/26/11,AQS,54,AQS,57
6/27/11,AQS,71,AQS,56
6/28/11,AQS,115,AQS,80
6/29/11,AQS,67,AQS,62
6/30/11,AQS,61,AQS,41
7/1/11,AQS,54,AQS,51
7/2/11,AQS,90,AQS,58
7/3/11,AQS,80,AQS,92
7/4/11,AQS,126,AQS,92
7/5/11,AQS,108,AQS,65
