Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/12,AQS,28,AQS,55
1/2/12,AQS,31,AQS,33
1/3/12,AQS,31,AQS,37
1/4/12,AQS,25,AQS,76
1/5/12,AQS,19,AQS,84
1/6/12,AQS,31,AQS,102
1/7/12,AQS,35,AQS,77
1/8/12,AQS,29,AQS,83
1/9/12,AQS,26,AQS,60
1/10/12,AQS,23,AQS,100
1/11/12,AQS,30,AQS,99
1/12/12,AQS,29,AQS,56
1/13/12,AQS,24,AQS,45
1/14/12,AQS,24,AQS,58
1/15/12,AQS,33,AQS,57
1/16/12,AQS,33,AQS,56
1/17/12,AQS,35,AQS,66
1/18/12,AQS,31,AQS,51
1/19/12,AQS,30,AQS,49
1/20/12,AQS,28,AQS,52
1/21/12,AQS,22,AQS,55
1/22/12,AQS,22,AQS,64
1/23/12,AQS,18,AQS,65
1/24/12,AQS,26,AQS,90
1/25/12,AQS,25,AQS,73
1/26/12,AQS,21,AQS,89
1/27/12,AQS,25,AQS,85
1/28/12,AQS,33,AQS,59
1/29/12,AQS,34,AQS,42
1/30/12,AQS,32,AQS,55
1/31/12,AQS,37,AQS,63
2/1/12,AQS,38,AQS,62
2/2/12,AQS,26,AQS,58
2/3/12,AQS,30,AQS,63
2/4/12,AQS,29,AQS,85
2/5/12,AQS,32,AQS,55
2/6/12,AQS,31,AQS,68
2/7/12,AQS,33,AQS,68
2/8/12,AQS,19,AQS,60
2/9/12,AQS,31,AQS,66
2/10/12,AQS,27,AQS,82
2/11/12,AQS,32,AQS,77
2/12/12,AQS,34,AQS,49
2/13/12,AQS,32,AQS,65
2/14/12,AQS,36,AQS,62
2/15/12,AQS,25,AQS,77
2/16/12,AQS,18,AQS,85
2/17/12,AQS,38,AQS,78
2/18/12,AQS,40,AQS,63
2/19/12,AQS,36,AQS,55
2/20/12,AQS,34,AQS,48
2/21/12,AQS,37,AQS,65
2/22/12,AQS,40,AQS,76
2/23/12,AQS,41,AQS,58
2/24/12,AQS,31,AQS,60
2/25/12,AQS,35,AQS,36
2/26/12,AQS,41,AQS,39
2/27/12,AQS,37,AQS,63
2/28/12,AQS,35,AQS,55
2/29/12,AQS,31,AQS,67
3/1/12,AQS,28,AQS,55
3/2/12,AQS,32,AQS,51
3/3/12,AQS,39,AQS,48
3/4/12,AQS,35,AQS,56
3/5/12,AQS,36,AQS,54
3/6/12,AQS,36,AQS,57
3/7/12,AQS,46,AQS,59
3/8/12,AQS,39,AQS,55
3/9/12,AQS,37,AQS,44
3/10/12,AQS,38,AQS,54
3/11/12,AQS,44,AQS,56
3/12/12,AQS,47,AQS,53
3/13/12,AQS,42,AQS,56
3/14/12,AQS,50,AQS,54
3/15/12,AQS,37,AQS,62
3/16/12,AQS,25,AQS,58
3/17/12,AQS,37,AQS,75
3/18/12,AQS,43,AQS,75
3/19/12,AQS,44,AQS,54
3/20/12,AQS,35,AQS,36
3/21/12,AQS,35,AQS,51
3/22/12,AQS,39,AQS,76
3/23/12,AQS,58,AQS,82
3/24/12,AQS,40,AQS,52
3/25/12,AQS,35,AQS,52
3/26/12,AQS,43,AQS,51
3/27/12,AQS,42,AQS,76
3/28/12,AQS,46,AQS,63
3/29/12,AQS,33,AQS,43
3/30/12,AQS,40,AQS,47
3/31/12,AQS,42,AQS,45
4/1/12,AQS,43,AQS,65
4/2/12,AQS,48,AQS,33
4/3/12,AQS,50,AQS,53
4/4/12,AQS,61,AQS,58
4/5/12,AQS,39,AQS,48
4/6/12,AQS,49,AQS,40
4/7/12,AQS,51,AQS,46
4/8/12,AQS,74,AQS,47
4/9/12,AQS,51,AQS,54
4/10/12,AQS,50,AQS,53
4/11/12,AQS,32,AQS,29
4/12/12,AQS,36,AQS,26
4/13/12,AQS,46,AQS,48
4/14/12,AQS,77,AQS,60
4/15/12,AQS,115,AQS,69
4/16/12,AQS,87,AQS,68
4/17/12,AQS,61,AQS,51
4/18/12,AQS,36,AQS,43
4/19/12,AQS,61,AQS,64
4/20/12,AQS,47,AQS,52
4/21/12,AQS,51,AQS,42
4/22/12,AQS,29,AQS,20
4/23/12,AQS,32,AQS,26
4/24/12,AQS,54,AQS,59
4/25/12,AQS,58,AQS,56
4/26/12,AQS,44,AQS,65
4/27/12,AQS,39,AQS,45
4/28/12,AQS,48,AQS,54
4/29/12,AQS,71,AQS,57
4/30/12,AQS,67,AQS,48
5/1/12,AQS,58,AQS,58
5/2/12,AQS,33,AQS,40
5/3/12,AQS,34,AQS,63
5/4/12,AQS,48,AQS,70
5/5/12,AQS,44,AQS,60
5/6/12,AQS,40,AQS,26
5/7/12,AQS,40,AQS,51
5/8/12,AQS,49,AQS,43
5/9/12,AQS,47,AQS,57
5/10/12,AQS,44,AQS,38
5/11/12,AQS,51,AQS,38
5/12/12,AQS,129,AQS,56
5/13/12,AQS,100,AQS,58
5/14/12,AQS,44,AQS,56
5/15/12,AQS,46,AQS,57
5/16/12,AQS,112,AQS,64
5/17/12,AQS,51,AQS,44
5/18/12,AQS,64,AQS,59
5/19/12,AQS,101,AQS,45
5/20/12,AQS,49,AQS,27
5/21/12,AQS,32,AQS,45
5/22/12,AQS,36,AQS,39
5/23/12,AQS,43,AQS,63
5/24/12,AQS,54,AQS,52
5/25/12,AQS,36,AQS,52
5/26/12,AQS,43,AQS,57
5/27/12,AQS,46,AQS,57
5/28/12,AQS,100,AQS,62
5/29/12,AQS,54,AQS,55
5/30/12,AQS,47,AQS,54
5/31/12,AQS,112,AQS,51
6/1/12,AQS,80,AQS,56
6/2/12,AQS,58,AQS,49
6/3/12,AQS,64,AQS,51
6/4/12,AQS,34,AQS,28
6/5/12,AQS,34,AQS,31
6/6/12,AQS,45,AQS,35
6/7/12,AQS,51,AQS,46
6/8/12,AQS,61,AQS,57
6/9/12,AQS,108,AQS,56
6/10/12,AQS,161,AQS,74
6/11/12,AQS,80,AQS,70
6/12/12,AQS,36,AQS,53
6/13/12,AQS,44,AQS,86
6/14/12,AQS,61,AQS,43
6/15/12,AQS,105,AQS,42
6/16/12,AQS,74,AQS,38
6/17/12,AQS,47,AQS,48
6/18/12,AQS,39,AQS,40
6/19/12,AQS,74,AQS,57
6/20/12,AQS,166,AQS,84
6/21/12,AQS,179,AQS,96
6/22/12,AQS,150,AQS,102
6/23/12,AQS,61,AQS,56
6/24/12,AQS,93,AQS,43
6/25/12,AQS,71,AQS,55
6/26/12,AQS,38,AQS,36
6/27/12,AQS,48,AQS,48
6/28/12,AQS,150,AQS,60
6/29/12,AQS,179,AQS,93
6/30/12,AQS,126,AQS,68
7/1/12,AQS,129,AQS,66
7/2/12,AQS,58,AQS,52
7/3/12,AQS,105,AQS,50
