Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5 _AQI_Value
1/1/20,AQS,31,AirNow,51
1/2/20,AQS,25,AirNow,67
1/3/20,AQS,20,AirNow,60
1/4/20,AQS,29,AirNow,54
1/5/20,AQS,31,AQS,20
1/6/20,AQS,34,AirNow,45
1/7/20,AQS,28,AirNow,53
1/8/20,AQS,33,AirNow,48
1/9/20,AQS,28,AQS,31
1/10/20,AQS,31,AQS,41
1/11/20,AirNow,34,AirNow,42
1/12/20,AQS,35,AirNow,51
1/13/20,AQS,17,AirNow,52
1/14/20,AirNow,14,AirNow,62
1/15/20,AQS,28,AirNow,74
1/16/20,AQS,33,AQS,56
1/17/20,AirNow,35,AirNow,26
1/18/20,AQS,30,AirNow,31
1/19/20,AQS,31,AirNow,51
1/20/20,AQS,40,AirNow,25
1/21/20,AQS,37,AirNow,36
1/22/20,AQS,35,AirNow,67
1/23/20,AQS,19,AirNow,103
1/24/20,AQS,33,AirNow,84
1/25/20,AQS,33,AirNow,44
1/26/20,AQS,25,AQS,43
1/27/20,AQS,28,AQS,40
1/28/20,AQS,38,AQS,49
1/29/20,AQS,38,AirNow,27
1/30/20,AQS,28,AirNow,52
1/31/20,AQS,28,AirNow,61
2/1/20,AQS,22,AirNow,78
2/2/20,AQS,25,AirNow,74
2/3/20,AQS,34,AirNow,59
2/4/20,AQS,31,AirNow,57
2/5/20,AQS,29,AirNow,42
2/6/20,AQS,23,AirNow,47
2/7/20,AQS,32,AQS,38
2/8/20,AQS,39,AirNow,43
2/9/20,AQS,38,AirNow,67
2/10/20,AirNow,31,AirNow,50
2/11/20,AQS,31,AirNow,48
2/12/20,AQS,35,AirNow,57
2/13/20,AQS,33,AirNow,51
2/14/20,AQS,35,AirNow,28
2/15/20,AirNow,33,AirNow,30
2/16/20,AQS,34,AirNow,52
2/17/20,AQS,36,AirNow,69
2/18/20,AQS,42,AirNow,63
2/19/20,AQS,39,AirNow,55
2/20/20,AQS,36,AirNow,44
2/21/20,AQS,36,AirNow,45
2/22/20,AQS,42,AQS,55
2/23/20,AQS,44,AirNow,63
2/24/20,AirNow,43,AirNow,71
2/25/20,AirNow,31,AirNow,57
2/26/20,AirNow,36,AirNow,51
2/27/20,AirNow,46,AQS,38
2/28/20,AirNow,36,AQS,53
2/29/20,AQS,38,AirNow,53
3/1/20,AQS,44,AirNow,48
3/2/20,AQS,46,AirNow,58
3/3/20,AQS,36,AirNow,71
3/4/20,AQS,42,AQS,53
3/5/20,AQS,40,AirNow,48
3/6/20,AQS,32,AirNow,54
3/7/20,AQS,40,AirNow,28
3/8/20,AQS,40,AirNow,40
3/9/20,AQS,46,AirNow,52
3/10/20,AQS,38,AirNow,55
3/11/20,AQS,34,AirNow,40
3/12/20,AQS,35,AirNow,64
3/13/20,AQS,43,AQS,41
3/14/20,AQS,41,AirNow,34
3/15/20,AQS,39,AirNow,28
3/16/20,AQS,43,AirNow,33
3/17/20,AQS,35,AirNow,48
3/18/20,AQS,38,AirNow,43
3/19/20,AQS,31,AirNow,60
3/20/20,AQS,38,AirNow,57
3/21/20,AQS,40,AQS,36
3/22/20,AirNow,39,AirNow,39
3/23/20,AQS,33,AirNow,28
3/24/20,AQS,38,AirNow,30
3/25/20,AQS,35,AirNow,45
3/26/20,AQS,42,AirNow,54
3/27/20,AQS,44,AirNow,52
3/28/20,AQS,38,AirNow,54
3/29/20,AQS,35,AirNow,56
3/30/20,AQS,35,AirNow,53
3/31/20,AirNow,36,AQS,26
4/1/20,AirNow,42,AirNow,37
