Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/07,AQS,31,,
1/2/07,AQS,35,,
1/3/07,AQS,35,AQS,
1/4/07,AQS,35,,
1/5/07,AQS,37,,
1/6/07,AQS,38,AQS,
1/7/07,AQS,39,,
1/8/07,AQS,38,,
1/9/07,AQS,40,AQS,
1/10/07,AQS,39,AQS,
1/11/07,AQS,38,,
1/12/07,AQS,37,AQS,
1/13/07,AQS,37,AQS,
1/14/07,AQS,35,,
1/15/07,AQS,43,AQS,
1/16/07,AQS,42,,
1/17/07,AQS,36,,
1/18/07,AQS,35,AQS,
1/19/07,AQS,32,,
1/20/07,AQS,38,,
1/21/07,AQS,34,AQS,
1/22/07,AQS,43,,
1/23/07,AQS,41,AQS,
1/24/07,AQS,38,AQS,
1/25/07,AQS,39,,
1/26/07,AQS,36,,
1/27/07,AQS,45,AQS,
1/28/07,AQS,45,,
1/29/07,AQS,42,,
1/30/07,AQS,35,AQS,
1/31/07,AQS,31,,
2/1/07,AQS,40,AQS,
2/2/07,AQS,40,AQS,
2/3/07,AQS,36,,
2/4/07,AQS,40,,
2/5/07,AQS,39,AQS,
2/6/07,AQS,38,,
2/7/07,AQS,38,,
2/8/07,AQS,40,AQS,
2/9/07,AQS,37,,
2/10/07,AQS,33,,
2/11/07,AQS,28,AQS,
2/12/07,AQS,35,,
2/13/07,AQS,44,,
2/14/07,AQS,42,AQS,
2/15/07,AQS,35,,
2/16/07,AQS,34,,
2/17/07,AQS,43,AQS,
2/18/07,AQS,40,,
2/19/07,AQS,40,,
2/20/07,AQS,42,AQS,
2/21/07,AQS,43,,
2/22/07,AQS,46,,
2/23/07,AQS,42,AQS,
2/24/07,AQS,41,,
2/25/07,AQS,44,,
2/26/07,AQS,44,AQS,
2/27/07,AQS,44,AQS,
2/28/07,AQS,44,,
3/1/07,AQS,43,AQS,
3/2/07,AQS,44,,
3/3/07,AQS,48,,
3/4/07,AQS,50,AQS,
3/5/07,AQS,61,,
3/6/07,AQS,61,,
3/7/07,AQS,46,AQS,
3/8/07,AQS,48,,
3/9/07,AQS,61,AQS,
3/10/07,AQS,77,AQS,
3/11/07,AQS,58,,
3/12/07,AQS,74,,
3/13/07,AQS,71,AQS,
3/14/07,AQS,101,,
3/15/07,AQS,115,,
3/16/07,AQS,71,AQS,
3/17/07,AQS,101,,
3/18/07,AQS,54,,
3/19/07,AQS,45,AQS,
3/20/07,AQS,47,,
3/21/07,AQS,38,,
3/22/07,AQS,34,AQS,
3/23/07,AQS,43,,
3/24/07,AQS,48,,
3/25/07,AQS,61,AQS,
3/26/07,AQS,80,,
3/27/07,AQS,51,,
3/28/07,AQS,45,AQS,
3/29/07,AQS,47,,
3/30/07,AQS,51,,
3/31/07,AQS,77,AQS,
4/1/07,AQS,115,,
4/2/07,AQS,90,,
4/3/07,AQS,77,AQS,
4/4/07,AQS,77,AQS,
4/5/07,AQS,77,,
4/6/07,AQS,67,AQS,
4/7/07,AQS,90,,
4/8/07,AQS,54,,
4/9/07,AQS,58,AQS,
4/10/07,AQS,71,,
4/11/07,AQS,77,,
4/12/07,AQS,105,AQS,
4/13/07,AQS,87,,
4/14/07,AQS,87,,
4/15/07,AQS,74,AQS,
4/16/07,AQS,74,,
4/17/07,AQS,100,,
4/18/07,AQS,97,AQS,
4/19/07,AQS,101,,
4/20/07,AQS,90,,
4/21/07,AQS,71,AQS,
4/22/07,AQS,80,,
4/23/07,AQS,54,,
4/24/07,AQS,61,AQS,
4/25/07,AQS,93,,
4/26/07,AQS,105,,
4/27/07,AQS,112,AQS,
4/28/07,AQS,101,,
4/29/07,AQS,105,,
4/30/07,AQS,97,AQS,
5/1/07,AQS,74,AQS,
5/2/07,AQS,93,,
5/3/07,AQS,71,AQS,
5/4/07,AQS,84,,
5/5/07,AQS,77,,
5/6/07,AQS,77,AQS,
5/7/07,AQS,90,,
5/8/07,AQS,97,,
5/9/07,AQS,119,AQS,
5/10/07,AQS,133,,
5/11/07,AQS,143,,
5/12/07,AQS,115,AQS,
5/13/07,AQS,112,,
5/14/07,AQS,90,,
5/15/07,AQS,112,AQS,
5/16/07,AQS,100,,
5/17/07,AQS,133,,
5/18/07,AQS,108,AQS,
5/19/07,AQS,115,,
5/20/07,AQS,90,,
5/21/07,AQS,71,AQS,
5/22/07,AQS,67,,
5/23/07,AQS,84,,
5/24/07,AQS,133,AQS,
5/25/07,AQS,100,,
5/26/07,AQS,51,,
5/27/07,AQS,61,AQS,
5/28/07,AQS,50,,
5/29/07,AQS,61,,
5/30/07,AQS,71,AQS,
5/31/07,AQS,87,,
6/1/07,AQS,90,,
6/2/07,AQS,84,AQS,
6/3/07,AQS,61,,
6/4/07,AQS,97,,
6/5/07,AQS,67,AQS,
6/6/07,AQS,93,,
6/7/07,AQS,129,,
6/8/07,AQS,126,AQS,
6/9/07,AQS,100,,
6/10/07,AQS,71,,
6/11/07,AQS,45,AQS,
6/12/07,AQS,100,,
6/13/07,AQS,112,,
6/14/07,AQS,122,AQS,
6/15/07,AQS,105,,
6/16/07,AQS,100,,
6/17/07,AQS,71,AQS,
6/18/07,AQS,64,,
6/19/07,AQS,80,,
6/20/07,AQS,80,AQS,
6/21/07,AQS,97,,
6/22/07,AQS,112,,
6/23/07,AQS,122,AQS,
6/24/07,AQS,97,,
6/25/07,AQS,115,,
6/26/07,AQS,84,AQS,
6/27/07,AQS,93,,
6/28/07,AQS,90,,
6/29/07,AQS,97,AQS,
6/30/07,AQS,97,,
7/1/07,AQS,101,,
7/2/07,AQS,101,AQS,
7/3/07,AQS,122,AQS,
7/4/07,AQS,143,,
7/5/07,AQS,129,AQS,
7/6/07,AQS,122,,
7/7/07,AQS,112,,
7/8/07,AQS,87,AQS,
7/9/07,AQS,93,,
7/10/07,AQS,93,,
7/11/07,AQS,115,AQS,
7/12/07,AQS,100,,
7/13/07,AQS,87,,
7/14/07,AQS,54,AQS,
7/15/07,AQS,93,,
7/16/07,AQS,122,,
7/17/07,AQS,115,AQS,
7/18/07,AQS,105,,
7/19/07,AQS,87,,
7/20/07,AQS,105,AQS,
7/21/07,AQS,84,,
7/22/07,AQS,126,,
7/23/07,AQS,90,AQS,
7/24/07,AQS,108,,
7/25/07,AQS,58,,
7/26/07,AQS,90,AQS,
7/27/07,AQS,49,,
7/28/07,AQS,45,,
7/29/07,AQS,101,AQS,
7/30/07,AQS,97,,
7/31/07,AQS,105,,
8/1/07,AQS,87,AQS,
8/2/07,AQS,84,,
8/3/07,AQS,87,,
8/4/07,AQS,67,AQS,
8/5/07,AQS,44,,
8/6/07,AQS,38,,
8/7/07,AQS,84,AQS,
8/8/07,AQS,129,,
8/9/07,AQS,100,,
8/10/07,AQS,101,AQS,
8/11/07,AQS,122,AQS,
8/12/07,AQS,105,,
8/13/07,AQS,115,AQS,
8/14/07,AQS,140,,
8/15/07,AQS,150,,
8/16/07,AQS,129,AQS,
8/17/07,AQS,112,,
8/18/07,AQS,126,,
8/19/07,AQS,67,AQS,
8/20/07,AQS,90,,
8/21/07,AQS,97,,
8/22/07,AQS,112,AQS,
8/23/07,AQS,90,,
8/24/07,AQS,97,,
8/25/07,AQS,84,AQS,
8/26/07,AQS,101,,
8/27/07,AQS,87,,
8/28/07,AQS,115,AQS,
8/29/07,AQS,112,AQS,
8/30/07,AQS,71,,
8/31/07,AQS,97,AQS,
9/1/07,AQS,93,,
9/2/07,AQS,84,,
9/3/07,AQS,71,AQS,
9/4/07,AQS,105,,
9/5/07,AQS,90,AQS,
9/6/07,AQS,54,AQS,
9/7/07,AQS,97,,
9/8/07,AQS,119,,
9/9/07,AQS,77,AQS,
9/10/07,AQS,100,,
9/11/07,AQS,100,,
9/12/07,AQS,93,AQS,
9/13/07,AQS,74,,
9/14/07,AQS,80,,
9/15/07,AQS,61,AQS,
9/16/07,AQS,51,,
9/17/07,AQS,45,,
9/18/07,AQS,47,AQS,
9/19/07,AQS,47,,
9/20/07,AQS,38,,
9/21/07,AQS,37,AQS,
9/22/07,AQS,36,,
9/23/07,AQS,51,,
9/24/07,AQS,90,AQS,
9/25/07,AQS,93,,
9/26/07,AQS,71,,
9/27/07,AQS,64,AQS,
9/28/07,AQS,46,,
9/29/07,AQS,38,,
9/30/07,AQS,44,AQS,
10/1/07,AQS,41,,
10/2/07,AQS,51,,
10/3/07,AQS,67,AQS,
10/4/07,AQS,32,,
10/5/07,AQS,42,,
10/6/07,AQS,50,AQS,
10/7/07,AQS,51,,
