GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",331505,370752,373110,458424,442632,488027,535991,301940,259812,265668,267771,228417,231368,244314,242699,280563,374658,391170
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",10,    Utilities,2100718,2142929,2340384,2612331,2728845,3044030,3073864,3258936,3493392,3713169,3704264,3582854,(D),4229334,4327173,(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",11,    Construction,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8712524,(D),(D),(D),16539577,17631615
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",12,    Manufacturing,(D),(D),(D),22756223,(D),(D),23262759,22302563,23053427,23752029,24796297,24893756,25434336,26626906,28042177,29723002,30308847,32017970
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15165417,15761170,17464053,19065314,19879406,19753622
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",87,Natural resources and mining,697767,586326,605542,(D),786714,773892,(D),(D),(D),(D),(D),(D),833464,(D),(D),(D),(D),(D)
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19990503,21791225,(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",87120,87802,91301,102388,94895,105484,169959,101548,105541,95046,88970,90949,93397,112850,135690,171838,144450,155490
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",10,    Utilities,2666446,2153190,2618565,2874968,2876869,3896135,3972347,4571300,4329363,4815830,4760740,4629285,4844466,4757769,4891246,4984940,5559846,5665815
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",11,    Construction,9560212,9750087,9679583,10253660,10913623,10849349,10873837,10143241,9024380,8485217,8799884,9466517,(D),10688343,(D),13223865,(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",12,    Manufacturing,26949729,27283976,30402402,28747861,29329600,30820367,34774922,31931031,31483467,34193719,34607376,35140597,(D),37076888,(D),38506783,(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",87,Natural resources and mining,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",336839,324173,355353,387451,453240,533071,513158,392297,334859,272313,290500,272006,267092,275624,316656,305560,361903,420537
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",10,    Utilities,(D),4991753,(D),(D),(D),(D),(D),5370143,5277552,5745280,6058052,(D),5864810,6257624,6437275,6280498,6556325,6513454
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",11,    Construction,18673559,19023186,20623965,22596276,24497915,25505834,25603409,23450155,18063685,15240368,14891650,16056859,18863370,20216748,22445003,23187589,24176243,25049344
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",12,    Manufacturing,55753913,53849630,56048167,59658015,60658414,61601274,65108559,60671978,59785065,64167002,70196959,74725013,71587852,73288008,73883575,74220440,76762105,81388229
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23967605,(D),25320828,26179755,27381507,29796704
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",87,Natural resources and mining,562694,559530,601423,841497,701931,869963,1144894,963561,596284,575340,975404,822403,1173451,(D),870745,745419,766682,666988
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),29832414,(D),31758103,32460253,33937832,36310158
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",2842943,2916333,3840404,4677744,7088842,9644107,13777556,21868379,13848343,15132928,16168784,13494038,13785553,15573620,(D),7058231,8490655,8249706
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",10,    Utilities,1599960,1676705,1758803,(D),1927274,(D),(D),2151061,2031122,(D),2473393,2464586,2404897,2509428,(D),(D),(D),(D)
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",11,    Construction,11833122,11769771,12331278,12657701,14621089,16655766,18052395,16528689,14905061,13379501,13487604,15360389,17265696,19647817,21270258,23621958,25537772,26654388
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",12,    Manufacturing,31396386,33254623,32799186,39021250,41198668,46048656,46274936,45707508,44318791,46396151,48645870,49578304,53235218,52478180,54084505,54242534,56834028,60458781
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",36,    Transportation and warehousing,9226971,9233278,9419711,10186405,11057002,12074589,12029306,12327391,11771714,11941976,13140216,13589049,13622845,15016854,17953519,18755228,20825406,22765011
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",87,Natural resources and mining,2931378,3030359,4018051,(D),7256673,9880600,(D),22156417,14126877,(D),16282706,13666384,14052435,15717589,(D),(D),(D),(D)
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",89,Transportation and utilities,10826932,10909983,11178514,(D),12984276,(D),(D),14478452,13802835,(D),15613609,16053635,16027741,17526282,(D),(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",6,"    Mining, quarrying, and oil and gas extraction",916982,706864,724432,1027703,1437341,1674913,2066620,2644205,2198734,2473321,2838229,2847235,2982367,3487980,2999908,2142448,2406681,2740163
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",10,    Utilities,673737,(D),741800,(D),900194,1201106,(D),(D),785639,(D),937983,(D),(D),859868,908089,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",11,    Construction,6539934,6393908,(D),(D),7028966,7111052,7066499,6762944,5722851,4632981,4846492,5318567,6746860,8111338,9261025,10405146,11250563,12091193
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",12,    Manufacturing,(D),(D),(D),(D),(D),(D),(D),10648330,(D),(D),(D),(D),11875300,12603357,13028789,12775907,(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6908578,8008469,9017895,8955439,9478376,10507132
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",,Addenda:,,,,,,,,,,,,,,,,,,
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",87,Natural resources and mining,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8868337,9925984,(D),(D),(D)
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",99884,98664,99490,118275,151789,174970,145478,152487,173304,237700,258446,252322,277081,282270,357035,371224,424325,421406
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",10,    Utilities,(D),1472701,(D),(D),1607117,1901353,2017368,2239217,2275743,2294802,2240122,(D),(D),(D),(D),(D),2382198,2583974
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",11,    Construction,8009278,7742295,7894289,8574233,8683782,8025690,7245052,6038746,5226599,5211590,5269985,5713950,6398678,7224625,8057197,8675079,9412967,9814154
