Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/4/89,,,AQS,
1/7/89,,,AQS,
1/11/89,,,AQS,
1/14/89,,,AQS,
1/18/89,,,AQS,
1/21/89,,,AQS,
1/25/89,,,AQS,
1/28/89,,,AQS,
2/1/89,,,AQS,
2/4/89,,,AQS,
2/8/89,,,AQS,
2/11/89,,,AQS,
2/15/89,,,AQS,
2/18/89,,,AQS,
2/22/89,,,AQS,
2/25/89,,,AQS,
3/1/89,,,AQS,
3/4/89,,,AQS,
3/8/89,,,AQS,
3/11/89,,,AQS,
3/15/89,,,AQS,
3/18/89,,,AQS,
3/22/89,,,AQS,
3/25/89,,,AQS,
3/29/89,,,AQS,
4/1/89,,,AQS,
4/3/89,AQS,26,,
4/4/89,AQS,19,,
4/5/89,AQS,14,AQS,
4/6/89,AQS,17,,
4/7/89,AQS,34,,
4/8/89,AQS,38,AQS,
4/9/89,AQS,44,,
4/10/89,AQS,44,,
4/11/89,AQS,44,,
4/12/89,AQS,51,,
4/13/89,AQS,71,,
4/14/89,AQS,90,,
4/15/89,AQS,42,AQS,
4/16/89,AQS,44,,
4/17/89,AQS,51,,
4/18/89,AQS,46,,
4/19/89,AQS,37,AQS,
4/20/89,AQS,37,,
4/21/89,AQS,46,,
4/22/89,AQS,40,AQS,
4/23/89,AQS,43,,
4/24/89,AQS,38,,
4/25/89,AQS,37,,
4/26/89,AQS,28,AQS,
4/27/89,AQS,34,,
4/28/89,AQS,38,,
4/29/89,AQS,46,AQS,
4/30/89,AQS,67,,
5/1/89,AQS,34,,
5/2/89,AQS,39,,
5/3/89,AQS,67,,
5/4/89,AQS,84,,
5/5/89,AQS,38,,
5/6/89,AQS,87,AQS,
5/7/89,AQS,40,,
5/8/89,AQS,31,,
5/9/89,AQS,28,,
5/10/89,AQS,32,AQS,
5/11/89,AQS,37,,
5/12/89,AQS,42,,
5/13/89,AQS,54,AQS,
5/14/89,AQS,61,,
5/15/89,AQS,61,,
5/16/89,AQS,46,,
5/17/89,AQS,39,,
5/18/89,AQS,35,,
5/19/89,AQS,39,,
5/20/89,AQS,58,AQS,
5/21/89,AQS,46,,
5/22/89,AQS,46,,
5/23/89,AQS,37,,
5/24/89,AQS,32,,
5/25/89,AQS,37,,
5/26/89,AQS,31,,
5/27/89,AQS,35,AQS,
5/28/89,AQS,31,,
5/29/89,AQS,34,,
5/30/89,AQS,37,,
5/31/89,AQS,46,,
6/1/89,AQS,46,,
6/2/89,AQS,54,,
6/3/89,AQS,54,AQS,
6/4/89,AQS,93,,
6/5/89,AQS,122,,
6/6/89,AQS,48,,
6/7/89,AQS,87,AQS,
6/8/89,AQS,33,,
6/9/89,AQS,32,,
6/10/89,AQS,77,AQS,
6/11/89,AQS,122,,
6/12/89,AQS,47,,
6/13/89,AQS,43,,
6/14/89,AQS,25,AQS,
6/15/89,AQS,43,,
6/16/89,AQS,42,,
6/17/89,AQS,37,AQS,
6/18/89,AQS,34,,
6/19/89,AQS,31,,
6/20/89,AQS,28,,
6/21/89,AQS,44,AQS,
6/22/89,AQS,44,,
6/23/89,AQS,47,,
6/24/89,AQS,143,AQS,
6/25/89,AQS,71,,
6/26/89,AQS,35,,
6/27/89,AQS,34,,
6/28/89,AQS,34,AQS,
6/29/89,AQS,26,,
6/30/89,AQS,28,,
7/1/89,AQS,23,AQS,
7/2/89,AQS,20,,
7/3/89,AQS,30,,
7/4/89,AQS,38,,
7/5/89,AQS,49,AQS,
7/6/89,AQS,51,,
7/7/89,AQS,44,,
7/8/89,AQS,31,AQS,
7/9/89,AQS,36,,
7/10/89,AQS,24,,
7/11/89,AQS,80,,
7/12/89,AQS,136,AQS,
7/13/89,AQS,41,,
7/14/89,AQS,34,,
7/15/89,AQS,31,AQS,
7/16/89,AQS,15,,
7/17/89,AQS,36,,
7/18/89,AQS,47,,
7/19/89,AQS,51,AQS,
7/20/89,AQS,26,,
7/21/89,AQS,36,,
7/22/89,AQS,54,AQS,
7/23/89,AQS,49,,
7/24/89,AQS,46,,
7/25/89,AQS,97,,
7/26/89,AQS,38,AQS,
7/27/89,AQS,29,,
7/28/89,AQS,97,,
7/29/89,AQS,100,AQS,
7/30/89,AQS,30,,
7/31/89,AQS,26,,
8/1/89,AQS,31,,
8/2/89,AQS,29,,
8/3/89,AQS,26,,
8/4/89,AQS,43,,
8/5/89,AQS,87,AQS,
8/6/89,AQS,97,,
8/7/89,AQS,67,,
8/8/89,AQS,43,,
8/9/89,AQS,36,,
8/10/89,AQS,33,,
8/11/89,AQS,43,,
8/12/89,AQS,46,AQS,
8/13/89,AQS,32,,
8/14/89,AQS,19,,
8/15/89,AQS,24,,
8/16/89,AQS,20,,
8/17/89,AQS,43,,
8/18/89,AQS,48,,
8/19/89,AQS,13,AQS,
8/20/89,AQS,19,,
8/21/89,AQS,27,,
8/22/89,AQS,31,,
8/23/89,AQS,29,,
8/24/89,AQS,22,,
8/25/89,AQS,40,,
8/26/89,AQS,48,AQS,
8/27/89,AQS,46,,
8/28/89,AQS,30,,
8/29/89,AQS,39,,
8/30/89,AQS,23,,
8/31/89,AQS,26,,
9/1/89,AQS,18,,
9/2/89,AQS,27,AQS,
9/3/89,AQS,41,,
9/4/89,AQS,41,,
9/5/89,AQS,32,,
9/6/89,AQS,35,,
9/7/89,AQS,49,,
9/8/89,AQS,51,,
9/9/89,AQS,42,AQS,
9/10/89,AQS,54,,
9/11/89,AQS,50,,
9/12/89,AQS,71,,
9/13/89,AQS,140,AQS,
9/14/89,AQS,122,,
9/15/89,AQS,44,,
9/16/89,AQS,20,AQS,
9/17/89,AQS,33,,
9/18/89,AQS,36,,
9/19/89,AQS,37,,
9/20/89,AQS,37,,
9/21/89,AQS,43,,
9/22/89,AQS,21,,
9/23/89,AQS,100,AQS,
9/24/89,AQS,129,,
9/25/89,AQS,29,,
9/26/89,AQS,16,,
9/27/89,AQS,24,,
9/28/89,AQS,22,,
9/29/89,AQS,30,,
9/30/89,AQS,27,AQS,
10/1/89,AQS,31,,
10/2/89,AQS,26,,
10/3/89,AQS,34,,
10/4/89,AQS,23,AQS,
10/5/89,AQS,19,,
10/6/89,AQS,29,,
10/7/89,AQS,23,AQS,
10/8/89,AQS,32,,
10/9/89,AQS,36,,
10/10/89,AQS,31,,
10/11/89,AQS,33,AQS,
10/12/89,AQS,27,,
10/13/89,AQS,26,,
10/14/89,AQS,31,AQS,
10/15/89,AQS,25,,
10/16/89,AQS,31,,
10/17/89,AQS,37,,
10/18/89,AQS,33,AQS,
10/19/89,AQS,16,,
10/20/89,AQS,27,,
10/21/89,AQS,27,AQS,
10/22/89,AQS,28,,
10/23/89,AQS,26,,
10/24/89,AQS,19,,
10/25/89,AQS,27,AQS,
10/26/89,AQS,25,,
10/27/89,AQS,18,,
10/28/89,AQS,22,AQS,
10/29/89,AQS,13,,
10/30/89,AQS,11,,
10/31/89,AQS,19,,
11/1/89,,,AQS,
11/4/89,,,AQS,
11/8/89,,,AQS,
11/11/89,,,AQS,
11/15/89,AQS,6,AQS,
11/16/89,AQS,2,,
11/17/89,AQS,3,,
11/18/89,AQS,4,AQS,
11/19/89,AQS,7,,
11/20/89,AQS,14,,
11/21/89,AQS,11,,
11/22/89,AQS,5,AQS,
11/23/89,AQS,26,,
11/24/89,AQS,25,,
11/25/89,AQS,19,AQS,
11/26/89,AQS,17,,
11/29/89,AQS,1,AQS,
11/30/89,AQS,1,,
12/1/89,AQS,0,,
12/2/89,AQS,12,AQS,
12/3/89,AQS,15,,
12/4/89,AQS,24,,
12/5/89,AQS,16,,
12/6/89,AQS,8,AQS,
12/7/89,AQS,13,,
12/8/89,AQS,22,,
12/9/89,AQS,19,AQS,
12/10/89,AQS,8,,
12/11/89,AQS,0,,
12/12/89,AQS,1,,
12/13/89,AQS,1,,
12/14/89,AQS,0,,
12/15/89,AQS,2,,
12/16/89,AQS,1,AQS,
12/17/89,AQS,6,,
12/18/89,AQS,9,,
12/19/89,AQS,14,,
12/20/89,AQS,11,,
12/21/89,AQS,5,,
12/22/89,AQS,7,,
12/23/89,AQS,3,AQS,
12/26/89,AQS,3,,
12/29/89,AQS,5,,
12/30/89,AQS,10,AQS,
12/31/89,AQS,17,,
