Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/5/91,,,AQS,
1/9/91,,,AQS,
1/12/91,,,AQS,
1/16/91,,,AQS,
1/19/91,,,AQS,
1/23/91,,,AQS,
1/26/91,,,AQS,
1/30/91,,,AQS,
2/2/91,,,AQS,
2/6/91,,,AQS,
2/9/91,,,AQS,
2/13/91,,,AQS,
2/16/91,,,AQS,
2/20/91,,,AQS,
2/23/91,,,AQS,
2/27/91,,,AQS,
3/2/91,,,AQS,
3/6/91,,,AQS,
3/9/91,,,AQS,
3/13/91,,,AQS,
3/16/91,,,AQS,
3/20/91,,,AQS,
3/23/91,,,AQS,
3/27/91,,,AQS,
3/30/91,,,AQS,
4/1/91,AQS,29,,
4/2/91,AQS,40,,
4/3/91,AQS,41,AQS,
4/4/91,AQS,37,,
4/5/91,AQS,44,,
4/6/91,AQS,39,AQS,
4/7/91,AQS,41,,
4/8/91,AQS,37,,
4/9/91,AQS,47,,
4/10/91,AQS,36,AQS,
4/11/91,AQS,39,,
4/12/91,AQS,44,,
4/13/91,AQS,47,AQS,
4/14/91,AQS,38,,
4/15/91,AQS,32,,
4/16/91,AQS,42,,
4/17/91,AQS,26,AQS,
4/18/91,AQS,39,,
4/19/91,AQS,47,,
4/20/91,AQS,64,AQS,
4/21/91,AQS,43,,
4/22/91,AQS,32,,
4/23/91,AQS,42,,
4/24/91,AQS,43,AQS,
4/25/91,AQS,44,,
4/26/91,AQS,41,,
4/27/91,AQS,42,AQS,
4/28/91,AQS,43,,
4/29/91,AQS,41,,
4/30/91,AQS,49,,
5/1/91,AQS,51,AQS,
5/2/91,AQS,51,,
5/3/91,AQS,46,,
5/4/91,AQS,58,AQS,
5/5/91,AQS,61,,
5/6/91,AQS,37,,
5/7/91,AQS,49,,
5/8/91,AQS,45,AQS,
5/9/91,AQS,41,,
5/10/91,AQS,31,,
5/11/91,AQS,36,AQS,
5/12/91,AQS,41,,
5/13/91,AQS,36,,
5/14/91,AQS,43,,
5/15/91,AQS,50,AQS,
5/16/91,AQS,49,,
5/17/91,AQS,32,,
5/18/91,AQS,29,AQS,
5/19/91,AQS,25,,
5/20/91,AQS,30,,
5/21/91,AQS,30,,
5/22/91,AQS,39,AQS,
5/23/91,AQS,43,,
5/24/91,AQS,40,,
5/25/91,AQS,35,AQS,
5/26/91,AQS,33,,
5/27/91,AQS,36,,
5/28/91,AQS,32,,
5/29/91,AQS,35,AQS,
5/30/91,AQS,38,,
5/31/91,AQS,42,,
6/1/91,AQS,48,AQS,
6/2/91,AQS,36,,
6/3/91,AQS,37,,
6/4/91,AQS,34,,
6/5/91,AQS,38,AQS,
6/6/91,AQS,36,,
6/7/91,AQS,28,,
6/8/91,AQS,38,AQS,
6/9/91,AQS,49,,
6/10/91,AQS,42,,
6/11/91,AQS,32,,
6/12/91,AQS,28,AQS,
6/13/91,AQS,26,,
6/14/91,AQS,28,,
6/15/91,AQS,31,AQS,
6/16/91,AQS,35,,
6/17/91,AQS,32,,
6/18/91,AQS,41,,
6/19/91,AQS,40,AQS,
6/20/91,AQS,22,,
6/21/91,AQS,27,,
6/22/91,AQS,33,AQS,
6/23/91,AQS,42,,
6/24/91,AQS,34,,
6/25/91,AQS,25,,
6/26/91,AQS,30,AQS,
6/27/91,AQS,61,,
6/28/91,AQS,80,,
6/29/91,AQS,23,AQS,
6/30/91,AQS,34,,
7/1/91,AQS,100,,
7/2/91,AQS,166,,
7/3/91,AQS,100,AQS,
7/4/91,AQS,74,,
7/5/91,AQS,38,,
7/6/91,AQS,48,AQS,
7/7/91,AQS,77,,
7/8/91,AQS,54,,
7/9/91,AQS,26,,
7/10/91,AQS,39,AQS,
7/11/91,AQS,71,,
7/12/91,AQS,122,,
7/13/91,AQS,31,AQS,
7/14/91,AQS,44,,
7/15/91,AQS,30,,
7/16/91,AQS,23,,
7/17/91,AQS,23,AQS,
7/18/91,AQS,39,,
7/19/91,AQS,31,,
7/20/91,AQS,46,AQS,
7/21/91,AQS,38,,
7/22/91,AQS,101,,
7/23/91,AQS,154,,
7/24/91,AQS,27,AQS,
7/25/91,AQS,19,,
7/26/91,AQS,34,,
7/27/91,AQS,46,AQS,
7/28/91,AQS,97,,
7/29/91,AQS,44,,
7/30/91,AQS,80,,
7/31/91,AQS,101,AQS,
8/1/91,AQS,41,,
8/2/91,AQS,67,,
8/3/91,AQS,126,AQS,
8/4/91,AQS,71,,
8/5/91,AQS,31,,
8/6/91,AQS,44,,
8/7/91,AQS,29,,
8/8/91,AQS,40,,
8/9/91,AQS,22,,
8/10/91,AQS,31,AQS,
8/11/91,AQS,38,,
8/12/91,AQS,47,,
8/13/91,AQS,44,,
8/14/91,AQS,84,,
8/15/91,AQS,126,,
8/16/91,AQS,48,,
8/17/91,AQS,140,AQS,
8/18/91,AQS,154,,
8/19/91,AQS,90,,
8/20/91,AQS,84,,
8/21/91,AQS,71,AQS,
8/22/91,AQS,48,,
8/23/91,AQS,67,,
8/24/91,AQS,45,AQS,
8/25/91,AQS,44,,
8/26/91,AQS,41,,
8/27/91,AQS,24,,
8/28/91,AQS,22,AQS,
8/29/91,AQS,19,,
8/30/91,AQS,21,,
8/31/91,AQS,22,AQS,
9/1/91,AQS,32,,
9/2/91,AQS,44,,
9/3/91,AQS,38,,
9/4/91,AQS,61,,
9/5/91,AQS,74,,
9/6/91,AQS,49,,
9/7/91,AQS,28,AQS,
9/8/91,AQS,27,,
9/9/91,AQS,32,,
9/10/91,AQS,37,,
9/11/91,AQS,40,,
9/12/91,AQS,19,,
9/13/91,AQS,28,,
9/14/91,AQS,38,AQS,
9/15/91,AQS,41,,
9/16/91,AQS,32,,
9/17/91,AQS,42,,
9/18/91,AQS,49,AQS,
9/19/91,AQS,100,,
9/20/91,AQS,30,,
9/21/91,AQS,30,AQS,
9/22/91,AQS,33,,
9/23/91,AQS,35,,
9/24/91,AQS,44,,
9/25/91,AQS,48,AQS,
9/26/91,AQS,67,,
9/27/91,AQS,19,,
9/28/91,AQS,24,AQS,
9/29/91,AQS,31,,
9/30/91,AQS,38,,
10/1/91,AQS,74,,
10/2/91,AQS,29,AQS,
10/3/91,AQS,28,,
10/4/91,AQS,42,,
10/5/91,AQS,42,AQS,
10/6/91,AQS,37,,
10/7/91,AQS,39,,
10/8/91,AQS,35,,
10/9/91,AQS,36,AQS,
10/10/91,AQS,45,,
10/11/91,AQS,46,,
10/12/91,AQS,31,AQS,
10/13/91,AQS,33,,
10/14/91,AQS,30,,
10/15/91,AQS,44,,
10/16/91,AQS,33,AQS,
10/17/91,AQS,28,,
10/18/91,AQS,26,,
10/19/91,AQS,19,AQS,
10/20/91,AQS,27,,
10/21/91,AQS,31,,
10/22/91,AQS,22,,
10/23/91,AQS,24,AQS,
10/24/91,AQS,25,,
10/25/91,AQS,27,,
10/26/91,AQS,23,AQS,
10/27/91,AQS,23,,
10/28/91,AQS,27,,
10/29/91,AQS,31,,
10/30/91,AQS,31,AQS,
10/31/91,AQS,16,,
11/2/91,,,AQS,
11/6/91,,,AQS,
11/9/91,,,AQS,
11/13/91,,,AQS,
11/16/91,,,AQS,
11/20/91,,,AQS,
11/23/91,,,AQS,
11/27/91,,,AQS,
11/30/91,,,AQS,
12/4/91,,,AQS,
12/7/91,,,AQS,
12/11/91,,,AQS,
12/14/91,,,AQS,
12/18/91,,,AQS,
12/21/91,,,AQS,
12/25/91,,,AQS,
12/28/91,,,AQS,
12/29/91,,,,
12/30/91,,,,
12/31/91,,,,
