Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/97,AQS,12,,
1/2/97,AQS,24,,
1/3/97,AQS,18,,
1/4/97,AQS,27,,
1/5/97,AQS,31,,
1/6/97,AQS,25,,
1/7/97,AQS,29,,
1/8/97,AQS,17,,
1/9/97,AQS,24,,
1/10/97,AQS,26,,
1/11/97,AQS,26,,
1/12/97,AQS,29,,
1/13/97,AQS,28,,
1/14/97,AQS,24,,
1/15/97,AQS,31,,
1/16/97,AQS,34,,
1/17/97,AQS,31,,
1/18/97,AQS,29,,
1/19/97,AQS,35,,
1/20/97,AQS,32,,
1/21/97,AQS,35,,
1/22/97,AQS,31,,
1/23/97,AQS,22,,
1/24/97,AQS,28,,
1/25/97,AQS,30,,
1/26/97,AQS,22,,
1/27/97,AQS,30,,
1/28/97,AQS,32,,
1/29/97,AQS,25,,
1/30/97,AQS,19,,
1/31/97,AQS,31,,
2/1/97,AQS,20,,
2/2/97,AQS,21,,
2/3/97,AQS,24,,
2/4/97,AQS,28,,
2/5/97,AQS,29,,
2/6/97,AQS,28,,
2/7/97,AQS,22,,
2/8/97,AQS,17,,
2/9/97,AQS,29,,
2/10/97,AQS,31,,
2/11/97,AQS,32,,
2/12/97,AQS,33,,
2/13/97,AQS,18,,
2/14/97,AQS,34,,
2/15/97,AQS,34,,
2/16/97,AQS,31,,
2/17/97,AQS,30,,
2/18/97,AQS,51,,
2/19/97,AQS,34,,
2/20/97,AQS,26,,
2/21/97,AQS,36,,
2/22/97,AQS,31,,
2/23/97,AQS,33,,
2/24/97,AQS,31,,
2/25/97,AQS,27,,
2/26/97,AQS,15,,
2/27/97,AQS,34,,
2/28/97,AQS,30,,
3/1/97,AQS,32,,
3/2/97,AQS,36,,
3/3/97,AQS,33,,
3/4/97,AQS,31,,
3/5/97,AQS,29,,
3/6/97,AQS,40,,
3/7/97,AQS,42,,
3/8/97,AQS,36,,
3/9/97,AQS,32,,
3/10/97,AQS,36,,
3/11/97,AQS,41,,
3/12/97,AQS,39,,
3/13/97,AQS,23,,
3/14/97,AQS,38,,
3/15/97,AQS,38,,
3/16/97,AQS,39,,
3/17/97,AQS,36,,
3/18/97,AQS,24,,
3/19/97,AQS,38,,
3/20/97,AQS,40,,
3/21/97,AQS,80,,
3/22/97,AQS,45,,
3/23/97,AQS,49,,
3/24/97,AQS,45,,
3/25/97,AQS,37,,
3/26/97,AQS,43,,
3/27/97,AQS,50,,
3/28/97,AQS,48,,
3/29/97,AQS,39,,
3/30/97,AQS,39,,
3/31/97,AQS,38,,
4/1/97,AQS,38,,
4/2/97,AQS,48,,
4/3/97,AQS,97,,
4/4/97,AQS,44,,
4/5/97,AQS,44,,
4/6/97,AQS,41,,
4/7/97,AQS,41,,
4/8/97,AQS,36,,
4/9/97,AQS,40,,
4/10/97,AQS,32,,
4/11/97,AQS,44,,
4/12/97,AQS,47,,
4/13/97,AQS,50,,
4/14/97,AQS,51,,
4/15/97,AQS,77,,
4/16/97,AQS,44,,
4/17/97,AQS,45,,
4/18/97,AQS,67,,
4/19/97,AQS,87,,
4/20/97,AQS,44,,
4/21/97,AQS,50,,
4/22/97,AQS,51,,
4/23/97,AQS,46,,
4/24/97,AQS,45,,
4/25/97,AQS,54,,
4/26/97,AQS,48,,
4/27/97,AQS,44,,
4/28/97,AQS,77,,
4/29/97,AQS,115,,
4/30/97,AQS,54,,
5/1/97,AQS,44,,
5/2/97,AQS,41,,
5/3/97,AQS,45,,
5/4/97,AQS,54,,
5/5/97,AQS,64,,
5/6/97,AQS,61,,
5/7/97,AQS,67,,
5/8/97,AQS,50,,
5/9/97,AQS,45,,
5/10/97,AQS,58,,
5/11/97,AQS,90,,
5/12/97,AQS,43,,
5/13/97,AQS,49,,
5/14/97,AQS,36,,
5/15/97,AQS,48,,
5/16/97,AQS,47,,
5/17/97,AQS,101,,
5/18/97,AQS,71,,
5/19/97,AQS,43,,
5/20/97,AQS,50,,
5/21/97,AQS,50,,
5/22/97,AQS,50,,
5/23/97,AQS,119,,
5/24/97,AQS,77,,
5/25/97,AQS,44,,
5/26/97,AQS,41,,
5/27/97,AQS,42,,
5/28/97,AQS,33,,
5/29/97,AQS,58,,
5/30/97,AQS,36,,
5/31/97,AQS,100,,
6/1/97,AQS,61,,
6/2/97,AQS,46,,
6/3/97,AQS,38,,
6/4/97,AQS,45,,
6/5/97,AQS,48,,
6/6/97,AQS,74,,
6/7/97,AQS,84,,
6/8/97,AQS,47,,
6/9/97,AQS,45,,
6/10/97,AQS,54,,
6/11/97,AQS,97,,
6/12/97,AQS,80,,
6/13/97,AQS,47,,
6/14/97,AQS,87,,
6/15/97,AQS,108,,
6/16/97,AQS,58,,
6/17/97,AQS,67,,
6/18/97,AQS,119,,
6/19/97,AQS,119,,
6/20/97,AQS,156,,
6/21/97,AQS,50,,
6/22/97,AQS,84,,
6/23/97,AQS,161,,
6/24/97,AQS,80,,
6/25/97,AQS,80,,
6/26/97,AQS,105,,
6/27/97,AQS,122,,
6/28/97,AQS,115,,
6/29/97,AQS,97,,
6/30/97,AQS,61,,
7/1/97,AQS,143,,
7/2/97,AQS,80,,
7/3/97,AQS,51,,
7/4/97,AQS,27,,
7/5/97,AQS,54,,
7/6/97,AQS,64,,
7/7/97,AQS,122,,
7/8/97,AQS,100,,
7/9/97,AQS,77,,
7/10/97,AQS,90,,
7/11/97,AQS,150,,
7/12/97,AQS,150,,
7/13/97,AQS,77,,
7/14/97,AQS,115,,
7/15/97,AQS,100,,
7/16/97,AQS,112,,
7/17/97,AQS,197,,
7/18/97,AQS,197,,
7/19/97,AQS,105,,
7/20/97,AQS,204,,
7/21/97,AQS,169,,
7/22/97,AQS,93,,
7/23/97,AQS,84,,
7/24/97,AQS,179,,
7/25/97,AQS,207,,
7/26/97,AQS,192,,
7/27/97,AQS,133,,
7/28/97,AQS,129,,
7/29/97,AQS,48,,
7/30/97,AQS,51,,
7/31/97,AQS,133,,
8/1/97,AQS,172,,
8/2/97,AQS,151,,
8/3/97,AQS,172,,
8/4/97,AQS,84,,
8/5/97,AQS,41,,
8/6/97,AQS,51,,
8/7/97,AQS,112,,
8/8/97,AQS,126,,
8/9/97,AQS,36,,
8/10/97,AQS,77,,
8/11/97,AQS,101,,
8/12/97,AQS,39,,
8/13/97,AQS,36,,
8/14/97,AQS,43,,
8/15/97,AQS,51,,
8/16/97,AQS,61,,
8/17/97,AQS,44,,
8/18/97,AQS,42,,
8/19/97,AQS,21,,
8/20/97,AQS,32,,
8/21/97,AQS,37,,
8/22/97,AQS,41,,
8/23/97,AQS,74,,
8/24/97,AQS,90,,
8/25/97,AQS,87,,
8/26/97,AQS,100,,
8/27/97,AQS,143,,
8/28/97,AQS,143,,
8/29/97,AQS,84,,
8/30/97,AQS,101,,
8/31/97,AQS,143,,
9/1/97,AQS,147,,
9/2/97,AQS,112,,
9/3/97,AQS,34,,
9/4/97,AQS,43,,
9/5/97,AQS,100,,
9/6/97,AQS,150,,
9/7/97,AQS,140,,
9/8/97,AQS,49,,
9/9/97,AQS,42,,
9/10/97,AQS,33,,
9/11/97,AQS,38,,
9/12/97,AQS,84,,
9/13/97,AQS,77,,
9/14/97,AQS,143,,
9/15/97,AQS,129,,
9/16/97,AQS,122,,
9/17/97,AQS,37,,
9/18/97,AQS,77,,
9/19/97,AQS,97,,
9/20/97,AQS,29,,
9/21/97,AQS,38,,
9/22/97,AQS,46,,
9/23/97,AQS,29,,
9/24/97,AQS,36,,
9/25/97,AQS,45,,
9/26/97,AQS,50,,
9/27/97,AQS,97,,
9/28/97,AQS,36,,
9/29/97,AQS,42,,
9/30/97,AQS,40,,
10/1/97,AQS,40,,
10/2/97,AQS,64,,
10/3/97,AQS,133,,
10/4/97,AQS,190,,
10/5/97,AQS,115,,
10/6/97,AQS,100,,
10/7/97,AQS,58,,
10/8/97,AQS,48,,
10/9/97,AQS,31,,
10/10/97,AQS,39,,
10/11/97,AQS,54,,
10/12/97,AQS,46,,
10/13/97,AQS,36,,
10/14/97,AQS,30,,
10/15/97,AQS,28,,
10/16/97,AQS,28,,
10/17/97,AQS,31,,
10/18/97,AQS,37,,
10/19/97,AQS,49,,
10/20/97,AQS,27,,
10/21/97,AQS,71,,
10/22/97,AQS,26,,
10/23/97,AQS,29,,
10/24/97,AQS,22,,
10/25/97,AQS,28,,
10/26/97,AQS,23,,
10/27/97,AQS,28,,
10/28/97,AQS,31,,
10/29/97,AQS,32,,
10/30/97,AQS,35,,
10/31/97,AQS,37,,
11/1/97,AQS,26,,
11/2/97,AQS,27,,
11/3/97,AQS,25,,
11/4/97,AQS,19,,
11/5/97,AQS,20,,
11/6/97,AQS,13,,
11/7/97,AQS,15,,
11/8/97,AQS,31,,
