Date,Value,,,
1985,80.7,,,
1986,77.6,,,
1987,77.6,,,
1988,80.9,,,
1989,81.7,,,
1990,79.3,,,
1991,79.3,,,
1992,78.1,,,
1993,78.3,,,
1994,81.3,,,
1995,80.3,,,
1996,82.3,,,
1997,79.4,,,
1998,81.2,,,
1999,78.3,,,
2000,81.5,,,
2001,79.8,,,
2002,82.3,,,
2003,83.8,,,
2004,80.1,,,
2005,82.7,,,
2006,82.3,,,
2007,82,,,
2008,80.4,,,
2009,82.8,,,
2010,81.8,,,
2011,80.8,,,
2012,80,,,
2013,81,,,
2014,81.4,,,
2015,78.6,,,
2016,82.4,,,
2017,81.5,,,
2018,82.3,,,
2019,81.8,,,
2020,83,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
