Date,Value,Anomaly\
1985,44.1,-1.9\
1986,46.3,0.3\
1987,45.2,-0.8\
1988,45.1,-0.9\
1989,45.4,-0.6\
1990,45.6,-0.4\
1991,45,-1.0\
1992,45.3,-0.7\
1993,43.8,-2.2\
1994,46.5,0.5\
1995,45.7,-0.3\
1996,45.8,-0.2\
1997,44.8,-1.2\
1998,46.2,0.2\
1999,46.6,0.6\
2000,47,1.0\
2001,46.8,0.8\
2002,46.1,0.1\
2003,47,1.0\
2004,45.8,-0.2\
2005,46.8,0.8\
2006,46.5,0.5\
2007,46.2,0.2\
2008,44.9,-1.1\
2009,45.2,-0.8\
2010,46.2,0.2\
2011,45.4,-0.6\
2012,48.3,2.3\
2013,45.1,-0.9\
2014,46.1,0.1\
2015,47.4,1.4\
2016,47.3,1.3\
2017,47.9,1.9\
2018,47.2,1.2\
2019,45.3,-0.7}
2020,,
