Date,Value,Anomaly\
1985,55.3,-0.6\
1986,55.1,-0.8\
1987,54.9,-1.0\
1988,54.1,-1.8\
1989,54.2,-1.7\
1990,57.2,1.3\
1991,56.9,1.0\
1992,53.9,-2.0\
1993,54.8,-1.1\
1994,55,-0.9\
1995,55.1,-0.8\
1996,54,-1.9\
1997,54.8,-1.1\
1998,57.4,1.5\
1999,56.5,0.6\
2000,54.7,-1.2\
2001,56.1,0.2\
2002,57.2,1.3\
2003,54.6,-1.3\
2004,55.8,-0.1\
2005,55.7,-0.2\
2006,57.3,1.4\
2007,56.3,0.4\
2008,56.3,0.4\
2009,55.4,-0.5\
2010,56.7,0.8\
2011,57.4,1.5\
2012,58.5,2.6\
2013,55.8,-0.1\
2014,54.7,-1.2\
2015,56.4,0.5\
2016,57.4,1.5\
2017,57.6,1.7\
2018,57.1,1.2\
2019,57.6,1.7}
2020,,
