Date,Value,Anomaly\
1985,63.8,-0.3\
1986,65,0.9\
1987,63.3,-0.8\
1988,62.4,-1.7\
1989,63.2,-0.9\
1990,65.7,1.6\
1991,64.5,0.4\
1992,62.7,-1.4\
1993,63.2,-0.9\
1994,63.6,-0.5\
1995,63.5,-0.6\
1996,62.6,-1.5\
1997,63.2,-0.9\
1998,65.7,1.6\
1999,64.5,0.4\
2000,63.3,-0.8\
2001,63.9,-0.2\
2002,64.4,0.3\
2003,63.3,-0.8\
2004,64,-0.1\
2005,63.8,-0.3\
2006,64.5,0.4\
2007,64.8,0.7\
2008,63.5,-0.6\
2009,63.4,-0.7\
2010,63,-1.1\
2011,64.6,0.5\
2012,65.5,1.4\
2013,63.4,-0.7\
2014,63,-1.1\
2015,65.3,1.2\
2016,65.8,1.7\
2017,65.8,1.7\
2018,65.1,1.0\
2019,66.2,2.1}
2020,,
