Date,Value,Anomaly\
1985,50.6,-2.0\
1986,52.8,0.2\
1987,54.1,1.5\
1988,52.1,-0.5\
1989,50.4,-2.2\
1990,53.6,1.0\
1991,53.7,1.1\
1992,51.9,-0.7\
1993,50.9,-1.7\
1994,52,-0.6\
1995,51.6,-1.0\
1996,50.1,-2.5\
1997,51,-1.6\
1998,55.2,2.6\
1999,53.5,0.9\
2000,52.2,-0.4\
2001,53.4,0.8\
2002,53.2,0.6\
2003,51.7,-0.9\
2004,52.6,0.0\
2005,53.7,1.1\
2006,54,1.4\
2007,53.7,1.1\
2008,50.9,-1.7\
2009,51.4,-1.2\
2010,52.9,0.3\
2011,53.1,0.5\
2012,55.8,3.2\
2013,51.1,-1.5\
2014,49.5,-3.1\
2015,52.9,0.3\
2016,54.7,2.1\
2017,54.4,1.8\
2018,52.5,-0.1\
2019,52.1,-0.5}
2020,,
