Date,Value,Anomaly\
1985,51,-1.3\
1986,52.4,0.1\
1987,53.2,0.9\
1988,51.3,-1.0\
1989,50.2,-2.1\
1990,53.3,1.0\
1991,53.7,1.4\
1992,51.3,-1.0\
1993,50.8,-1.5\
1994,51.5,-0.8\
1995,51.5,-0.8\
1996,50,-2.3\
1997,50.5,-1.8\
1998,55,2.7\
1999,53.2,0.9\
2000,51.6,-0.7\
2001,53.2,0.9\
2002,53.1,0.8\
2003,51.1,-1.2\
2004,52.2,-0.1\
2005,52.8,0.5\
2006,53.4,1.1\
2007,53.3,1.0\
2008,51,-1.3\
2009,51.3,-1.0\
2010,52.6,0.3\
2011,53.1,0.8\
2012,55.1,2.8\
2013,51.2,-1.1\
2014,49.4,-2.9\
2015,52.3,0.0\
2016,54.2,1.9\
2017,54,1.7\
2018,52.6,0.3\
2019,52.4,0.1}
2020,,
