Date,Value,Anomaly\
1985,47.2,-1.3\
1986,47.2,-1.3\
1987,47.4,-1.1\
1988,47.2,-1.3\
1989,46.6,-1.9\
1990,49.7,1.2\
1991,49.6,1.1\
1992,46.4,-2.1\
1993,47.3,-1.2\
1994,47.7,-0.8\
1995,47.8,-0.7\
1996,47.3,-1.2\
1997,47.4,-1.1\
1998,50.4,1.9\
1999,49.8,1.3\
2000,47.5,-1.0\
2001,49.1,0.6\
2002,49.3,0.8\
2003,47.1,-1.4\
2004,47.6,-0.9\
2005,48.4,-0.1\
2006,50.1,1.6\
2007,48.3,-0.2\
2008,48.6,0.1\
2009,47.7,-0.8\
2010,50.4,1.9\
2011,49.7,1.2\
2012,51.3,2.8\
2013,48.8,0.3\
2014,47.7,-0.8\
2015,48.5,0.0\
2016,50.3,1.8\
2017,49.6,1.1\
2018,49.5,1.0\
2019,48.6,0.1}
2020,,
