Date,Value,Anomaly\
1985,43.5,-1.5\
1986,44.5,-0.5\
1987,46.9,1.9\
1988,44.5,-0.5\
1989,42.6,-2.4\
1990,45.7,0.7\
1991,45.8,0.8\
1992,43.3,-1.7\
1993,43.2,-1.8\
1994,43.9,-1.1\
1995,44.2,-0.8\
1996,42.5,-2.5\
1997,43.5,-1.5\
1998,48.2,3.2\
1999,46.4,1.4\
2000,45,0.0\
2001,46.8,1.8\
2002,45.7,0.7\
2003,44,-1.0\
2004,44.6,-0.4\
2005,46,1.0\
2006,47,2.0\
2007,46.1,1.1\
2008,44,-1.0\
2009,43.8,-1.2\
2010,47.1,2.1\
2011,45.6,0.6\
2012,48.4,3.4\
2013,44.1,-0.9\
2014,41.9,-3.1\
2015,45.1,0.1\
2016,47.4,2.4\
2017,46.3,1.3\
2018,45.1,0.1\
2019,44,-1.0}
2020,,
