Date,Value,Anomaly\
1985,38.7,-2.9\
1986,41.5,-0.1\
1987,45.3,3.7\
1988,41.6,0.0\
1989,39.1,-2.5\
1990,42.5,0.9\
1991,41.7,0.1\
1992,40.9,-0.7\
1993,38.9,-2.7\
1994,40.9,-0.7\
1995,40.3,-1.3\
1996,37.6,-4.0\
1997,40.6,-1.0\
1998,44.9,3.3\
1999,43.7,2.1\
2000,41.8,0.2\
2001,43,1.4\
2002,42,0.4\
2003,41.5,-0.1\
2004,41.3,-0.3\
2005,43.1,1.5\
2006,44.4,2.8\
2007,42.4,0.8\
2008,39.4,-2.2\
2009,40.1,-1.5\
2010,42.8,1.2\
2011,42,0.4\
2012,45.2,3.6\
2013,39.3,-2.3\
2014,38.6,-3.0\
2015,43.5,1.9\
2016,44.6,3.0\
2017,42.6,1.0\
2018,40.6,-1.0\
2019,39.3,-2.3}
2020,,
