Date,Value,Anomaly\
1985,53,-2.2\
1986,55.9,0.7\
1987,56.3,1.1\
1988,54.6,-0.6\
1989,53,-2.2\
1990,56.2,1.0\
1991,56.1,0.9\
1992,54.5,-0.7\
1993,53,-2.2\
1994,54.7,-0.5\
1995,54.2,-1.0\
1996,52.9,-2.3\
1997,53.7,-1.5\
1998,57.2,2.0\
1999,56.4,1.2\
2000,55.1,-0.1\
2001,55.8,0.6\
2002,55.3,0.1\
2003,54.5,-0.7\
2004,55,-0.2\
2005,56.2,1.0\
2006,56.8,1.6\
2007,56.2,1.0\
2008,53.4,-1.8\
2009,54,-1.2\
2010,55.2,0.0\
2011,55.6,0.4\
2012,58.5,3.3\
2013,53.6,-1.6\
2014,52.9,-2.3\
2015,55.8,0.6\
2016,57.4,2.2\
2017,57.1,1.9\
2018,55.2,0.0\
2019,55,-0.2}
2020,,
