Date,Value,Anomaly\
1985,42.4,-1.4\
1986,42.7,-1.1\
1987,43.1,-0.7\
1988,42.7,-1.1\
1989,41.7,-2.1\
1990,45,1.2\
1991,44.5,0.7\
1992,41.8,-2.0\
1993,42.5,-1.3\
1994,42.7,-1.1\
1995,43.3,-0.5\
1996,43,-0.8\
1997,42.3,-1.5\
1998,46,2.2\
1999,45.4,1.6\
2000,43,-0.8\
2001,44.6,0.8\
2002,44.5,0.7\
2003,42.5,-1.3\
2004,43,-0.8\
2005,44,0.2\
2006,45.8,2.0\
2007,43.1,-0.7\
2008,43.8,0.0\
2009,43,-0.8\
2010,46,2.2\
2011,44.9,1.1\
2012,46.6,2.8\
2013,44.2,0.4\
2014,43,-0.8\
2015,43.6,-0.2\
2016,45.7,1.9\
2017,44.9,1.1\
2018,44.4,0.6\
2019,43.3,-0.5}
2020,,
