Date,Value,Anomaly\
1985,52.5,-0.8\
1986,52.3,-1.0\
1987,52.4,-0.9\
1988,51.6,-1.7\
1989,51.5,-1.8\
1990,54.4,1.1\
1991,54.4,1.1\
1992,51.2,-2.1\
1993,52.2,-1.1\
1994,52.2,-1.1\
1995,52.5,-0.8\
1996,51.5,-1.8\
1997,52,-1.3\
1998,55.2,1.9\
1999,54.1,0.8\
2000,52.2,-1.1\
2001,53.6,0.3\
2002,54.3,1.0\
2003,51.8,-1.5\
2004,53,-0.3\
2005,53.4,0.1\
2006,55,1.7\
2007,53.6,0.3\
2008,53.6,0.3\
2009,52.7,-0.6\
2010,54.7,1.4\
2011,54.9,1.6\
2012,55.9,2.6\
2013,53.2,-0.1\
2014,51.9,-1.4\
2015,53.9,0.6\
2016,54.9,1.6\
2017,54.6,1.3\
2018,54.2,0.9\
2019,54.3,1.0}
2020,,
