Date,Value,Anomaly\
1985,44.7,-1.1\
1986,45.1,-0.7\
1987,45.7,-0.1\
1988,44.8,-1.0\
1989,43.8,-2.0\
1990,47.3,1.5\
1991,47.1,1.3\
1992,43.8,-2.0\
1993,44.2,-1.6\
1994,44.3,-1.5\
1995,45.2,-0.6\
1996,44.5,-1.3\
1997,44.3,-1.5\
1998,48.3,2.5\
1999,46.9,1.1\
2000,44.9,-0.9\
2001,46.9,1.1\
2002,46.8,1.0\
2003,44.5,-1.3\
2004,45.2,-0.6\
2005,46.2,0.4\
2006,47.6,1.8\
2007,45.7,-0.1\
2008,45.8,0.0\
2009,45,-0.8\
2010,47.2,1.4\
2011,47.1,1.3\
2012,48.8,3.0\
2013,45.7,-0.1\
2014,44.5,-1.3\
2015,45.7,-0.1\
2016,47.6,1.8\
2017,46.9,1.1\
2018,46.2,0.4\
2019,45.3,-0.5}
2020,,
