Date,Value,Anomaly\
1985,48.5,-0.8\
1986,48.8,-0.5\
1987,49.2,-0.1\
1988,48.1,-1.2\
1989,47.5,-1.8\
1990,50.7,1.4\
1991,50.7,1.4\
1992,47.6,-1.7\
1993,48.2,-1.1\
1994,48,-1.3\
1995,48.5,-0.8\
1996,47.6,-1.7\
1997,48,-1.3\
1998,51.8,2.5\
1999,50,0.7\
2000,48.5,-0.8\
2001,49.9,0.6\
2002,50.3,1.0\
2003,48,-1.3\
2004,49.1,-0.2\
2005,49.5,0.2\
2006,50.8,1.5\
2007,49.5,0.2\
2008,48.8,-0.5\
2009,48.4,-0.9\
2010,50.1,0.8\
2011,50.4,1.1\
2012,51.8,2.5\
2013,49,-0.3\
2014,47.4,-1.9\
2015,49.5,0.2\
2016,50.9,1.6\
2017,50.6,1.3\
2018,49.8,0.5\
2019,49.9,0.6}
2020,,
