Date,Value,Anomaly\
1985,64.4,-1.2\
1986,65.5,-0.1\
1987,63.8,-1.8\
1988,64.3,-1.3\
1989,64.3,-1.3\
1990,65.6,0.0\
1991,64.8,-0.8\
1992,64.4,-1.2\
1993,64.1,-1.5\
1994,65.6,0.0\
1995,65.2,-0.4\
1996,65.4,-0.2\
1997,63.9,-1.7\
1998,67,1.4\
1999,66.6,1.0\
2000,66.5,0.9\
2001,65.7,0.1\
2002,65,-0.6\
2003,65.5,-0.1\
2004,65.2,-0.4\
2005,66,0.4\
2006,67.1,1.5\
2007,64.8,-0.8\
2008,65.5,-0.1\
2009,65.8,0.2\
2010,65.1,-0.5\
2011,67.3,1.7\
2012,67.8,2.2\
2013,65.1,-0.5\
2014,64.8,-0.8\
2015,65.8,0.2\
2016,67.2,1.6\
2017,67.3,1.7\
2018,66,0.4\
2019,65.9,0.3}
2020,,
