Date,Value,Anomaly\
1985,55.4,-0.4\
1986,55.6,-0.2\
1987,55.2,-0.6\
1988,53.9,-1.9\
1989,54.4,-1.4\
1990,57.4,1.6\
1991,57,1.2\
1992,54.4,-1.4\
1993,55.1,-0.7\
1994,55.3,-0.5\
1995,55,-0.8\
1996,54,-1.8\
1997,54.5,-1.3\
1998,57.4,1.6\
1999,56.3,0.5\
2000,54.9,-0.9\
2001,55.8,0.0\
2002,56.6,0.8\
2003,55,-0.8\
2004,55.9,0.1\
2005,55.9,0.1\
2006,56.6,0.8\
2007,56.8,1.0\
2008,55.7,-0.1\
2009,55.2,-0.6\
2010,55.9,0.1\
2011,57,1.2\
2012,57.6,1.8\
2013,55.1,-0.7\
2014,54.4,-1.4\
2015,56.5,0.7\
2016,57.1,1.3\
2017,57.3,1.5\
2018,56.6,0.8\
2019,57.5,1.7}
2020,,
