Date,Value,Anomaly\
1985,70.8,-0.5\
1986,71.5,0.2\
1987,70.2,-1.1\
1988,69.7,-1.6\
1989,71,-0.3\
1990,72.5,1.2\
1991,71.8,0.5\
1992,70.3,-1.0\
1993,70.3,-1.0\
1994,71.6,0.3\
1995,70.8,-0.5\
1996,69.9,-1.4\
1997,71.1,-0.2\
1998,72.5,1.2\
1999,71.2,-0.1\
2000,70.6,-0.7\
2001,70.9,-0.4\
2002,71.3,0.0\
2003,70.9,-0.4\
2004,70.8,-0.5\
2005,70.8,-0.5\
2006,71.4,0.1\
2007,71.8,0.5\
2008,70.8,-0.5\
2009,71.2,-0.1\
2010,69.2,-2.1\
2011,71.7,0.4\
2012,71.9,0.6\
2013,71.7,0.4\
2014,70.6,-0.7\
2015,73.4,2.1\
2016,72.5,1.2\
2017,72.8,1.5\
2018,72.3,1.0\
2019,73.1,1.8}
2020,,
