Date,Value,Anomaly\
1985,41.4,-2.3\
1986,43.3,-0.4\
1987,46.3,2.6\
1988,43.4,-0.3\
1989,41.1,-2.6\
1990,44.5,0.8\
1991,43.7,0.0\
1992,42.7,-1.0\
1993,41.7,-2.0\
1994,43,-0.7\
1995,42.8,-0.9\
1996,40.5,-3.2\
1997,42.6,-1.1\
1998,47.3,3.6\
1999,45.4,1.7\
2000,43.9,0.2\
2001,45.3,1.6\
2002,44.6,0.9\
2003,43.2,-0.5\
2004,43.5,-0.2\
2005,45.1,1.4\
2006,46,2.3\
2007,44.7,1.0\
2008,41.8,-1.9\
2009,42.4,-1.3\
2010,45.5,1.8\
2011,44.1,0.4\
2012,47.4,3.7\
2013,41.8,-1.9\
2014,40.2,-3.5\
2015,44.8,1.1\
2016,46.2,2.5\
2017,44.7,1.0\
2018,43.2,-0.5\
2019,42.1,-1.6}
2020,,
