Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
1/1/96,AQS,4,,
1/2/96,AQS,3,,
1/3/96,AQS,19,,
1/4/96,AQS,20,,
1/5/96,AQS,19,,
1/6/96,AQS,21,,
1/7/96,AQS,31,,
1/8/96,AQS,36,,
1/9/96,AQS,17,,
1/10/96,AQS,28,,
1/11/96,AQS,16,,
1/12/96,AQS,15,,
1/13/96,AQS,21,,
1/14/96,AQS,18,,
1/15/96,AQS,21,,
1/16/96,AQS,10,,
1/17/96,AQS,19,AQS,
1/18/96,AQS,29,,
1/19/96,AQS,28,,
1/20/96,AQS,20,AQS,
1/21/96,AQS,9,,
1/22/96,AQS,7,,
1/23/96,AQS,18,,
1/24/96,AQS,31,AQS,
1/25/96,AQS,26,,
1/26/96,AQS,29,,
1/27/96,AQS,34,AQS,
1/28/96,AQS,34,,
1/29/96,AQS,23,,
1/30/96,AQS,14,,
1/31/96,AQS,23,AQS,
2/1/96,AQS,16,,
2/2/96,AQS,22,,
2/3/96,AQS,31,AQS,
2/4/96,AQS,34,,
2/5/96,AQS,27,,
2/6/96,AQS,26,,
2/7/96,AQS,26,AQS,
2/8/96,AQS,15,,
2/9/96,AQS,29,,
2/10/96,AQS,31,AQS,
2/11/96,AQS,30,,
2/12/96,AQS,31,,
2/13/96,AQS,29,,
2/14/96,AQS,25,AQS,
2/15/96,AQS,17,,
2/16/96,AQS,33,,
2/17/96,AQS,32,AQS,
2/18/96,AQS,33,,
2/19/96,AQS,31,,
2/20/96,AQS,22,,
2/21/96,AQS,17,,
2/22/96,AQS,7,,
2/23/96,AQS,25,,
2/24/96,AQS,42,AQS,
2/25/96,AQS,44,,
2/26/96,AQS,20,,
2/27/96,AQS,37,,
2/28/96,AQS,39,AQS,
2/29/96,AQS,28,,
3/1/96,AQS,26,,
3/2/96,AQS,31,AQS,
3/3/96,AQS,39,,
3/4/96,AQS,37,,
3/5/96,AQS,51,,
3/6/96,AQS,35,AQS,
3/7/96,AQS,28,,
3/8/96,AQS,37,,
3/9/96,AQS,33,AQS,
3/10/96,AQS,38,,
3/11/96,AQS,34,,
3/12/96,AQS,39,,
3/13/96,AQS,48,AQS,
3/14/96,AQS,67,,
3/15/96,AQS,36,,
3/16/96,AQS,40,AQS,
3/17/96,AQS,35,,
3/18/96,AQS,31,,
3/19/96,AQS,33,,
3/20/96,AQS,28,AQS,
3/21/96,AQS,33,,
3/22/96,AQS,34,,
3/23/96,AQS,45,AQS,
3/24/96,AQS,47,,
3/25/96,AQS,64,,
3/26/96,AQS,40,,
3/27/96,AQS,43,AQS,
3/28/96,AQS,19,,
3/29/96,AQS,17,,
3/30/96,AQS,34,AQS,
3/31/96,AQS,58,,
4/1/96,AQS,44,,
4/2/96,AQS,45,,
4/3/96,AQS,61,AQS,
4/4/96,AQS,80,,
4/5/96,AQS,41,,
4/6/96,AQS,35,AQS,
4/7/96,AQS,48,,
4/8/96,AQS,51,,
4/9/96,AQS,43,,
4/10/96,AQS,37,AQS,
4/11/96,AQS,67,,
4/12/96,AQS,105,,
4/13/96,AQS,119,AQS,
4/14/96,AQS,45,,
4/15/96,AQS,46,,
4/16/96,AQS,41,,
4/17/96,AQS,48,AQS,
4/18/96,AQS,87,,
4/19/96,AQS,84,,
4/20/96,AQS,48,AQS,
4/21/96,AQS,50,,
4/22/96,AQS,71,,
4/23/96,AQS,51,,
4/24/96,AQS,48,AQS,
4/25/96,AQS,87,,
4/26/96,AQS,47,,
4/27/96,AQS,46,AQS,
4/28/96,AQS,80,,
4/29/96,AQS,44,,
4/30/96,AQS,36,,
5/1/96,AQS,61,AQS,
5/2/96,AQS,74,,
5/3/96,AQS,93,,
5/4/96,AQS,71,AQS,
5/5/96,AQS,84,,
5/6/96,AQS,50,,
5/7/96,AQS,34,,
5/8/96,AQS,37,AQS,
5/9/96,AQS,38,,
5/10/96,AQS,67,,
5/11/96,AQS,67,AQS,
5/12/96,AQS,47,,
5/13/96,AQS,49,,
5/14/96,AQS,71,,
5/15/96,AQS,97,AQS,
5/16/96,AQS,45,,
5/17/96,AQS,54,,
5/18/96,AQS,126,AQS,
5/19/96,AQS,129,,
5/20/96,AQS,143,,
5/21/96,AQS,136,,
5/22/96,AQS,93,AQS,
5/23/96,AQS,151,,
5/24/96,AQS,151,,
5/25/96,AQS,44,AQS,
5/26/96,AQS,93,,
5/27/96,AQS,77,,
5/28/96,AQS,54,,
5/29/96,AQS,34,AQS,
5/30/96,AQS,48,,
5/31/96,AQS,74,,
6/1/96,AQS,143,AQS,
6/2/96,AQS,97,,
6/3/96,AQS,64,,
6/4/96,AQS,87,,
6/5/96,AQS,100,AQS,
6/6/96,AQS,115,,
6/7/96,AQS,154,,
6/8/96,AQS,126,AQS,
6/9/96,AQS,26,,
6/10/96,AQS,41,,
6/11/96,AQS,42,,
6/12/96,AQS,126,AQS,
6/13/96,AQS,126,,
6/14/96,AQS,159,,
6/15/96,AQS,172,AQS,
6/16/96,AQS,174,,
6/17/96,AQS,150,,
6/18/96,AQS,101,,
6/19/96,AQS,64,AQS,
6/20/96,AQS,80,,
6/21/96,AQS,97,,
6/22/96,AQS,177,AQS,
6/23/96,AQS,105,,
6/24/96,AQS,129,,
6/25/96,AQS,115,,
6/26/96,AQS,90,AQS,
6/27/96,AQS,129,,
6/28/96,AQS,154,,
6/29/96,AQS,87,AQS,
6/30/96,AQS,119,,
7/1/96,AQS,143,,
7/2/96,AQS,143,,
7/3/96,AQS,58,AQS,
7/4/96,AQS,37,,
7/5/96,AQS,87,,
7/6/96,AQS,182,AQS,
7/7/96,AQS,164,,
7/8/96,AQS,151,,
7/9/96,AQS,136,,
7/10/96,AQS,64,AQS,
7/11/96,AQS,108,,
7/12/96,AQS,49,,
7/13/96,AQS,42,AQS,
7/14/96,AQS,119,,
7/15/96,AQS,41,,
7/16/96,AQS,122,,
7/17/96,AQS,147,AQS,
7/18/96,AQS,44,,
7/19/96,AQS,44,,
7/20/96,AQS,49,AQS,
7/21/96,AQS,43,,
7/22/96,AQS,39,,
7/23/96,AQS,101,,
7/24/96,AQS,140,AQS,
7/25/96,AQS,93,,
7/26/96,AQS,87,,
7/27/96,AQS,77,AQS,
7/28/96,AQS,77,,
7/29/96,AQS,44,,
7/30/96,AQS,51,,
7/31/96,AQS,38,AQS,
8/1/96,AQS,93,,
8/2/96,AQS,129,,
8/3/96,AQS,151,AQS,
8/4/96,AQS,150,,
8/5/96,AQS,172,,
8/6/96,AQS,93,,
8/7/96,AQS,159,AQS,
8/8/96,AQS,129,,
8/9/96,AQS,40,,
8/10/96,AQS,77,,
8/11/96,AQS,87,,
8/12/96,AQS,42,,
8/13/96,AQS,31,,
8/14/96,AQS,133,AQS,
8/15/96,AQS,126,,
8/16/96,AQS,84,,
8/17/96,AQS,105,AQS,
8/18/96,AQS,129,,
8/19/96,AQS,119,,
8/20/96,AQS,112,,
8/21/96,AQS,100,AQS,
8/22/96,AQS,119,,
8/23/96,AQS,200,,
8/24/96,AQS,101,AQS,
8/25/96,AQS,80,,
8/26/96,AQS,151,,
8/27/96,AQS,64,,
8/28/96,AQS,112,AQS,
8/29/96,AQS,133,,
8/30/96,AQS,90,,
8/31/96,AQS,129,AQS,
9/1/96,AQS,154,,
9/2/96,AQS,97,,
9/3/96,AQS,35,,
9/4/96,AQS,36,AQS,
9/5/96,AQS,34,,
9/6/96,AQS,30,,
9/7/96,AQS,42,AQS,
9/8/96,AQS,101,,
9/9/96,AQS,112,,
9/10/96,AQS,129,,
9/11/96,AQS,36,AQS,
9/12/96,AQS,39,,
9/13/96,AQS,47,,
9/14/96,AQS,37,AQS,
9/15/96,AQS,54,,
9/16/96,AQS,47,,
9/17/96,AQS,31,,
9/18/96,AQS,35,AQS,
9/19/96,AQS,43,,
